person_id,why_are_pid_with_when,prob_machine_generated,n_tokens,glimpse_criterion
US:192026243,"They strike me as being considerably less tyrannical, and overall more grounded than the Republicans.",0.35,19,-2.4255687130651595
US:140787159,Abstaining from the facade - democratic or republican labels - will make you a critical thinker without a wool in your eyes.,0.22,25,-5.607854400663292
US:123664083,Liberal thinker,0.26,3,-3.439415163931019
US:2087588,I saw how dishonest the Republican Party was becoming.,0.4,10,-2.043762121272863
US:1166052,Democrats Lie. Democrats Steal. Democrats are control freaks. Democrats have become evil socialists with a sick agenda. Democrats have a history of corruption and violence going back to the 19th century.,0.46,41,-1.614224888448811
US:25792496,"I'm undecided, both sides lie.",0.23,8,-4.248782697836468
US:41221300,I realized what a mess the democrats were making and decided I wanted a change,0.41,16,-1.9631446686299083
US:137038457,My momma is one so therefore I am one.,0.3,11,-2.9863992346943458
US:27966667,I’m for social programs and pro immigrant and pro choice and Feel DEI is important,0.25,17,-6.472115444144175
US:128249631,I think Republicans are better people in general,0.33,8,-2.6186050454887475
US:2476570,"The democrats are pro crime, anti capitalist, anti American marxists and hate the USA.",0.3,20,-2.916357566832765
US:139795563,It represents my ethics and many of my beliefs,0.26,9,-3.5512200290986398
US:168169113,I didn’t like the policies of the Republican party,0.62,10,-0.7325836562312932
US:31203933,"In 2016, when Trump became the Republican candidate, our whole family took a look at what the Republican Party had become and how we had been deceived for decades. We realized that our beliefs more closely aligned with the Democratic Party. Ethics, morals, honesty, and integrity were important to us and were demonstrated by the Democrats. As a result, every one of us switched parties. After opening our eyes and switching parties, we saw how terrifying the prospect of Trump being in charge would be. Quite a few of our fears came true, but democracy stood firm and we escaped scathed but not completely broken. Unfortunately, the Republican Party had become the Cult of Trump. Good people became brainwashed and dangerous. Biden attempted to repair the damage caused by Trump’s first term. We are actually stymied by the fact that Trump is leading the country again and completely destroying it. The rest of our nightmares are coming true and nobody seems to be able or gutsy enough to stop it.",0.23,199,-4.151123699658851
US:187857009,They are not as adept at buy votes with my taxes as democrats,0.22,14,-4.816334106588103
US:104482541,"Because I respect the Earth, workers’ rights, women’s rights, public education, the separation of church and state, civil rights, the rights of LGBTQ persons, justice and due process for all.",0.24,40,-3.827864773029345
US:2721894,"Because Democrats does not come close to the way I think!! Too many lazy people that lives off the Federal Government and will NOT work period!! And the Democrats lets them do it for votes!! That is it in a nutshell!! Why should the tax payers pay for them to do NOTHING, but have more babies to collect more money, food-stamps and health care for free!! I was not raised up to live that way!! Everyone should have to work except for the truly disabled or sick!! That does not include FAKE people pretending to be disabled!!",0.27,111,-3.333125065605461
US:134002387,Because Democrats are do nothing socialists.,0.22,8,-5.373525791943187
US:42343368,I tried to register as an independent but they told me I wouldn't be able to vote in primaries so I just decided to register as a democrat,0.75,29,-0.02163129130705507
US:156892649,Republican believes fits with mine believes.,0.69,7,-9.815201756564855
US:192968537,I believe in people and the democrats do.,0.33,10,-2.5914382039788126
US:912764,the religious right took control of the republican party,0.45,9,-1.6616761520566725
US:178948509,Their platform most closely aligns with my Biblical worldview,0.22,10,-4.863915549966945
US:889882,democrats aren't dumb religious racists like the republican party. They're for common sense issues like infrastructure and healthcare. Republicans say NO to any program for the people and then give all the money to the rich,0.26,42,-3.5189104729710143
US:4683826,My third grade teacher made a convincing argument,0.45,8,-1.6495601023014388
US:441635,The Democrats were strongly against what was obviously right and honest policy.,0.22,13,-4.8381111419415515
US:192684055,I have always believed on small government.,0.34,8,-2.498788803471955
US:172262549,I will vote for whoever I want to,0.65,8,-0.5543111628818168
US:40343590,I THOUGHT REPUBLICANS STOOD UP AND HELPED AMERICANS MORE SO THAN DEMOCRATS,0.24,22,-4.034528305639648
US:4017243,Their principles are less dumb as those represented by democrats,0.24,11,-6.164068620032059
US:4435846,Same as statement above,0.25,4,-3.7564274451491397
US:194182261,Common sense,0.31,2,-2.848213777562129
US:103583133,Nixon,0.44,2,-1.711962017327353
US:182632037,"So my views kind of match with the republican views though not in full. I think their views are good for the country .As our president says, America should be first !",0.28,35,-3.251260303461071
US:182261,they always do better,0.22,4,-5.231710365920622
US:4492862,Because the Democrats didn't represent MY interests any more.,0.23,11,-6.030687762112201
US:120749819,Democrats supported anarchy,0.27,4,-6.859505707627405
US:176427911,I'm for the hard workers who can't even make a decent wage. Medicare would be nonexistent with the Republicans,0.29,22,-3.06546669087616
US:1341753,My father explained it.,0.24,5,-3.9363224156754155
US:174100107,"Jimmy Carter, the worst president of that time",0.27,9,-3.424907963425607
US:42327128,politicians are all just ugly actors,0.22,7,-4.93337398331088
US:134076243,Democrats are for people; Republicans are for money,0.45,9,-1.6814704052343832
US:2608247,They are for all people regardless oof color or monetary status,0.22,12,-4.54003418202453
US:1499653,The Republicans have been more about wars and helping the rich while harming the middle class and lower. They focus on their own interests and not about what is best for the American people overall. They don't have the people they are representing in their best interests.,0.53,51,-1.1749962461226215
US:192795453,I don't like waste. I don't like giving the money I work for to lazy people.,0.54,20,-1.1573989435476728
US:138817961,"Both parties uphold systemic oppression, war, exploitation, and killing the environment.",0.23,15,-4.189408564819139
US:27204954,because I am against him and all the stupid things that they republicans want/believe in,0.25,19,-6.540521991283815
US:164458227,I really don't care about either party.,0.54,9,-1.1328654528195519
US:180309767,"I don’t remember why I decided to become a Democrat, but have never regretted it.",0.52,19,-1.2391578231724791
US:174720893,Donald Trump,0.47,2,-1.5799181480345033
US:46464430,"I think Democrats are better at representing working people. The Republicans are better at representing billionaires and corporations. I was a working person, not a billionaire or a corporation.",0.83,33,0.45962211447565254
US:191576187,I decided that I felt closer to the Democratic Party because I aligned more with them on economic policies and found their social policies to be more nuanced. I feel like the Republican Party in my lifetime has been too fiscally conservative and socially regressive.,0.64,50,-0.5897380599557067
US:2799775,"Family, community, state.",0.35,6,-2.3824634375707356
US:33787292,No comment,0.25,2,-3.8145176195345756
US:193606709,"I grew up in a progressive, pro-labor family.",0.66,12,-0.5074363764382711
US:1877612,"My family have always been Democrats and since I have been aware of issues, my opinions have aligned more strongly with the Democratic position.",0.31,26,-2.8239953724242475
US:3256742,More closely aligns with my views.,0.32,8,-2.7000026045638856
US:173993087,Democrats are for the people and country!,0.34,8,-2.5325721811639217
US:172627603,"The Republican Party still believes in individualism, property rights, rule of law, and free speech. At least for the most part.",0.57,27,-0.9570814203649595
US:236705,"Since Ronald Reagan was elected president, the Republicans have moved closer to my point of view.",0.35,18,-2.4140056869277275
US:1336585,"Republicans are clear thinkers, conservative, and maintain a higher sense of morality. And if you look at the democratic Party today, they resemble crazy people believing there are more than two genders and that biological men can become women and biological women can become men. Those who truly believe such things are delusional and could be considered psychotic.",0.34,66,-2.4947787262590277
US:148320521,"I am pro life, I like the Constitution, I like Capitalism and I hate marxism and communism",0.5,22,-1.3646710744611734
US:146297641,pEOPLE AND THE CONSTITUTION MATTER MORE THAN one political pARTY. hELPING THOSE WHO ARE DISINFRANCHISED RAISE THE QUALITY OF LIFE FOR ALL,0.23,39,-4.2699712733506905
US:3267760,because I have a mind of my own. I will not just follow blindly like a good little democrat,0.62,20,-0.7002099268929945
US:41582939,"Democrats are not perfect, but they have a heart and understand the American people",0.65,15,-0.5407165499550449
US:1130966,Because they're beliefs coincided with mine.,0.23,9,-5.818690846922028
US:3844994,"I was raised to respect life and our founding ideals. The Democratic Party does not respect either, and so I cannot be a democrat. That is why I am a republican.",0.62,35,-0.7416286341896146
US:631179,Most capitalist party that believes in free speech,0.22,8,-5.454598431901696
US:2472694,Lean more toward my biblical values,0.25,6,-6.496735984442558
US:146457207,They are not actively eroding my rights,0.3,8,-2.9773157125131378
US:22705183,Donald Trump,0.47,2,-1.5799181480345033
US:41996246,I felt they seemed to be more for the people,0.6,10,-0.820091100488942
US:40465766,For all of the reasons I listed above and then some,0.6,11,-0.8102374712290472
US:213911,Democrats have always been for the working people,0.63,8,-0.6599539057572514
US:4394557,I am conservative and the Republican party is a conservative party.,0.79,12,0.20317555146800267
US:103238395,Progressive,0.42,2,-1.861806116085549
US:41861504,They are more aligned with my beliefs than other groups,0.52,10,-1.2483290109776957
US:102935851,If I add my kid hood activity together with my understanding what is right and wrong learning in school and private life it's so clear to me but no political party is perfect,0.27,34,-6.851424592132247
US:153841617,Better outlook and more ethical policies,0.23,6,-5.975335786427444
US:187677027,I do not trust easily. Especially politicians.n,0.23,9,-6.008201854243662
US:197513863,Because I realized what was actually important in my life And which party aligned with it,0.26,16,-6.648899764093054
US:1480050,Because Democrats started acting crazy and lost all common sense.,0.22,11,-4.8927887207521605
US:496122,Democrats controlled Chicago,0.47,3,-8.584655555378443
US:410508,"Democrats help the country, not just themselves. They make rules that are smart. They care for the elderly and disabled. They are the only ones there should be a party of. Republicans are for themselves. They all should live in texas and then they can become their own country.",0.35,56,-2.3977936642724123
US:26259095,"More closely aligned to my personal beliefs. Belief in right of citizens to choose for themselves regarding abortion, right of all people to receive medical care regardless of wealth, right to basic education, freedom of speech, due process of law, responsibilty of those in power to help the helpless.",0.39,59,-2.10881852867942
US:193265373,"Honestly, mainly word of mouth.",0.22,7,-4.557569960263491
US:181299943,The question wording is confusing,0.3,5,-2.9078010404997507
US:44215887,"I believe in Trump, we need to put America first. We have a huge deficit but for years we have given aid to other countries for one reason or another. We need to make America great again, and clean up our deficit. We the tax paying citizens pay to support many immigrants while there are Americans that are homeless, hungry, or need medical care. I love my country and am proud to be an American but I believe it should be America and Americans first. Therefore, I will have to say because of Trump.",0.39,105,-2.05557777173057
US:17467,because my Dad was.,0.22,5,-4.914134610097108
US:4313123,the party was close to my values,0.22,7,-4.559864466568356
US:107939203,I liked what Trump and others had to say,0.24,9,-3.9475805903743835
US:187887303,Don't remember,0.33,3,-2.651686822563693
US:1208035,"When the democrats began to prioritize social engineering over the needs of the majority of the people, and the Republican Party became blind to the extreme views of Donald Trump",0.55,32,-1.1064303275157048
US:163914121,I respect democracy,0.25,3,-3.6352864612454927
US:201736907,Republicans tend to be 1. Pro-life 2. Respect 1st and 2nd amendment,0.35,21,-2.4615313643895647
US:184641745,Because Hillary Clinton is a very evil person had she gotten elected thé USA would be in shambles,0.22,20,-4.994206792291521
US:1478245,"I firmly believe in states rights and that the federal government wields too much power. I am fiscally and socially conservative, and that's what Republicans stand for.",0.44,34,-1.766459594456709
US:173586399,The Democrats aren't nearly as fascist and self-righteous as the Republicans.,0.31,15,-2.806284471545965
US:146373717,I duffel the Democrats better represent the average working people in the US.,0.22,16,-4.873840261358656
US:43077358,The Dems believe in a social safety net.,0.44,9,-1.7640500216125055
US:26462750,"neither is right or wrong, they just to all want to be rich",0.26,15,-3.553352418853066
US:28179908,"I believe in more military background, and by far they do more for the people not give free handouts",0.22,21,-5.704366008429799
US:45376208,On beliefS,0.39,3,-8.078719652973124
US:133922905,"The GOP were clearly more interested in driving up scandal than actual justice, and it was already clear, the GOP was the party for racists, sexists, homophobes and gun nuts.",0.42,40,-1.8482853695203174
US:144804129,Agree with most of their policies,0.34,7,-2.522204105547267
US:185692789,Dems have became socialist marxist,0.22,8,-5.0178933925685865
US:181011475,I defend our rights to the constitution and disagree with so many bailouts and wasted money on aid or welfare without thorough vetting,0.22,25,-5.588683201418493
US:200155033,I'm a convicted felon.,0.76,6,0.024930157148797347
US:29701159,Represented the ordinary people.,0.22,6,-5.0255432382518475
US:30178832,they both suck,0.22,3,-5.088723384276996
US:2147126,"Common sense, the democrats have none.",0.25,9,-3.657249243018569
US:147754821,Democrats are for democracy and justice. Republicans are for the rich,0.73,12,-0.14904517633956962
US:3457079,"Because the republicans always want to take everything away from people that need it the most, and they don't care about anything or anyone except for themselves",0.7,30,-0.30629781134178147
US:146731711,JFK,0.44,2,-1.77046892469609
US:124203867,When I realized my beliefs were closely aligned with Republicans,0.27,10,-3.371172093742319
US:25513147,"Because once I learned about 2A, Abortion, Free Speech and economics and that they support it, I decided to support them.",0.24,28,-3.9107829267028604
US:105719679,I agree with their policies.,0.39,6,-2.075280160954377
US:2086149,"Because the Democrat party is full of scumbags, douchebags, whores, sluts, bitches, degenerates, communists, and other assorted human scum…",0.4,36,-2.0325736215097447
US:196440951,I rejected the Republicanism I was raised around,0.25,9,-3.6295541038224326
US:174827353,"I thought I was a Democrat until I realized that Democrats can't get anything done and screw up everything they touch. Democrats are the most self serving hypocrites in America, and I've known it for decades.",0.86,42,0.6839586704726996
US:36099928,Because I have empathy and a soul,0.31,7,-2.8011988118500195
US:104077625,Because the Republican party is a shameful party that only work for gun lobbies hate groups dismantling true principles of the constitution for there own enrichment,0.27,28,-6.866845350016872
US:39272753,They have much more common sense and fight to keep America as founded. I do not want my children and grandchildren to ever live under communist or socialist rule.,0.45,31,-1.6644771185215443
US:187954419,Corruption,0.41,2,-1.9246882378969092
US:105604235,because that is what my Momma voted,0.23,8,-5.718708660251409
US:29146372,I like what the party stand for the American people.,0.33,11,-2.599535972220595
US:2451346,When I saw miss treatment of blacks,0.22,7,-5.610359788756152
US:189651357,Because i vote individuals not party,0.33,6,-7.543872384972537
US:40614179,"They have consistently been the party for smaller government, conservative values and anti abortion",0.33,15,-2.5848973698840365
US:125531745,My family has always voted Democrat.,0.57,7,-0.9994158229670326
US:38913207,"Because the Republicans failed to vote for conviction in 2020 and the Democrats, long time idiots and Blame America First, now endorse Tribalism and racism.",0.22,32,-5.599640452682205
US:25413921,"The Democrats have always proclaimed to be the party of the working class, and I have always been part of that class. It would be stupid to vote differently. Unfortunately, they are so far out of touch with how the rest of us live that it barely makes any difference. Bernie Sanders gets it and he should’ve been nominated over Hilary. I vote blue because it’s the only viable choice. I want to vote for independent candidates but cannot because it is the same as throwing away my vote because of our stupid two party voting system.",0.48,108,-1.4635782787034444
US:179679629,I stand for most of the same believes,0.35,8,-2.407595146242796
US:46332279,"Because Donald Trump/the MAGA cult/right wingers are a huge threat to America right now. They have also hijacked and taken over the Republican party. Since we’re a two-party country at the moment, the only organization that can take out the R party/MAGA and save us from King Trump is the Dem party",0.22,65,-5.167727013993935
US:2362919,because both parties are in my opinion the same party just at different ends of it.,0.35,17,-2.398865230829663
US:174649803,Because the government was getting too large and too controlling.,0.38,11,-2.1879876178631363
US:171107041,I enjoy freedom,0.41,3,-1.9225413470797101
US:192025671,Because of my parents,0.34,4,-2.555327854220604
US:187921233,no comment,0.22,2,-4.992776093219854
US:128004083,Because I believe in human and civil rights. I believe oligarchs are EVIL,0.22,16,-4.5376656442642265
US:186972733,The values and beliefs lined up with mine,0.33,8,-2.6071876495789055
US:205438393,Because,0.27,1,-3.3287414279359746
US:1726063,Thought they were the party of the people,0.4,8,-2.052940335515311
US:664033,Because trump is a crook and a bully with no interest in anything other than himself and his rich friends.,0.51,22,-1.3285592185355353
US:553429,just independent,0.58,2,-9.26003819391254
US:194160611,"Once I started my own business, I realized the republicans did more for me. And I still believe they are more for the people than the dems are.",0.43,33,-1.823051263958646
US:204645491,I like their views,0.27,4,-3.3000601066254713
US:206987757,I share slightly more views with that party,0.23,8,-5.729071307881681
US:3633988,more my point of views,0.22,5,-5.243832065550919
US:193770925,Because I believe in the opposite of everything Trump stands for.,0.38,12,-2.198839060112001
US:157962705,"Limited government, lower taxes, more Liberty",0.24,8,-3.984977704239196
