person_id,why_are_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:28318649,I am sickened by the lack of spine has in regards to standing up to Trump,0.3,17,-2.8969392792756112
US:134705499,I think both are out of touch,0.41,7,-1.9731891441350462
US:465040,"I agree with all the ideals of the party at this time, including illegal immigration, inflation, America first, etc.",0.38,24,-2.1951336302964104
US:40718094,Following the constitution is important.,0.33,6,-2.597689549595821
US:28343881,Ent to help the little guy not the rich,0.23,9,-4.396530930436763
US:184235997,"The Democrats support issues important to the average citizen, while Republicans support the interests of the rich.",0.6,19,-0.8105261394346
US:150600575,I believe in government of the people and for the people. Government should help people and make our lives better.,0.6,22,-0.8031844029543054
US:3749102,More common sense in their policies.,0.28,7,-3.2436996162467255
US:2208518,not as bad as democratic party,0.23,6,-4.204716426944034
US:4077784,I think Republicans are more concerned with taking care of our country rather than spending money on taking care of the huge number of immigrants that have been allowed across our border.,0.43,33,-1.8266887963285077
US:4352107,Conservative ideas,0.28,3,-3.246438381165359
US:153787925,I feel most democrat's if not all are communist. Socialist at best they are on a path to try and destroy a country that believes in God and country and family.,0.24,34,-3.818953531600734
US:202763009,I am probably a Democrat because that is what my mother is and that's just how I was raised,0.43,20,-1.829879599001392
US:3033056,Today’s political decisions have me agreeing much more.with the Republicans.,0.28,13,-7.021201770808692
US:3585896,"To correct the absurd Liberal Democratic Party Policies which have destroyed our country during the Obama Biden Harris Administration (ie: OPEN BORDERS, Tren De Argua, MS-13 and Marsa Gangs need to be arrested and immediately deported without due process because they are TERRORISTS; Stop Wa$teful Spending Abuse and Corruption while severely cutting the Federal Workforce and cutting the Federal Government Budget; STOP WOKE CRT and DIE; Only hire people based on skills and NOT collor or absurd 65 Genders!; CLOSE NORTH and SOUTH Borders; arrest and trial for all government officials involved in RUSSIA RUSSIA RUSSIA; Kill the infected chickens and leave the healthy chickens alone which means STOP Biden's absurd Kill Them All policy; Remove ALL ILLEGAL ALIENS they are NOT immigrants; Back our currency with GOLD; Remove ALL the absurd 65 Genders from our Military; Arrest all the government officials in the FAKE Jan6 affair. MAGA! Thank God for President Trump and DOGE!",0.81,208,-10.480833802173118
US:147874497,"Cause Dems have gone off the track …immigration to get votes, Males playing women’s sports, using Racism as there only reason to criticize Rep, we need term limits, letting 2-3% of population control decision, wanting to allow 2-13 yr old kids make decisions about drastic changes in their life ( can they vote-no, can they but booze-no, but cigs-no, get tattoos-no, vote-no) but Dems want them to be able to make decisions on there sex …. Stupid, illogical crap ….",0.31,111,-7.365614654837853
US:149013529,I appreciate law and order. I like to feel safe in my community and Republicans tend to enforce laws.,0.37,21,-2.269324293579666
US:176274577,I evaluate candidates by what they bring to the table.,0.39,11,-2.080893192704932
US:26210018,GOP is insane,0.22,3,-5.452816004025849
US:171281271,"I am a Democrat because in my life time, there has been only one major political party that has not actively supported an attempted violent takeover of the United States Capitol, much less engaged in active measures to only benefit white, rich people.",0.29,47,-3.108670497718974
US:102800593,Because they believe in treating everyone with respect and dignity,0.38,10,-2.1863705641963733
US:2276140,I believe it is important to care for our neighbors and each other and not just focus on money which is what I feel Republicans do,0.48,26,-1.499193426131589
US:2003738,"Republicans are for the people! Democrats are out of touch, they have tried to destroyed the country by corrupt policies and bad decisions.",0.38,26,-2.1952180020679406
US:26903576,Because the U.S. will collapse if we do not sharply reduce government spending. The Democrats want to spend more. The Republicans want to spend less.,0.54,30,-1.1349997037955044
US:178438505,"They're in it for just politics, they've lost sight of why they're in the government",0.32,19,-2.6863441324248756
US:4541371,"I believe in free speech. I do not believe that budget deficits are a crime. The Government needs to help people with housing, food, healthcare, and transportation. People should have the right to evaluate history critically just like they evaluate current events critically. People of different genders and lifestyle choices should have equal rights.",0.29,62,-3.015741409919914
US:810874,"Neither party supports Nationalism and the right of White European people to have their own homelands free from forced immigration and miscegenation. Race mixing is a sin against God and is forbidden throughout scriptures. ""Thou Shall not adulterate thy Holy seed"" the 7th commandment, is a condemnation against race-mixing. ""Be ye separate and Holy"" is another commandment to remain pure. ""Honor thy Father and Mother"" is another commandment to racial purity. We ""Honor"" our parents by having children that look like them. In each of the first five books of the bible, (the Torah), God tells us 7 times in each book, ""No Race Mixing"". God commands us White Israelite/European people to drive off the alien and have nothing to do with them when we encounter them. I can go on! The Jews are not Israel and are not the people of the bible. They are the enemy of God and are contrary to all men, 1Thes 2:13-15, John 8:44-47. I am a racialist and believe scripture. Neither political party supports White people and sovereignty.",0.25,241,-3.6773437039977237
US:3344532,Mostly Republicans align with my values,0.22,7,-4.906284335012486
US:40732459,I like their policies and beliefs.,0.37,7,-2.2708546489777284
US:4622686,My parents were Democrats so I am as well,0.32,9,-2.7459921650648256
US:2188985,"I CHOSE THE ONE BEST FIT TO DO RIGHT BY America and seeing the damage done by the expresident we needed a President that fights for getting AMERICA BACK TO WORK AND STOP TGE GARBAGE WE HAD DUMPED ON US FROM THE LAST BUNCH IN WASHINGTON, THAT IS WHY I am a Republican",0.25,65,-6.450372519028293
US:2351506,Because the democrats are too liberal and the republicans are racist.,0.34,14,-2.5251725020906357
US:4322937,Na,0.23,1,-4.162653026504952
US:192952743,I’m from New Jersey and I’m not Christian nationalist nut job. MAGA is a threat to this country.,0.26,23,-3.448489316668251
US:40373823,Republicans follow my beliefs. They work more for the people than for themselves.,0.24,15,-3.858282081052532
US:29687610,Better values than democrats,0.26,5,-6.669207253974054
US:149208181,Because the Democratic Party eschews christo fascism.,0.23,11,-5.771369701627488
US:1223576,Both parties serve themselves and their priorities are reelecting career politicians. Politics should not be a career.,0.23,21,-4.353759549300364
US:166634,Neither respects or represents moral clarity with respect to Israel and the genocide they are conducting.,0.24,17,-6.170424292272868
US:115653849,The causes they stand for align most with my personal views.,0.25,12,-3.615001347912569
US:133674313,Because I want to be and because democrats are STUPID!!,0.22,14,-5.689242445760089
US:2496605,"I believe in smaller government, lower taxes, and I think abortion is murder.",0.71,16,-0.2546895507590757
US:207245457,Don't waste as much,0.32,5,-2.678713826959058
US:127446309,The alternative is unthinkable,0.39,4,-2.1162402608473347
US:3931785,Because I believe in taking care of all the people not just the rich.,0.41,15,-1.9245980910140839
US:195137401,I am a Democrat because it's what I choose to be,0.57,12,-0.980940976607149
US:1051207,"Just because the GOP is so toxic, I prefer more socialist policies",0.31,13,-2.8534500409680055
US:2432070,"I grew up in a Democratic household, and learned what i could regarding the differences in the parties, leading me to understand the Democrat party is for people like me, who work hard to get somewhere and need that helping hand every so often, and the democratic's stick up for people in the working class.",0.24,61,-3.8719019719051233
US:127120835,Do not like TRUMP I would be anything he is not.,0.25,13,-3.630564242198916
US:194450763,Democrats have gone too far left with DEI and men in women's sports and on immigration.,0.22,19,-5.670150307910165
US:782984,The Democrats are crazy and the Republicans have joined a cult. I will never support a party that put Trump into power.,0.56,24,-1.033724589851137
US:2633045,Believe in less government,0.24,5,-3.884817698780859
US:39920692,"Because under President Trump's leadership, republicans are representing the people and delivering on the will of the people.",0.25,22,-3.780999537633364
US:37587755,Federal Government should not be so involved in state matters.,0.65,11,-0.5837801678648531
US:4007899,Has a more moral value toward humanity. Not liberal and out of control Respects God bless America slogan,0.47,20,-8.595860747530391
US:202443707,"I care about people. All colors, races, religions...",0.28,12,-3.225888933046372
US:2022856,A Dem would feed a hundred people to make sure one didn’t go hungry. A Rep would deny food assistance to 100 people to make sure one undeserving person didn’t get help.,0.34,38,-2.5057277680129317
US:25694488,Because they actually want to help everyone.,0.29,8,-3.015176992490649
US:38515684,Democrats care about other people not about getting rich at others expense.,0.25,13,-3.8079733250338
US:1120802,"Because entrenched politicians in D.C. have profited from their tenures to the point whereupon entering Congress, getting reelected to multiple terms and maintaining two residences, all on the salary of a Senator or Representative, the magically become multi-millionaires. They become the Uniparty, Swamp if you will and are then loathe to make any changes to the system that interrupts their grifting. Additionally, I feel that once entrenched in office, politicians are more concerned with their own party's political power as well as gaming the system to enhance their own political power within Congress. At that point, they are no longer about me/us, but about acquiring and maintaining power.",0.23,135,-5.902033896709388
US:171503791,Democrats are more sesible people that dont go along with everything the president wants,0.23,15,-4.152932865034202
US:183032805,"Neither party offers anything for single people,.",0.25,8,-6.452938646254472
US:1975897,"I support democracy, I will not support any form of autocracy!",0.54,14,-1.136512615028831
US:672276,Protect abortion,0.69,2,-9.817992076875765
US:182678165,don't know.,0.32,4,-2.727769252303407
US:146186029,"The general platform of the property best represents my views and values: freedom of choice, when in doubt err on the side of individual liberty, low taxes and regulation, less government, strong national security/defense. The Democratic Party does not stand for this.",0.26,51,-3.4291943815192303
US:30988821,Republicans are politicians who DON'T do what their people want or need,0.23,13,-4.113499051603465
US:1985140,"The Democrat party have adopted Hitler's policies widely across the board. They are anti free speech, anti 2A and are pathological liars. They point the finger at everyone else for their own shortcomings.",0.37,41,-2.291938750944079
US:23767,They are the only sensible ones right now. The Republicans are turning us into a fascist state if you care to read any history books.,0.51,27,-1.3019898089590658
US:1248775,common sense,0.22,2,-4.544617602399087
US:1499789,I vote my conscience not the party,0.34,7,-2.4742781298207546
US:31324814,I've been a long time Democrat because they are for the folks like me,0.42,15,-1.8992581393423753
US:169224063,I don’t identify with either party,0.41,7,-1.9711391163629217
US:39469525,This is the party of the people. Our strongest and best presidents in my lifetime have all been Democrats.,0.65,21,-0.5750333541978498
US:187477341,"I believe this way, due to feeling like the Democrats are more liberal than I’m comfortable with.",0.33,20,-2.6264529617141217
US:177516757,I like the decisions that the republicans make to better our country and its peopke,0.27,18,-3.2778410408690553
US:4717153,"freedom, rights, and Republican beliefs",0.25,8,-3.626080485284246
US:180024447,Democrats are more for the people than Republicans.,0.65,9,-0.5619430376684451
US:155093375,I used to be a registered Republican. The current version of the Republican party no longer represents Republican ideals. The current republican party is an embarrassment. President Trump is an embarrassment. His cabinet is an embarrassment. They are taking the country in the wrong direction.,0.81,51,0.33686992887777556
US:40599012,"I am against people pouring into our country illegally. I am pro life. I am not for DEI. I believe there are only two genders. I am anti crime. I believe we are one nation under God. I believe there is to much welfare and not enough work. I don't think we should provide security for other countries for free. I think if I want an electric car, it should be my choice. I think our country should be oil independent. I don't believe trans people should be in our military.",0.42,106,-1.9078992535336603
US:1454614,"No particular reason, Democrats just seem to be more sensible and can get things done",0.4,16,-2.0268993383780205
US:143285277,Common sense,0.31,2,-2.848213777562129
US:1699585,We believe in the constitution.,0.58,6,-0.9389262087009326
US:158742309,Because Democrats have become retarded communists that hate America.,0.22,11,-5.165098460567971
US:114276795,Much more focus on human rights and the needs of the working class.,0.52,14,-1.2551879154655567
US:4385985,I don't know,0.79,4,0.2193787796126488
US:1720119,"Democrats have been the closest to my priorities since I started voting. I voted Republican a few times, but once I learned more about things, I saw how wrong I was. Democrats legislate more for interests of Americans like me. Before my disability, I worked as a Pipefitter, even though a few on the local and state level here are allies, they won't be satisfied until unions are a thing of the past. I believe socially as Democrats, not far left progressives. I believe in a hand up to those in need followed by a path forward, job training, counseling, etc. I'm big on climate change. I'm all for equal rights for all, regardless of religion, creed, sexual orientation, etc. I stand firm on separation of Church and State. As a practicing Catholic, I have no right setting an agenda we run the country. I believe in strong public schools and public universities with fully funded budgets. I don't want to hear there's never a reason to terminate a pregnancy because a politician identifies as pro life to win elections. I want sex education at an appropriate age with enough information to cut down on STI's and unwanted pregnancies. As a survivor, I wish mine in freshman year was more than a couple semesters in place of gym class. Maybe I would have spoken up for help sooner. I want to see abortion only in cases of rape, incest, and health of the mother. I want no more free passes for any religious congregation talking politics while making endorsements from the pulpit. I don't want immunity for anyone, including cops. Lastly, after 2015, I believe the biggest threat to America is our bought and paid for judiciary. The obstruction McConnell used blocking that many nominees across all levels to satisfy Leonard Leo and the dark money folks has set us back. We now have hand picked allies in districts where the cases shouldn't be heard setting the stage for everything to go to SCOTUS. There they're set to get rid of experts, agencies, and rights thar will harm America for generations.",0.65,415,-9.605028840310789
US:39712389,I want the people to have more say in politics and in their life,0.63,14,-0.6774456337934022
US:181606299,because republicans represent the working class!!,0.22,8,-5.391578883680795
US:126678241,"Republicans care about the people, want what is best for our country.",0.36,14,-2.303762583304679
US:2877845,right ideas,0.38,2,-7.974327310226862
US:4153462,i believe in the same things as the democrats,0.64,10,-0.5918418494614617
US:3960213,Common sense policies,0.22,3,-4.968070130023548
US:155169801,Because neither major party seems capable of producing a decent candidate for any office at any level.,0.28,18,-3.2357866687115866
US:37135163,Because it is my choice,0.36,5,-2.3161924532350024
US:2576113,"Against many liberal policies. I.e. open borders, Trans in womens sports, weak on crime, DEI, ETC",0.22,25,-4.973720122463957
US:1258795,I am closer to the Democratis Party because they are for the rule of law and checks and balances in government unlike the Republicans headed by a would be dictator who thinks he is above the law and loves fascism.,0.27,42,-3.3480209994795085
US:181430513,i am closer to the republican party because they are less hypocritical in my estimation of hypocricy,0.24,20,-4.009895631673927
US:138907275,for the people by the people is the way we SHOULD be operating.,0.39,14,-2.108783855169684
US:182481331,"Honestly, because we have a very polarizing 2 party system in this country, and i sure as hell am NOT a republican. Therefore i am a democrat.",0.37,33,-2.223020451444496
US:29998036,I agree with the polici,0.35,6,-2.378721842127549
US:140509663,Their beliefs are more like mine,0.32,6,-2.7640597542814467
US:41081604,Freedom,0.23,1,-4.309834217354992
US:948545,Because Demonrats suck,0.27,4,-6.874726306460026
US:161380007,Because I believe we all deserve equality,0.31,7,-2.815223840994652
US:1976345,"Because I believe in their philosophy, the rule of law and to help the middle class also I don't make enough money to be a republican",0.27,28,-3.27002406326158
US:1962370,I am a Republican mainly for moral values. I believe Republicans hold closer to the moral and values that I hold to so I will always choose to be a Republican,0.41,32,-1.9401835365735929
US:32216352,We care about making this country fair and just for all people not like Republican whose only goals are the destruction of our liberal democracy and feathering their own and their wealthy backers nests.,0.22,36,-4.775308904727753
US:100312211,"Logic, reason, facts, historical perspective",0.29,8,-3.057214006302598
US:106680439,"I really don’t know anymore,’ I need to switch parties",0.23,12,-5.963466898102058
US:112500305,I believe in what our forefathers wrote in constitution. I also believe in helping those who need it.,0.49,22,-1.4093131592109533
US:2725036,"Freedom, I am pro life, pro family, pro faith",0.42,12,-1.8853173576261353
US:3854673,Because they agree and are aligned to my political beliefs and how I think the government should be run more then the republicans who are opposite of me,0.26,29,-3.4894763148899384
US:145372567,"Because both parties support gifting and selling weapons to Israeli tyrants. Neither cares about Palestinians being slaughtered en masse, or the Houthis who have been fighting for them.",0.22,34,-5.529988174129064
US:25258738,Because I am not a liberal left wing democrat. I care about the quality of life in the USA. I do not care about illegal aliens. Deport all of them. Lock up criminals. Too many issues to list here.,0.52,46,-1.2746641046175404
US:169952803,Republicans suck these days,0.24,4,-6.229845928924526
US:200053699,cuz the republicans are crazy,0.38,7,-2.203021642653269
US:1894629,"I don't like woke socialists, less government is better. Take care of America not Steal and give away our money like Democrats were and are doing.",0.22,32,-5.219429550992498
US:40444921,"Democrats has a more secure approach for social programs, minorities, education for all, better health care. With protect the borders they had issues, but for all are more concern about all people.",0.22,38,-4.9184647087900855
US:4572435,I am a Republican because the republican values align with mine.,0.47,12,-1.5528521911123963
US:39250563,Common sense policies,0.22,3,-4.968070130023548
US:26304917,"I am a republican because I agree with their major policies, pro-life, deporting illegal immigrants, only two sexes, male and female, pro Israel, etc.",0.28,33,-3.13281960144223
US:102175907,Don't give away as much as democrats,0.23,9,-4.196679549962802
US:148397215,have been four yrs. not gonnachange.,0.23,11,-5.722437969092827
US:182596145,Both parties are pretty inefficient !!!,0.34,6,-7.606051780134681
US:505728,Because they are more for the poorer people,0.37,8,-2.2577465928051663
US:110126849,The Republican Party has chosen to become a cult for one unfit for the office he unfortunately holds. That means only the Democratic Party has a fighting chance of limiting the damage the present occupant of the Oval Office is causing.,0.31,44,-2.7882898262926754
US:174130867,I am conservative in my thoughts,0.49,6,-1.4254171317776532
US:1892485,law and order whivh they no longer represent,0.22,10,-4.565689418880415
US:171969377,Republicans better align with traditional Christian beliefs and values.,0.27,10,-3.3792593570751426
US:203807193,Neither,0.22,1,-5.16749666868241
US:188490537,I believe in freedom of speech and liberty,0.72,8,-0.20615350377563588
US:164429759,It is most influential to power in New Mexico.,0.25,10,-3.738246553269669
US:33794250,I am a Democrat because I believe in democracy and giving the people a voice and a choice.,0.81,19,0.3623715237078034
US:180575093,Sure how to answer that,0.25,5,-3.6759606636649425
US:156039089,,,0,
US:34772605,I cannot morally ethically vote for any democrat!! Most are socialist.,0.22,14,-5.349598460120924
US:185369013,Republican Party has become too extreme with MAGA and Donald Trump (wannabe dictator),0.28,18,-3.146007159562247
US:32003793,I have been a life long republican but I cannot support the things today's republican party are doing.,0.47,20,-1.5362136231631072
US:736541,"The Democrats are concerned about everyday people , helping to build they economy and keeping tax lowered for the poor or working person.",0.25,24,-6.456251390421957
US:30178637,Because I lean conservative and agree with most of their platform,0.24,11,-4.016164837827164
US:144386033,I don't do poltics,0.25,6,-3.6517034396873638
US:163108491,Democrats do make an effort to help the average person.,0.37,11,-2.236332653743202
US:184306119,I’m tired of immigrants illegally coming into the country and benefiting from taxpayer paid services. I think there are only two sexes and all the other is just crap. I believe in tariffs. I believe that the Democratic Party is full of thieves and liars.,0.43,51,-1.8373228341208023
US:177205711,"I agree more with them and the things they say, do, and support. They are more for middle class people like myself.",0.45,26,-1.648295743775935
US:138913953,I don't pay attention to politics,0.58,7,-0.9084150484315356
US:22054392,"They run on issues, not identity politics as the dems do.",0.34,14,-2.5270940210089248
US:649911,The stance of most issues in the Democrat party align with my belief system.,0.38,15,-2.2096875235604028
US:829638,believe in most of what they stand for,0.31,9,-2.8652252237188414
US:3282836,I think republicans save’s economy this country,0.54,9,-9.0405355412168
US:3644474,I want freedom,0.3,3,-2.9756447538022535
US:30490332,I feel republicans are for the people and democrats are for the illegal immigrants. I have a hard time understanding why we have to take care of illegals and give them benefits when we have homeless Americans,0.88,41,0.8629233601622409
US:192133211,politics and stuff,0.26,4,-3.507191435120974
US:3055095,This is the only party that’s looking out for average Americans. They don’t always get it right but they do the best they can to equal the playing field against the ultra rich.,0.45,37,-1.6556531020863996
US:107067195,Because democrats are demonic,0.27,5,-6.847997249619887
US:189113771,Not sure,0.38,2,-2.1874984942408053
US:24455663,I believe in social & economic left-wing views. The Democratic Party is seen as the USA's left-wing.,0.33,22,-2.635129585179724
US:27362353,They are more closer to what I view is the correct choices for America.,0.29,15,-2.9987902365250023
US:2567395,"The Democratic platform aligns more closely with my personal values and beliefs about the role of government and who ""We, the People"" are.",0.38,28,-2.1914982837790284
US:27014929,Na,0.23,1,-4.162653026504952
US:197590917,Right now they share some of the same values as I do and the way I want to see this country go. The Democrat party and I share none of the same values or vision for this country,0.49,39,-1.4457064378373568
US:4281202,because I believe in a democracy and that all people should have a chance of living the dream,0.44,18,-1.7148313119505607
US:197806785,Because of my complete loss of faith in the Democratic party. Even though i disagree with aspects of how Republicans do some things they at least male things happen.,0.22,31,-5.207841621645854
US:39885739,"The power of ordinary and all people reside in the government officials they vote for, our representatives; according to our Constitution. I love my country and think a Republican is the best form of government we have and ever have. I will always vote.",0.22,49,-5.108755674657118
US:40815774,I believe the government exists to improve life for its citizens. Currently the government seems set on improving the lives of billionaires and politicians.,0.44,26,-1.7723978045711417
US:4013639,I vote for the person I think will do the best job,0.82,12,0.41739575131521023
US:257196,I am a conservative who believes in the goodness of the USA. I support the armed forces and the police. I want strong closed borders and illegals deported. I want fair trade a balanced budget. I want strong families and school choice. I don’t want money going to leftist or liberal schools or causes. I support Israel. I believe Donald Trump is the right leader for the current times.,0.56,79,-1.0467635809278961
US:193207065,I like them.,0.57,4,-0.9898324422493198
US:126208417,Because the party aligns with my moral compass of helping those who are unable to help themselves.,0.3,19,-2.920681627649689
US:4510818,"The democrats have no concern for the safety of the country, the citizens or our rights as americans.",0.67,22,-0.46317162108299004
US:111864859,"They represent my values on free speech, the rule of law and common sense. Meritocracy is values over equality of outcome.",0.27,26,-3.405199421659296
US:169892699,"I prefer to be a liberal, a democrat and a republic has so many bad things, I would like to choose another candidate, a new face, someone who does not think just because the president of the United States believes himself to be the King of the world.",0.39,53,-2.056032364223173
US:38836752,"Because republicans only think of two things. Themselves, and money. Democrats care about people, they help people. Republicans can only think of, what will this situation will do to make me wealthier. Democrats think how can I help others with this situation. The republican party has sold out America. They think that they are the only ones that matter.",0.48,73,-1.4797083241336535
US:137953211,I don't like to be told by anyone how I should think or behave,0.76,15,0.03778774121284798
US:114891825,I want the USA to be a great place again MAGA!,0.39,13,-2.1194202010443624
US:169143651,Republicans are for American people and do what is right.,0.34,11,-2.5232454042309755
US:128217457,I believe in democracy and freedom and want them to continue in my country.,0.7,15,-0.3136190536224585
US:194053277,Republicans are crooks in a very dangerous maga cult,0.22,11,-5.361846614014219
US:4476379,They are similar,0.47,3,-1.523183526680938
US:629443,I value virtue,0.29,3,-3.0680735963732313
US:4541408,Conservative in most of my political leanings.,0.3,10,-2.952256561488803
US:32711723,Because republicans wants laws that set us back 30 years and the e democrates try move us forward but they do it all ass backward. So nothing gets done 5he right way.,0.27,39,-6.7695924108505245
US:197540039,Trump divided the nation,0.29,4,-3.0479043729476047
US:37981556,"The Republicans have gone off the rails, and are bat shit crazy or only followers. Using fear and we will stop the other side at all cost not work with them. Even if we liked the idea yesterday, but they proposed it first it must be bad and killed. Don't have space to go into their cut rich taxes and not the average citizen. The democrats give it all away, everyone gets a trophy. These people aren't doing well lets through buckets of money at it. That didn't work lets start another program and dump more money, never getting rid of the first or having any plan to hand up always hand out. Also no spine when it comes to outrageous lies from the other side.",0.44,142,-8.418580113269664
US:133972483,"I lost all faith in the Republican party who no longer even follows their own general policies; the Democrats tend to be more inclusive, more concerned with the ""average"" American person, they see more then the needs of the billionaires.",0.24,46,-3.8518172120609924
US:129019595,I grew up in a Democrat family and was a Democrat for decades. But the Democratic Party has become a freakish embarrassment. It lied to keep a senile corrupt career politician in office & then repolaced him with a laughingstock as his replacement. I don't care for most Republocans but at least most have common sense.,0.22,69,-5.2741673376097955
US:30616064,they are for helping ALL people NOT just the very rich people,0.23,12,-4.3813756257604295
US:920847,Right to life,0.44,3,-1.743443417980608
US:186108123,Because they are more for the people,0.49,7,-1.418883733231987
US:1097277,When I was 18 my uncle was running for commissioner. He was very surprised to find out that a lot of the cousins weren't registered so he got us all signed up. Since he was a democrat he signed us all up as democrats. I never even knew the difference,0.53,56,-1.1738029455596506
US:26620059,When i was 18 i had to sign up for the draft and i sign up to vote and my family at the time was but i don't alwys vote a straight ticket.,0.42,38,-1.8592946289598902
US:46334666,They respect and protect the Constitution.,0.31,7,-2.80650911299557
US:194603601,"I think there is a lot more of the government can do to provide services to its people, and it should. I also think that we are away too much in all of billionaires, and that they should be taxed more.",0.4,45,-2.0293723891863213
US:126798203,I believe in the republic,0.57,5,-1.0053783115150752
US:120564025,"I am a working class, union member who loves his country. Although I don't agree with everything they stand for, they do stand for the working class.",0.76,32,0.03252614108798126
US:34068622,I am very conservative and the republican party is more aligned with my views,0.67,14,-0.467766460186973
US:30518058,"We'd really like to know how you think about your key political choices. In your own words, why are you closer to neither the $wording_democratic_nor_republican Party? The politicians of both parties often seem aloof, self-serving, and actually not very widely informed; they seem to be aware of very little actual history, both national and world, most lack logic, most are biased to the point that new evidence contrary to their beliefs has little effect on their opinions. Exceptions are few and appreciated.",0.34,105,-7.613328456953879
US:183638017,My values most align with the Democratic Party.,0.56,9,-1.0202274338470247
US:155681713,I am for Smaller government. And following the constitution,0.28,11,-3.217578116884291
US:41116534,I agree with both on certain topics.,0.31,8,-2.8386831251365825
US:28165083,More conservative principles,0.22,3,-5.379525451473551
US:119640917,They are slightly left of republicans,0.23,7,-4.348123859112857
US:46980040,"Because Democrats support ordinary people, unions, the environment while Republicans support the rich and giant corporations",0.23,18,-4.341126503206146
US:166432403,Because I am not a republican,0.29,6,-3.025920271102738
US:22861945,My leanings are towards being conservative,0.52,7,-1.2838840012688473
US:4588496,"Democrats care sbout the people, not just the wealthy",0.24,11,-3.9629825374614276
US:941486,The democrats lie & tried to hide the fact that Biden was senile. They push disgusting agenda. You are either in their side or you are wrong. No compromise. They push hatred of anyone not agreeing with them. Obama built the holding area for illegals but you heard nothing . Trump used the same holding cells & democrats called him Hitler . Pelosi is to blame for not sending in reserves on Jan. 6th but that’s hidden news. Democrats are to blame for all the illegals in the USA. Democrats are anti biblical values.,0.22,111,-4.814208342654349
US:184245211,I believe in limited government. Eliminate wasteful spending. Eliminate dei so the best qualified individual is hired or promoted. Curtail immigration and stop illegals from crossing the boarder. Stop rioters from looting and destroying property.,0.23,48,-4.2677289230957065
US:30497318,The alternative these days is fascism,0.24,6,-3.854102291432647
US:2407967,republicans are even more extreme,0.59,7,-0.8698115805365031
US:35989721,"Support the MAGA movement, Make America Great Again",0.52,10,-1.248138105384143
US:1281234,"They are two heads of the same venomous snake. What we are presented is just a grand stage play, not unlike the WWF/wrestling theater, meant to manipulate and keep people scared, distrustful, and hating each other. However, the cycle always comes back around.....for a while, at least.",0.22,65,-5.457677856719809
US:40650859,Democrats turned total dictator communist authoritarians!,0.53,9,-8.982039789315575
US:149283887,It aligns more with my values.,0.23,8,-4.173201971670146
US:1096150,I'm a Maga Republican.,0.4,7,-2.031652733585411
