person_id,why_think_pid_with_when,prob_machine_generated,n_tokens,glimpse_criterion
US:1476228,I believe that the government should be very small and not interfere with how people live their lives.,0.87,19,0.8158366676498113
US:28205090,I'M PRO-LIFE.,0.3,6,-2.9537643839415635
US:100880745,I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.,0.56,57,-1.0141404057114132
US:186835863,I believe the Democrats will help the average person more than others.,0.37,13,-2.227974593049074
US:1379380,"Democrats want to help people succeed, and offer solutions to problems. They believe in science and people's abilities to be their best. They are not mean or cruel.",0.69,33,-0.35549068679553975
US:28482816,Because most democrats talk and take action on situations in the USA that I believe in,0.22,17,-5.513811124000133
US:486634,"I think the democratic party is starting to go crazy. They are supporting communism, DEI, transgenders, etc., People do not want this crazy so I left the party and went with the one that cared about America and American people",0.25,48,-3.6615684182444252
US:174822949,I could not vote for Trump,0.57,6,-0.9854661292085644
US:139527795,Social programs,0.23,2,-4.117868032103029
US:167873871,I vote issues not platforms,0.29,5,-7.063213905282681
US:192371409,Trump does what most presidents has done and they make a big deal out of it like not giving due process to illegal immigrants. Another reason is that democrats care about identity politics which nobody cares about.,0.22,40,-4.861038302001105
US:2898489,"Democrats are idiots, and well, I'm not",0.42,10,-1.8489457963205986
US:546515,As an African American I dont see any other choice. I can be a democrat or join the party that pals around with white nationalist? No thanks!,0.23,30,-4.110968538052845
US:186211393,Caring about others,0.63,4,-0.6483029006991017
US:32243182,"The general republicans are also pretty shitty, however Trump and the MAGA movement are actually trying to restore this country to greatness and give it back to the average working man that build this country and not let the marxists on the democrat side win.",0.28,51,-3.134730184068801
US:128742039,Like them,0.22,2,-5.598576556713727
US:131189495,I support what Trump and DOGE are doing. I had no idea so much of our money was being filtered back to politicians.,0.25,26,-3.663284253224702
US:22505108,i believe what the republicans think,0.24,7,-3.9202320872030767
US:108650,Their positions and values line up with mine. Democrats have become totally extreme.,0.27,15,-3.4261525739986434
US:108070083,They make the most sense,0.46,5,-1.587083022869361
US:290784,Because of their mostly conservative views,0.3,6,-2.994749624587368
US:1846540,"Because the government is there to make the country better FOR THE PEOPLE, through legislation that helps everyone, especially low income folks.",0.28,25,-3.1453528553336496
US:40795041,The Republican Party is more responsible than the Democratic Party and more aligned with my values.,0.49,17,-1.4309969207744038
US:126130405,I rather fend for myself.,0.26,6,-3.5556538536663487
US:40967547,"Small government , less tax, stronger local government.",0.23,10,-4.316414138657984
US:138532473,"I am for helping people and not of people having pull themselves up by their bootstraps. Believe in human rights, healthcare for all, SS is a very good thing, helping the underdog.",0.24,40,-4.014994073270431
US:135625361,I'm as Conservative as is possible and they align most closely with my position. Not that they're really all that great.,0.25,25,-3.7224092327485976
US:143489809,My views and priorities align with the left and center left of the party,0.4,14,-2.004246137539567
US:176733001,"Ever since Donald Trump ran for president in 2015, Republicans are unable or incapable of standing up for their constituents, even when Mr Trump's policies are not in their constituents' best interest. Plus, I don't trust any Republican, especially Donald Trump, after how the attack on the capitol played out. Republicans are either lying or delusional when they claim that the events of January 6, 2021, were peaceful and not an attempted coup. Now that Donald Trump has been re-elected, his delusional take on reality cannot be trusted. Moreover, Democratic positions and policies help everyone, while Republican positions and policies primarily, if not solely, benefit Anglo Saxon, protestant men. Democrats seem to be focused on the future, while Republicans are stuck in the past, but a fantastic past that never actually existed.",0.25,169,-3.7918907197830514
US:31331333,More like the people in my town,0.42,7,-1.8672341045661676
US:194162167,Because I believe in freedom,0.44,5,-1.7498063321830712
US:3085239,no comment,0.22,2,-4.992776093219854
US:27240065,Mostly because of my views on abortion,0.44,8,-1.767597131545342
US:37453797,Democrats tax and spend and have over the years disregarded the middle class,0.28,14,-3.2638605475169347
US:1582048,Because I care about people and the planet.,0.46,9,-1.6319867749821209
US:143509995,"Because republicans are too religious, conservative and self serving.",0.22,12,-4.5075952168843525
US:165320667,Dems treat people more fairly and cheat less,0.22,9,-5.134579974439494
US:25773417,"I believe in healthcare for all, pro-choice, anti-racism, pro-services for citizens (social security, etc.)",0.33,25,-2.5875076838650015
US:142456337,Republicans are conservative and for the everyday people who done have a voice like the rich actors or athletes.,0.22,20,-5.697577057632779
US:128058639,Because democrats are crazy at the way they handle things. And not weighing out things,0.23,17,-5.716695751153576
US:121183699,I dislike how most of the current Republicans in office follow the herd and COW down to Trump instead of standing up for what's right for the people.,0.44,31,-1.734688965996149
US:128079483,I don’t remember,0.63,4,-0.6568900427420703
US:28390583,NEITHER DO WHAT THEY SHOULD,0.25,6,-3.6109139056705097
US:4319079,Tougher on illegals,0.52,6,-1.2628507949739507
US:27535402,I agreed with what she said and I thought Donald was a lunatic. I still do.,0.37,19,-2.2222664303654405
US:2279772,"They believe in the constitution and the wealth, the people",0.32,11,-2.66386762515036
US:1426621,Women must always have the right to choose. We have to support the social programs that are in place to help when needed. I love this country and am horrified and terrified about what I see happening. It's anything but democratic lately and people are still sleeping.,0.34,52,-2.5378520527102384
US:2351490,"The Liberal-Democrat Party Has Lost the Vision of the People. They Have Become Bought and Paid for Elitists, Representing The Upper East Coast and Kalifornia on the West Coast. They Long Ago Abandoned, the Average American...",0.26,49,-3.577788188803779
US:41955514,Democrats are ruining this country with liberalism,0.24,7,-4.069564790054607
US:126803469,Liberal in all my beliefs,0.31,6,-2.8169546745712495
US:4156057,"Democrats are for the people who work . They represent the majority of Americans. They protect the rights of workers, children , the elderly, the disabled, and the unions . They want the billionaires and big corporations to pay their fair share of taxes and take the weight off the middle classes.",0.41,57,-1.9658670825518607
US:25896055,Republicans don't care about their constituents,0.38,7,-2.179670460578048
US:37840851,Because I am conservative in my line of thinking. Morally correct and reasonable.,0.23,16,-4.439266463410587
US:42611179,I believe in the values of the former Democratic Party. The one my parents and grandparents believed in so strongly.,0.73,22,-0.11776360627808707
US:117878507,Both parties have lost touch with what made this country great its all right or left thinking and nothing inbetween,0.24,21,-3.952643952819019
US:3008494,I dispise the republican party,0.3,6,-2.9252294092367306
US:2882424,"We are for our wonderful country its founders and Declaration of independence, Constitution and Bill of Rights. Our Flag. Working hard and being awarded for it. Fair wages and opportunities. Freedom and free speech. Being Patriotic.",0.22,44,-4.5900585301211
US:27286398,support small government and people taking care of themselves.,0.23,10,-4.309463021314518
US:33145216,I have always considered myself a Democrat as they represent my values so much better than the other party,0.56,19,-1.0158307678597958
US:2417808,their polices are closer to my positions,0.22,8,-5.124505876225723
US:3711871,Totally disagree with the Liberal party of democrats.,0.23,11,-4.448835823628649
US:22479083,"I will never vote for another Republican because they have lost their collective minds. They don't care about who they promote - think Herschel Walker, MTG, George Santos, Boebert, Hegseth, Musk... They do nothing about the corrupt Supreme Court judges that they stacked to do their bidding. They have combined white supremacy, corporate greed, Christian Nationalism, and Curtis Yarvin’s ""philosophy."" They think ditching the Constitution and suppressing Congress and the Judiciary and letting the president have immunity for crimes committed in office are improvements. They did nothing about taking Musk out of his rapid course of destruction. They just voted to deport American citizens. I am not pleased with Democrats because they tend to use tax money to create programs for a limited population over and over while I worked hard for that money but at least they do it out of concern for some people.",0.55,178,-9.081026529559287
US:45832991,I think of myself as Maga Republican. I am that because the left is to far left and has become Globalistic.,0.24,25,-4.008423135131309
US:373594,Because we believe in justice,0.33,5,-2.658597329116279
US:24551849,Most of my strongly held beliefs and values are in line with Republican beliefs and values. I am very conservative and the Republicans are the party most closely aligning with that.,0.69,34,-0.33665170586439536
US:26440196,The word Democrat is part of the foundation of our country——-Democracy,0.25,15,-3.817147375998703
US:113353081,Because our politicians take bribes whenever they think they can get away with it. I first joined the tea party and now MAGA,0.22,26,-5.361813093796718
US:161653365,This is a least question please see previous answer,0.22,9,-5.15906513517599
US:4274808,I feel every person has a right to their own opinions and should be seen and heard.,0.73,18,-0.10766370806165675
US:597116,The Democrats are too far left and out of their minds,0.49,11,-1.4430550499278283
US:670080,I don’t agree with any party.,0.45,8,-1.695989686380521
US:1804280,That is personal.,0.24,4,-4.004095539341618
US:30701219,I believe in democrats and what they stand for,0.48,10,-1.476550626612472
US:990540,because i want to be in a party that has guts and not one that lets everyone walk all over you,0.39,21,-2.0903923115988428
US:163989631,They support issues I support,0.23,5,-5.793589788789657
US:137783195,Because the GOP imploded. No longer conservative. Party of “No” and party of cruel decisions on behalf of society,0.22,24,-5.131943473724875
US:112049047,Better values and desires for this country as a whole.,0.27,11,-3.365115522222258
US:28491293,The Democrats are more concerned with equality and ensuring equal protection under the law for all while the Republcans are more interested in ensuring the best for the rich and anglos.,0.44,36,-1.7187919551298638
US:150431611,"Because I agree with Republican ideas, and for the most part find Democrat views unrealistic and stupid",0.22,18,-4.861740759483484
US:35905672,No reason,0.24,2,-3.873376378835492
US:41217056,My views align more with the Democratic Party.,0.59,9,-0.8765342739400935
US:172489391,Because I couldn't ever think of myself being close to the Democratic Party. I think the Democratic Party is trying to implement socialism.,0.32,26,-2.713911139251496
US:4482809,im not sure,0.32,3,-2.718279110347643
US:186669327,For the people,0.6,3,-0.8018226209710947
US:40022218,i care and empathise with others,0.24,7,-4.0683267311027125
US:1421994,Agree with their platform and policies more often,0.25,9,-3.654086740178683
US:139758105,"Trump is the figured of a disease in America. I see Trump as dangerous to our American values. He has no respect for the rule of law, freedom of speech. Or freedom of the press. His narcissism knows no bounds. He is the most ignorant president we have ever had",0.62,57,-0.7404881580235702
US:40943555,"I believe the united states should not borrow money, should have a balanced budget, I'm fiscally conservative",0.4,22,-1.9979838441118916
US:199829417,Because their policies align more with my beliefs promulgated by my faith in Jesus Christ,0.23,17,-4.296221106408566
US:1729988,F trump,0.38,2,-7.973832112414577
US:1130607,I'm really weary of the tax burden. I think we need to shrink the size of government at all levels get back to the Constitution.,0.45,28,-1.6935248926257473
US:178340357,I think the major problem with the functioning of our government is due to these two major political parties who refuse to work together and also refuse to work for the people. Another major problem is how wealthy they became as a result of their party positions. And I am not referring to their government salaries.,0.58,59,-0.9271324625283198
US:139599977,"I am very conservative, and for the most part, feel that Republicans support my viewpoints.",0.54,18,-1.1608979983280525
US:3351511,My values are more in line with the Republican party.,0.78,11,0.15980657112093946
US:1625340,"The democrats lost their way. They used to be for everyone, now the fight for less than .05% of the population, and prefer illegals over citizens.",0.38,34,-2.161991839890576
US:939207,Because they represent democracy and the common people better.,0.22,10,-5.050044886846166
US:168601691,Support small government,0.29,3,-7.101245253317547
US:177520929,I disagree with what both parties are doing with issues put before them. If want to know who leads it's the Democrats pretty clueless.,0.28,28,-6.941155787805818
US:4191686,I think Republicans are too radical at this point in time.,0.44,12,-1.754580027828841
US:182233645,Because the democratic side is the only sane side especially right now,0.22,12,-4.6833905521765145
US:197890433,Im for freedom and helping people,0.22,6,-5.6149165385921895
US:26736042,"Rebublicans are better at managing national security, the economy, health care and mqking comon sense laws.",0.24,24,-3.8564082742985843
US:155870419,I'm for making and keeping America the leading country in the world.,0.49,14,-1.4369447966733444
US:4364745,I don't agree with one or the other enough to be considered a part of the party.,0.4,19,-2.007704734039026
US:142438759,They are more for the people and doing what's right and keeping this country on right track,0.37,18,-2.2640876036751756
US:4201733,Democrats care about democracy and all people,0.26,7,-3.47028486174971
US:3523748,I believe in most of their ideas,0.41,7,-1.9810100284616827
US:2867682,I support conserving the traditions and values that are kind father,0.22,12,-5.256763321535017
US:1336536,just do,0.22,2,-5.242451139047592
US:45056868,"I care about everyone, not just the rich",0.67,9,-0.4490486098338464
US:1189946,The Republican party has become more extreme.,0.71,8,-0.2271112577021264
US:2297173,I was raised as one.,0.29,6,-3.0731060344035104
US:3183554,Emphasis on smaller government,0.26,5,-3.4705821273459265
US:519167,Democrats work for ordinary people.,0.25,6,-3.6107796142648523
US:186860737,"Social issues and equality are important to me, and I hate to see the rich getting richer while the poor and middle class co time to struggle",0.44,28,-1.744355263993637
US:124249271,"Many democrats, consider themselves the voice of the people and put chance behind the the people, when it comes to advocating for freedom, equality, and inclusion.",0.23,32,-4.15480299985758
US:1885144,The party candidates' positions and voting behavior match my own more closely than those of the Dems.,0.26,19,-3.441642346379771
US:3003626,Common sense. American values. Not woke or crazy,0.22,10,-5.424188030974002
US:32637599,I stand with others who look at Republicans as the voice of the people and for common sense.,0.41,19,-1.9646498502497656
US:204417585,The Republican party has values that I have.,0.37,9,-2.2623802782772002
US:193611061,"I still think of myself as a Democrat because that was my choice for a very long time.Then,I became very disgusted with them,for various reasons.Who knows-perhaps there are still some great Democrats out there,but from what I see,there is nothing to get excited about.",0.25,56,-3.62690968580418
US:4275792,Because they continue to put God and the nation first.,0.25,11,-3.781424699160831
US:1936408,I value people and their right to live their life as they choose as long as they do no harm,0.68,20,-0.3776415383419651
US:40590505,I PREFER WHAT THE PARTY STANDS FOR AND NOT WHAT THE DEMOCRATIC EXTREMISTS STAND FOR.,0.29,24,-3.04071670834307
US:197208331,10 years ago,0.54,3,-1.14254642896531
US:176570529,Neither the Republicans or Democrats have the people in mind when making decisions and it's not right.,0.43,19,-1.816209715115823
US:194176021,Because I believe in the policies and the Republican Party with President Trump leading,0.26,14,-3.5105124428677126
US:2654290,iam for god country and for law and order and 1 beautiful AMERICAN FLAG,0.22,16,-5.469239042589509
US:4415166,I believe in reality and not giving everyone money for nothing. I believe in business morals and running the nation like a business.,0.3,25,-2.8924141605000253
US:46328622,Neither party has principles or firm or fixed policies or an inspiring vision for the country or its people. I don't believe Trump is a principled leader who has values. The Democrats have no leaders at all.,0.35,42,-2.4171028377365977
US:175082343,"At the time, I believed Democrats had the answers and represented people like me.",0.28,16,-3.233494969664951
US:717722,I care about people and want everyone to have freedoms,0.33,10,-2.6062309157798538
US:1663104,The democrats have been very deceiving and dishonest.,0.56,11,-1.0545907635200018
US:4262035,"I'm conservative, not Liberal.",0.28,7,-3.2087542590429274
US:40736513,Because I am non violent like most Republicans and I just want what is best for our country and our people.,0.29,22,-3.0489255530522876
US:169360,"The Democratic party is aligned with my values. It is concerned with promoting democracy, addressing climate change, enforcing civil rights, using government as a means of helping the neediest in society and reducing economic inequality, and providing access to health care, education, the arts, national parks, etc. It doesn't always do these things well, but at least it tries.",0.48,73,-1.4846131971614156
US:27289551,Because it is the only bulwark against pure evil taking total control.,0.23,15,-4.256877752274043
US:349992,I believe that the middle class needs to be represented and I believe that our country should help others,0.75,19,-0.007021360333100267
US:1058451,GOP closer to the middle,0.22,5,-5.05517680168601
US:1547702,"I have too rule, Stay out of my life, stay out of my wallet. Neither party follows the rules but the Republicans are slightly less likely to raid my wallet. I figure with less money there is less meddling.",0.22,44,-4.770534934150848
US:185325667,Like the conservative media,0.25,4,-3.8035614204377257
US:125486481,People should help people,0.31,4,-2.8685694529607324
US:670658,I’m conservative and republicans are generally less liberal than democrats.,0.5,14,-1.3605663733129438
US:25724409,its what my dad was and just took it on as he did,0.22,13,-4.63266278960806
US:100457741,Because I want every bidy to be treated like everyone else.,0.22,13,-5.211992074709323
US:146221751,I can see both sides of a given argument,0.64,9,-0.5877889030930994
US:33940755,See above. Sometimes I just pick the candidate I dislike the least.,0.23,14,-4.244459829454856
US:40323596,I believe in their polices and not the racist polices of the Republican party.,0.44,17,-1.76630298160803
US:67044,"I prefer traditional customs and values, limited government interference, social order, individual liberty and social responsibility and stability.",0.25,22,-3.756311253434714
US:27187911,Because the Deyhave lot their mind letting 10 million illegals into our Country,0.32,17,-7.47769560008164
US:28536487,Because I believe the GOP is the only sane political party we have. I prefer to see some semblance of sanity in our politicians.,0.43,27,-1.7888871574399425
US:177598529,Because they most closely represent the ideals of democracy and freedom.,0.34,12,-2.469656566688828
US:170096505,"There are at least SOME Democrats who agree that I'm a human being entitled to the Constitutional rights I am entitled to by my birth on American soil. Republicans would all prefer I be stripped of my citizenship and have all of my rights cancelled, if not prefer that I be executed as a useless 'undesirable', unworthy of the ""waste"" required to keep me alive if I earn no money for a rich man nor bear any children to become cannon fodder for wars.",0.22,96,-5.449481924286675
US:4334999,I think so because I think you need to listen to all sides of ideas to make the best decisions.,0.56,21,-1.062422267910484
US:155287751,The Democrats changed,0.25,3,-3.661046234751464
US:2292430,not your business,0.23,3,-4.150698733304713
US:24846815,Democrats stand for the rights of the middle class and working people. They stand for the rights of everyday Americans and believe in science and education and healthcare for all.,0.72,32,-0.18391588887905622
US:185850865,I am going to change parties the democrats are not working for the people anymore.,0.4,17,-1.9997910910571877
US:167521275,I only buy what I can pay for. I’ve never been on any government assistance of any kind. If I wanted to buy something I saved and worked for it.,0.68,34,-0.4234020564560908
US:153420309,"Do not agree with any of the current Democrats, ultra-liberal , regressive priorities or policies.",0.22,20,-5.310982969330806
US:3213703,It aligns most closely with my beliefs and values.,0.33,11,-2.561265255623252
US:41063862,because . . .,0.22,4,-4.73918680013435
US:1437241,Because both parties are corrupt.,0.24,6,-4.029665745684426
US:45827685,No more freebies,0.53,4,-1.1892762814539826
US:182884763,I just answered that question,0.42,5,-1.8929094938244992
US:24918722,Because the party aligns with my beliefs regarding civil rights and giving everyone a fair chance in life,0.27,19,-3.382848460937285
US:40618263,"The Democrat party is no longer the party of Kennedy Democrats. They are socialist, Marxist, intolerant, progressive, antisemitic, intolerant and violent.",0.56,32,-1.043879348610234
US:4316372,Because I was disenfranchised with the constant bikkering between the two parties and not getting anything meaningful accomplished in the process.,0.26,27,-3.5651783385188214
US:22969670,"The Republican party generally supports policies that are more in line with my views, such as free enterprise, limited government, and lower taxes.",0.81,27,0.37346695225336213
US:35672523,"I am a patriot, love the United States, am conservative, law abiding, with common sense. I care about this country, for my family and the future.",0.46,34,-1.597550477912059
US:27382076,I believe more in helping my neighbor than in helping myself.,0.66,12,-0.5294945839582976
US:1571973,republicans are morons,0.47,6,-1.5424498814282033
US:165827235,I think they do a much better job looking out for marginalized people,0.24,13,-3.8976410475365553
US:172003357,"They are the party that closest matches my views. They are pro equality, pro lgbt, pro women, and assist the poor. They aren't as big business as the republicans. The republicans want no taxes for the rich.",0.51,49,-1.2917410591455658
US:162798869,I generally have an affinity with Republicans on cultural issues.,0.26,11,-3.5166416065156567
US:203369965,Because,0.27,1,-3.3287414279359746
US:192777411,After 2001 I thought republicans were the way to go but by 2007 or 2008 I started to see how republicans acted. Also I was getting fully into adulthood. Then republicans just started getting worse ans worse and democrats just made a lot more common sense to me.,0.23,61,-4.423650345750982
US:1606192,"My mother signed me up when I was if age. I never bothered to change it. I vote fir who I want, no matter which party",0.22,29,-4.7037027657046
US:145782741,Because I support a government that puts the well-being of average citizens at the top of their priorities.,0.28,20,-3.149625423327013
US:101551735,I agree with most of the stance of the Republican party except with respect to LGBT people.,0.37,18,-2.2372224406089782
US:165922855,"Because both sides are corrupt. When in doubt, vote them out",0.29,13,-3.049059544926389
US:117331823,Bc they know what they are doing,0.54,8,-1.138718536067782
US:4412186,They seem to be in favor democracy,0.24,7,-3.949237948641178
US:3164254,They are the party of the people not the politicians,0.7,10,-0.305238554763704
US:183369565,Conservative,0.35,2,-2.4603725794151234
US:39417223,I'm quite intelligent and capable to think critically.,0.43,10,-1.830970915385769
US:186274103,The way I live my life is an extension of democratic policy approaches.,0.26,14,-3.490431102584802
US:206068529,No party,0.22,2,-4.58007133183365
US:4130138,MORE OF MY POLITICAL VIEWS HAVE ALIGNED WITH DEMOCRATS.,0.24,15,-3.828733855114784
US:195224515,I belive in the core values of the party.,0.8,11,0.3081275113007513
US:207421231,Because I don't do politics.,0.27,7,-3.2894839078967997
US:193198921,"I am not a fan favorite of any politician, because regardless of the party 🎉 he or she are known crooks, criminals, and liers that I don’t trust. Mr. jimmy Carter is, and was the only President that truly made a difference. The President that is in office, and 99% of those before him should be in prison, especially Mr. Trump, JD Vance, and Mr. E. Musk.",0.22,90,-4.723632640700276
US:178410399,My views align with the Republican mindset.,0.33,8,-2.5704847674530007
US:200818699,This what I have always idenified,0.23,8,-4.169468202406896
US:163244629,"Believe in fiscal responsibility, killing babies just seems wrong, people need to be responsible for themselves and not rely on the government for everything, smaller government is better government",0.43,33,-1.775577329024618
US:176988331,Because both sides have gone to the extreme,0.38,8,-2.1848027061835023
US:2999933,Didn't like Democratic agenda and their choice for president,0.22,10,-5.406092626474029
US:238534,Not sure anymore I'm starting to change my mind,0.29,10,-3.027959362563357
US:4637314,My entire family are Republicans,0.26,5,-3.5996508536824936
US:4350425,Freedom..democracy,0.29,4,-7.081692308058639
US:155847739,As far removed from rep stanc as possable,0.6,10,-9.334894639691841
