,person_id,question,text,prob_machine_generated,n_tokens,glimpse_criterion,full_text,prob_machine_generated_full,n_tokens_full,glimpse_criterion_full
16,US:100754677,why_moved_to_current_state,"Partner’s job, to get out of Texas",0.22,9,-4.99057585650595,"1980s   Democrats more humanist, Rs increasingly focused on a twisted version of Christianity. And that’s just the tip of the iceberg.   Partner’s job, to get out of Texas",0.22,39,-5.432818900730983
17,US:100792235,when_decided_pid,Around 2015 when I graduated from high school and started to experience more of life as an adult.,0.4,21,-2.010972275400533,Around 2015 when I graduated from high school and started to experience more of life as an adult.   Their values and views are much more in line with my own.,0.33,35,-2.5986426930117013
18,US:100792235,why_are_pid_with_when,Their values and views are much more in line with my own.,0.73,13,-0.1216960056721022,Around 2015 when I graduated from high school and started to experience more of life as an adult.   Their values and views are much more in line with my own.,0.33,35,-2.5986426930117013
19,US:100795533,when_decided_pid,After the last 2 elections I realized both sides are equally as hypocritical as each other.,0.52,19,-1.271851249463821,After the last 2 elections I realized both sides are equally as hypocritical as each other.   Both sides only try to serve their own interests not he interests of the people   Parents wanted to come back to the US,0.24,44,-3.9195987073158274
20,US:100795533,why_are_pid_with_when,Both sides only try to serve their own interests not he interests of the people,0.28,15,-3.2602615666979604,After the last 2 elections I realized both sides are equally as hypocritical as each other.   Both sides only try to serve their own interests not he interests of the people   Parents wanted to come back to the US,0.24,44,-3.9195987073158274
21,US:100795533,why_moved_to_current_state,Parents wanted to come back to the US,0.37,8,-2.2863636816647124,After the last 2 elections I realized both sides are equally as hypocritical as each other.   Both sides only try to serve their own interests not he interests of the people   Parents wanted to come back to the US,0.24,44,-3.9195987073158274
22,US:100825775,when_decided_pid,Always,0.23,1,-4.413427954033356,Always,0.23,1,-4.413427954033356
23,US:100825775,why_are_pid_with_when,Always,0.23,1,-4.413427954033356,Always,0.23,1,-4.413427954033356
24,US:100874949,why_are_pid,I agree with their values,0.31,5,-2.774678916076241,I agree with their values,0.31,5,-2.774678916076241
25,US:100880745,when_think_pid,When I voted in the 2016 election.,0.4,10,-2.021140654646178,When I voted in the 2016 election.   I was born in NY   I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.,0.36,74,-2.334248462168279
26,US:100880745,why_moved_to_current_state,I was born in NY,0.68,5,-0.3931391313585613,When I voted in the 2016 election.   I was born in NY   I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.,0.36,74,-2.334248462168279
27,US:100880745,why_think_pid_with_when,I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.,0.56,57,-1.0141404057114132,When I voted in the 2016 election.   I was born in NY   I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.,0.36,74,-2.334248462168279
28,US:100936619,when_decided_pid,"Democrats lie and do not listen to their constituents! And, they stay if Congress way too long. They lie all the time and they have no respect to WE THE PEOPLE!!",0.22,35,-4.559098310648022,"Democrats lie and do not listen to their constituents! And, they stay if Congress way too long. They lie all the time and they have no respect to WE THE PEOPLE!!   They keep their promises!!   I was born in Florida",0.22,47,-4.726676679992266
29,US:100936619,why_are_pid_with_when,They keep their promises!!,0.22,5,-4.758909546279895,"Democrats lie and do not listen to their constituents! And, they stay if Congress way too long. They lie all the time and they have no respect to WE THE PEOPLE!!   They keep their promises!!   I was born in Florida",0.22,47,-4.726676679992266
30,US:100936619,why_moved_to_current_state,I was born in Florida,0.83,5,0.5095177750174399,"Democrats lie and do not listen to their constituents! And, they stay if Congress way too long. They lie all the time and they have no respect to WE THE PEOPLE!!   They keep their promises!!   I was born in Florida",0.22,47,-4.726676679992266
31,US:101022261,when_think_pid,Not sure,0.38,2,-2.1874984942408053,Not sure   Born here   Freedom of speech and fiscal responsibility,0.37,12,-7.9199841237627515
32,US:101022261,why_moved_to_current_state,Born here,0.24,2,-6.211084609295849,Not sure   Born here   Freedom of speech and fiscal responsibility,0.37,12,-7.9199841237627515
33,US:101022261,why_think_pid_with_when,Freedom of speech and fiscal responsibility,0.31,6,-2.8049386874467372,Not sure   Born here   Freedom of speech and fiscal responsibility,0.37,12,-7.9199841237627515
34,US:101110507,why_are_pid,More to my. way of thinking,0.26,7,-3.4369363108751383,More to my. way of thinking   For love of a man,0.23,13,-5.710530020671832
35,US:101110507,why_moved_to_current_state,For love of a man,0.4,5,-1.9989735889463145,More to my. way of thinking   For love of a man,0.23,13,-5.710530020671832
36,US:101112849,when_think_pid,When tRump was elect,0.31,6,-2.8356292851930056,"When tRump was elect   Military   MAGA has ruined everything, and the democrats are too nice. We need a third party.",0.23,29,-4.451455754869525
37,US:101112849,why_moved_to_current_state,Military,0.23,1,-4.3068628575084205,"When tRump was elect   Military   MAGA has ruined everything, and the democrats are too nice. We need a third party.",0.23,29,-4.451455754869525
38,US:101112849,why_think_pid_with_when,"MAGA has ruined everything, and the democrats are too nice. We need a third party.",0.68,21,-0.414877898361291,"When tRump was elect   Military   MAGA has ruined everything, and the democrats are too nice. We need a third party.",0.23,29,-4.451455754869525
39,US:101148325,why_are_pid,"We care about the real American dream where anyone can get ahead, not just the rich. We cherish diversity, inclusion, love",0.4,25,-2.037280479709157,"We care about the real American dream where anyone can get ahead, not just the rich. We cherish diversity, inclusion, love   Born",0.22,27,-4.971508969636929
40,US:101148325,why_moved_to_current_state,Born,0.23,1,-4.273463638025494,"We care about the real American dream where anyone can get ahead, not just the rich. We cherish diversity, inclusion, love   Born",0.22,27,-4.971508969636929
41,US:101231599,when_decided_pid,Forever,0.22,1,-5.416363283947655,Forever   They are saner than the dumbass democrats,0.23,12,-5.79361141558212
42,US:101231599,why_are_pid_with_when,They are saner than the dumbass democrats,0.36,10,-2.36026587406817,Forever   They are saner than the dumbass democrats,0.23,12,-5.79361141558212
43,US:101287711,why_moved_to_current_state,BETTER EDUCATION FOR MY KIDS,0.52,9,-1.2522950463371072,"BETTER EDUCATION FOR MY KIDS   BECAUSE REPUBLICANS THINK LIKE THE PEOPLE, THE RATS THINK ONLY FOR THEMSELVES!!",0.22,31,-5.376351709290346
44,US:101287711,why_think_pid,"BECAUSE REPUBLICANS THINK LIKE THE PEOPLE, THE RATS THINK ONLY FOR THEMSELVES!!",0.23,21,-4.173044897326226,"BETTER EDUCATION FOR MY KIDS   BECAUSE REPUBLICANS THINK LIKE THE PEOPLE, THE RATS THINK ONLY FOR THEMSELVES!!",0.22,31,-5.376351709290346
45,US:101292575,why_moved_to_current_state,I grew up there,0.31,4,-2.8252355323566127,I grew up there   They are both controlled opposition run by AIPAC.,0.24,16,-6.112037898132737
46,US:101292575,why_think_pid,They are both controlled opposition run by AIPAC.,0.26,11,-3.461024036148607,I grew up there   They are both controlled opposition run by AIPAC.,0.24,16,-6.112037898132737
47,US:101363517,when_think_pid,"In my 20s, I thought of myself as a republican because I lied with the same beliefs. I took courses in college on government. I knew what I wanted.",0.48,35,-1.4617449146253656,"In my 20s, I thought of myself as a republican because I lied with the same beliefs. I took courses in college on government. I knew what I wanted.   My parents list job in IL   I wanna do something that will protect my children and my grandchildren and our beliefs lineup together to ensure they have a good life a safe life and be able to make decisions and have their voices heard",0.24,81,-6.1898354553987955
48,US:101363517,why_moved_to_current_state,My parents list job in IL,0.37,6,-7.914263719911882,"In my 20s, I thought of myself as a republican because I lied with the same beliefs. I took courses in college on government. I knew what I wanted.   My parents list job in IL   I wanna do something that will protect my children and my grandchildren and our beliefs lineup together to ensure they have a good life a safe life and be able to make decisions and have their voices heard",0.24,81,-6.1898354553987955
49,US:101363517,why_think_pid_with_when,I wanna do something that will protect my children and my grandchildren and our beliefs lineup together to ensure they have a good life a safe life and be able to make decisions and have their voices heard,0.25,38,-3.815224089288629,"In my 20s, I thought of myself as a republican because I lied with the same beliefs. I took courses in college on government. I knew what I wanted.   My parents list job in IL   I wanna do something that will protect my children and my grandchildren and our beliefs lineup together to ensure they have a good life a safe life and be able to make decisions and have their voices heard",0.24,81,-6.1898354553987955
50,US:101381879,why_moved_to_current_state,I like it here,0.63,4,-0.6544364264572059,I like it here,0.63,4,-0.6544364264572059
51,US:101433183,when_think_pid,Because I never liked any of the Democrats,0.27,8,-3.316717972194744,Because I never liked any of the Democrats   Hometown,0.24,11,-6.253024274763102
52,US:101433183,why_moved_to_current_state,Hometown,0.5,2,-1.3794802201821947,Because I never liked any of the Democrats   Hometown,0.24,11,-6.253024274763102
53,US:101445311,why_moved_to_current_state,Because it's beautiful,0.25,4,-3.652905632186203,Because it's beautiful   They align with my view.,0.23,11,-6.011436552083898
54,US:101445311,why_think_pid,They align with my view.,0.31,6,-2.843736145230614,Because it's beautiful   They align with my view.,0.23,11,-6.011436552083898
55,US:101523499,when_think_pid,I have always been a democrat,0.68,6,-0.4177825850445444,I have always been a democrat   College   They are for the good of all people not just the rich,0.29,21,-3.0561631860191167
56,US:101523499,why_moved_to_current_state,College,0.25,1,-3.653671016954066,I have always been a democrat   College   They are for the good of all people not just the rich,0.29,21,-3.0561631860191167
57,US:101523499,why_think_pid_with_when,They are for the good of all people not just the rich,0.72,12,-0.2040295236593927,I have always been a democrat   College   They are for the good of all people not just the rich,0.29,21,-3.0561631860191167
58,US:101551735,when_think_pid,From birth I've been close to the Republican Party.,0.31,11,-2.776201412132471,From birth I've been close to the Republican Party.   I agree with most of the stance of the Republican party except with respect to LGBT people.,0.23,30,-4.084753429957522
59,US:101551735,why_think_pid_with_when,I agree with most of the stance of the Republican party except with respect to LGBT people.,0.37,18,-2.2372224406089782,From birth I've been close to the Republican Party.   I agree with most of the stance of the Republican party except with respect to LGBT people.,0.23,30,-4.084753429957522
60,US:1015933,when_think_pid,I just stay away from politics,0.35,6,-2.4153582955221853,I just stay away from politics   came with my husband   I dont care about politics,0.22,17,-4.564527120120232
61,US:1015933,why_moved_to_current_state,came with my husband,0.22,4,-5.29042786858999,I just stay away from politics   came with my husband   I dont care about politics,0.22,17,-4.564527120120232
62,US:1015933,why_think_pid_with_when,I dont care about politics,0.43,5,-1.8315283034380152,I just stay away from politics   came with my husband   I dont care about politics,0.22,17,-4.564527120120232
63,US:101669325,when_think_pid,when I was 18,0.54,5,-1.1701756435091648,when I was 18   I feel like I agree with what they stand for,0.24,16,-3.9384153152779473
64,US:101669325,why_think_pid_with_when,I feel like I agree with what they stand for,0.3,10,-2.922089370201078,when I was 18   I feel like I agree with what they stand for,0.24,16,-3.9384153152779473
65,US:101683337,why_are_pid,Because Democrats are for people.,0.22,6,-4.649070341919063,Because Democrats are for people.   Born and raised here,0.24,11,-6.323644857653641
66,US:101683337,why_moved_to_current_state,Born and raised here,0.25,4,-3.7521625540037906,Because Democrats are for people.   Born and raised here,0.24,11,-6.323644857653641
67,US:101755597,why_moved_to_current_state,Wanted a change,0.47,4,-1.5245432455966603,Wanted a change   I'm for following the Constitution. I'm for DEI. I'm for protecting LGBTQ rights. I'm for due process for every person.,0.28,34,-3.2343914232545763
68,US:101755597,why_think_pid,I'm for following the Constitution. I'm for DEI. I'm for protecting LGBTQ rights. I'm for due process for every person.,0.43,29,-1.7797043565171673,Wanted a change   I'm for following the Constitution. I'm for DEI. I'm for protecting LGBTQ rights. I'm for due process for every person.,0.28,34,-3.2343914232545763
69,US:1017722,why_are_pid,"It’s the only option that represents science, kindness, understanding and rational thought.",0.26,16,-3.4507113392352,"It’s the only option that represents science, kindness, understanding and rational thought.   Affordable housing",0.22,19,-5.182345750502051
70,US:1017722,why_moved_to_current_state,Affordable housing,0.52,3,-1.2582527275253987,"It’s the only option that represents science, kindness, understanding and rational thought.   Affordable housing",0.22,19,-5.182345750502051
71,US:101792775,why_are_pid,I believe in a women's right to chose and I believe in democracy,0.53,14,-1.1739710693004242,I believe in a women's right to chose and I believe in democracy,0.53,14,-1.1739710693004242
72,US:1019166,why_are_pid,.what?,0.31,2,-7.298858360608659,.what?   Job,0.61,4,-9.373703129643546
73,US:1019166,why_moved_to_current_state,Job,0.33,1,-2.6298001581011357,.what?   Job,0.61,4,-9.373703129643546
74,US:101985793,when_think_pid,Since birth - ha ha,0.33,5,-7.570618323863594,"Since birth - ha ha   Continue college   I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc",0.27,52,-6.793191911051977
75,US:101985793,why_moved_to_current_state,Continue college,0.35,2,-7.745347852492193,"Since birth - ha ha   Continue college   I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc",0.27,52,-6.793191911051977
76,US:101985793,why_think_pid_with_when,"I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc",0.28,43,-3.1649847212193607,"Since birth - ha ha   Continue college   I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc",0.27,52,-6.793191911051977
77,US:102011707,when_decided_pid,1998,0.26,2,-3.5757084589010577,1998   Republicans would rather play games than do what they promised when i joined. Democrats do not keep their promises.   military,0.27,26,-6.890081603537801
78,US:102011707,why_are_pid_with_when,Republicans would rather play games than do what they promised when i joined. Democrats do not keep their promises.,0.23,21,-4.431913468428871,1998   Republicans would rather play games than do what they promised when i joined. Democrats do not keep their promises.   military,0.27,26,-6.890081603537801
79,US:102011707,why_moved_to_current_state,military,0.36,2,-2.3319677294128507,1998   Republicans would rather play games than do what they promised when i joined. Democrats do not keep their promises.   military,0.27,26,-6.890081603537801
80,US:102088179,why_are_pid,I feel they have similar thoughts and value as I do.,0.43,12,-1.8117180817707224,I feel they have similar thoughts and value as I do.   Be closer to family,0.22,17,-4.562428189168542
81,US:102088179,why_moved_to_current_state,Be closer to family,0.23,4,-4.333882260050166,I feel they have similar thoughts and value as I do.   Be closer to family,0.22,17,-4.562428189168542
82,US:1021053,when_think_pid,All my life JFK,0.22,4,-5.568960934048515,All my life JFK   Fun   Fairness and caring,0.38,11,-7.981009547492661
83,US:1021053,why_moved_to_current_state,Fun,0.24,1,-3.8218236166847217,All my life JFK   Fun   Fairness and caring,0.38,11,-7.981009547492661
84,US:1021053,why_think_pid_with_when,Fairness and caring,0.24,4,-4.0058062958336595,All my life JFK   Fun   Fairness and caring,0.38,11,-7.981009547492661
85,US:102152019,why_are_pid,Because of the people where we live are,0.3,8,-2.9588209322980092,Because of the people where we live are   Where we lived in Phila was getting terrible.,0.24,19,-6.214870097852196
86,US:102152019,why_moved_to_current_state,Where we lived in Phila was getting terrible.,0.22,10,-4.661908483607892,Because of the people where we live are   Where we lived in Phila was getting terrible.,0.24,19,-6.214870097852196
87,US:102156373,why_are_pid_with_when,i9,0.27,2,-3.4075647982555832,i9   Pops bought a fam,0.28,8,-7.018376467042729
88,US:102156373,why_moved_to_current_state,Pops bought a fam,0.22,5,-4.988628184252138,i9   Pops bought a fam,0.28,8,-7.018376467042729
89,US:102175907,why_are_pid,Don't give away as much as democrats,0.23,9,-4.196679549962802,Don't give away as much as democrats   Higher paying job,0.26,13,-6.675891984583672
90,US:102175907,why_moved_to_current_state,Higher paying job,0.26,3,-3.4813719267926713,Don't give away as much as democrats   Higher paying job,0.26,13,-6.675891984583672
91,US:1022013,when_think_pid,The first time I voted when I was 18.,0.54,11,-1.125183013675161,The first time I voted when I was 18.   Family   Republicans are more in line politically with my views.,0.22,24,-5.306897179534796
92,US:1022013,why_moved_to_current_state,Family,0.25,1,-3.7675180728671025,The first time I voted when I was 18.   Family   Republicans are more in line politically with my views.,0.22,24,-5.306897179534796
93,US:1022013,why_think_pid_with_when,Republicans are more in line politically with my views.,0.29,10,-3.0768571588497684,The first time I voted when I was 18.   Family   Republicans are more in line politically with my views.,0.22,24,-5.306897179534796
94,US:102291189,when_decided_pid,"many years ago, as i believe in freedom of speech and protecting programs that help people",0.26,17,-3.5540085494886458,"many years ago, as i believe in freedom of speech and protecting programs that help people   To protect freedom of speech and our rights as a democracy",0.23,29,-4.302027989963153
95,US:102291189,why_are_pid_with_when,To protect freedom of speech and our rights as a democracy,0.45,11,-1.6456839413521689,"many years ago, as i believe in freedom of speech and protecting programs that help people   To protect freedom of speech and our rights as a democracy",0.23,29,-4.302027989963153
96,US:102359727,when_think_pid,Elementary school- 1970 or so.,0.29,10,-3.0975838629064176,"Elementary school- 1970 or so.   Weather   I believe that the government can be a force for good and that we should build a caring, inclusive society.",0.32,35,-2.693643921224536
97,US:102359727,why_moved_to_current_state,Weather,0.28,1,-3.250849411559235,"Elementary school- 1970 or so.   Weather   I believe that the government can be a force for good and that we should build a caring, inclusive society.",0.32,35,-2.693643921224536
98,US:102359727,why_think_pid_with_when,"I believe that the government can be a force for good and that we should build a caring, inclusive society.",0.91,22,1.1417371995720842,"Elementary school- 1970 or so.   Weather   I believe that the government can be a force for good and that we should build a caring, inclusive society.",0.32,35,-2.693643921224536
99,US:102378245,when_decided_pid,"I voted for President Obama both times, but it wasn’t until Republicans ran Trump for POTUS in 2016 that I realized I was no longer a Republican. Trump was such a poor choice - a man with low values and meals, unintelligent and uninterested in politics. The entire Republican Party let me down with the appalling choices they have made this entire century, and even before, maybe back to Nixon and Reagan.",0.23,85,-4.159115204342385,"I voted for President Obama both times, but it wasn’t until Republicans ran Trump for POTUS in 2016 that I realized I was no longer a Republican. Trump was such a poor choice - a man with low values and meals, unintelligent and uninterested in politics. The entire Republican Party let me down with the appalling choices they have made this entire century, and even before, maybe back to Nixon and Reagan.   My daughter moved here for a better job opportunity.",0.22,96,-5.210128560894796
100,US:102378245,why_moved_to_current_state,My daughter moved here for a better job opportunity.,0.39,10,-2.105131054291004,"I voted for President Obama both times, but it wasn’t until Republicans ran Trump for POTUS in 2016 that I realized I was no longer a Republican. Trump was such a poor choice - a man with low values and meals, unintelligent and uninterested in politics. The entire Republican Party let me down with the appalling choices they have made this entire century, and even before, maybe back to Nixon and Reagan.   My daughter moved here for a better job opportunity.",0.22,96,-5.210128560894796
101,US:1024328,why_are_pid,Because I can see both sides have a mission,0.22,9,-4.977680785156066,Because I can see both sides have a mission   Military,0.38,11,-7.993934298844497
102,US:1024328,why_moved_to_current_state,Military,0.23,1,-4.3068628575084205,Because I can see both sides have a mission   Military,0.38,11,-7.993934298844497
103,US:1024893,why_are_pid,The Republican have a ton of more common sense than the Democrats who have turned into a joke.,0.46,19,-1.5884665347906068,"The Republican have a ton of more common sense than the Democrats who have turned into a joke.   No State Income Tax, the Weather and the ocean.",0.27,31,-3.4251100570600865
104,US:1024893,why_moved_to_current_state,"No State Income Tax, the Weather and the ocean.",0.28,11,-3.1590116924273075,"The Republican have a ton of more common sense than the Democrats who have turned into a joke.   No State Income Tax, the Weather and the ocean.",0.27,31,-3.4251100570600865
105,US:102522905,when_decided_pid,I have always voted my conscience regardless of political affiliation,0.43,10,-1.794210609803296,I have always voted my conscience regardless of political affiliation   Conscience over affiliation,0.22,15,-4.7499659578864355
106,US:102522905,why_are_pid_with_when,Conscience over affiliation,0.25,4,-6.368799163419148,I have always voted my conscience regardless of political affiliation   Conscience over affiliation,0.22,15,-4.7499659578864355
107,US:102526651,when_decided_pid,I can't share this because it very confidential. I apologize.,0.32,13,-2.670345626657915,I can't share this because it very confidential. I apologize.   I can't share this because it very confidential. I apologize,0.49,26,-1.4463239301832354
108,US:102526651,why_are_pid_with_when,I can't share this because it very confidential. I apologize,0.31,12,-2.818968984127433,I can't share this because it very confidential. I apologize.   I can't share this because it very confidential. I apologize,0.49,26,-1.4463239301832354
109,US:102539451,why_are_pid,I really dont side with either party. I think we say some nice things about what our goals are or what's really happening but they aren't necessarily true,0.23,31,-4.107775179011457,I really dont side with either party. I think we say some nice things about what our goals are or what's really happening but they aren't necessarily true   My dads work,0.25,35,-6.395869032224875
110,US:102539451,why_moved_to_current_state,My dads work,0.22,3,-5.292413256929515,I really dont side with either party. I think we say some nice things about what our goals are or what's really happening but they aren't necessarily true   My dads work,0.25,35,-6.395869032224875
111,US:102736315,why_moved_to_current_state,It is my home,0.45,4,-1.651324314040295,It is my home   The old Republican Party of rinos is basically democrat light.,0.26,17,-6.571886600130923
112,US:102736315,why_think_pid,The old Republican Party of rinos is basically democrat light.,0.22,12,-4.566544992117336,It is my home   The old Republican Party of rinos is basically democrat light.,0.26,17,-6.571886600130923
113,US:1027450,when_think_pid,Jam 6 2020,0.34,6,-2.557328767483922,Jam 6 2020   Retired   Democrats are too progressive and not fiscally responsible republicans are too socially conservative,0.22,26,-4.624490023598628
114,US:1027450,why_moved_to_current_state,Retired,0.36,2,-2.3629177271358044,Jam 6 2020   Retired   Democrats are too progressive and not fiscally responsible republicans are too socially conservative,0.22,26,-4.624490023598628
115,US:1027450,why_think_pid_with_when,Democrats are too progressive and not fiscally responsible republicans are too socially conservative,0.26,16,-3.4466445911962653,Jam 6 2020   Retired   Democrats are too progressive and not fiscally responsible republicans are too socially conservative,0.22,26,-4.624490023598628
116,US:102775893,why_think_pid,Respect for all no matter race. Sex gender,0.25,10,-3.607833288138061,Respect for all no matter race. Sex gender,0.25,10,-3.6078332881380604
117,US:102800593,why_are_pid,Because they believe in treating everyone with respect and dignity,0.38,10,-2.1863705641963733,Because they believe in treating everyone with respect and dignity   Better paying job and lower cost of living,0.22,19,-5.05249164310492
118,US:102800593,why_moved_to_current_state,Better paying job and lower cost of living,0.34,8,-2.526085652169789,Because they believe in treating everyone with respect and dignity   Better paying job and lower cost of living,0.22,19,-5.05249164310492
119,US:102837679,why_are_pid,Neither party is getting things done for regular working class people.,0.28,12,-3.199163191427505,Neither party is getting things done for regular working class people.,0.28,12,-3.199163191427505
120,US:102839849,why_are_pid,We share the same views of what the people want and need for this country,0.57,15,-0.9927818951185284,We share the same views of what the people want and need for this country   New change,0.22,18,-4.623116615039492
121,US:102839849,why_moved_to_current_state,New change,0.24,2,-3.856581008962406,We share the same views of what the people want and need for this country   New change,0.22,18,-4.623116615039492
122,US:1028674,why_are_pid,"I'm a democrat because I believe in equality, freedom and justice. This country was founded by the people and for the people. Democrats represent the ideals of democracy best.",0.66,34,-0.4860256759878701,"I'm a democrat because I believe in equality, freedom and justice. This country was founded by the people and for the people. Democrats represent the ideals of democracy best.",0.66,34,-0.4860256759878701
123,US:1029294,when_decided_pid,2016 when I voted for Trump,0.29,7,-3.0387386451486527,2016 when I voted for Trump   Because the democrats became socialist.,0.22,15,-5.605957594033352
124,US:1029294,why_are_pid_with_when,Because the democrats became socialist.,0.22,7,-5.461876747249539,2016 when I voted for Trump   Because the democrats became socialist.,0.22,15,-5.605957594033352
125,US:102935851,when_decided_pid,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone,0.22,26,-5.131651169939911,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone   If I add my kid hood activity together with my understanding what is right and wrong learning in school and private life it's so clear to me but no political party is perfect   My mother move me to Arkansas to grandparents to help her out,0.41,74,-8.192248218719126
126,US:102935851,why_are_pid_with_when,If I add my kid hood activity together with my understanding what is right and wrong learning in school and private life it's so clear to me but no political party is perfect,0.27,34,-6.851424592132247,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone   If I add my kid hood activity together with my understanding what is right and wrong learning in school and private life it's so clear to me but no political party is perfect   My mother move me to Arkansas to grandparents to help her out,0.41,74,-8.192248218719126
127,US:102935851,why_moved_to_current_state,My mother move me to Arkansas to grandparents to help her out,0.22,12,-5.264557763932618,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone   If I add my kid hood activity together with my understanding what is right and wrong learning in school and private life it's so clear to me but no political party is perfect   My mother move me to Arkansas to grandparents to help her out,0.41,74,-8.192248218719126
128,US:102964735,why_are_pid,The Democrat candidates are for the poor or working class.,0.4,11,-2.028355899341393,The Democrat candidates are for the poor or working class.   My dad wanted to pursue higher education.,0.23,20,-4.1369977446676565
129,US:102964735,why_moved_to_current_state,My dad wanted to pursue higher education.,0.34,8,-2.4894164212616436,The Democrat candidates are for the poor or working class.   My dad wanted to pursue higher education.,0.23,20,-4.1369977446676565
130,US:103016201,when_decided_pid,Around high school,0.24,3,-3.885871349152609,Around high school   Because I think Democrats are more about people like me. Republicans are for money and big businesses   My father retired and we moved back to his family home & where his family lived,0.23,39,-5.771436723088442
131,US:103016201,why_are_pid_with_when,Because I think Democrats are more about people like me. Republicans are for money and big businesses,0.26,18,-3.53869421902501,Around high school   Because I think Democrats are more about people like me. Republicans are for money and big businesses   My father retired and we moved back to his family home & where his family lived,0.23,39,-5.771436723088442
132,US:103016201,why_moved_to_current_state,My father retired and we moved back to his family home & where his family lived,0.24,16,-3.999315166530779,Around high school   Because I think Democrats are more about people like me. Republicans are for money and big businesses   My father retired and we moved back to his family home & where his family lived,0.23,39,-5.771436723088442
133,US:103059339,why_moved_to_current_state,Raised rent couldn't afford it,0.38,6,-7.963981659757289,Raised rent couldn't afford it,0.38,6,-7.963981659757289
