person_id,why_moved_to_current_state,prob_machine_generated,n_tokens,glimpse_criterion
US:4387382,Great suburban neighborhoods.,0.22,4,-5.093900175788923
US:193067365,CA housing was too expensive.,0.22,6,-4.744467367604781
US:310944,Family,0.25,1,-3.7675180728671025
US:644881,I was born and raised in Georgia.,0.84,8,0.5440714312227385
US:166143775,divorce of parents,0.23,4,-4.087815223215534
US:165143077,School and just to live,0.22,5,-5.65138918317829
US:137312423,the weather.,0.3,3,-2.9937242462945544
US:1066282,Closer to family,0.28,4,-3.2641701939882948
US:121654045,THE SUN,0.38,2,-2.154120283080659
US:40347682,weather and taxes,0.22,3,-5.640085882724376
US:4408968,bought a house,0.6,4,-0.8113647356674021
US:31700543,lower cost of living compared to NYC,0.29,7,-3.093837936777545
US:136577369,Left Denver to return to my home state,0.3,8,-2.877260149306092
US:2631731,done with school,0.23,3,-4.341344582276957
US:102964735,My dad wanted to pursue higher education.,0.34,8,-2.4894164212616436
US:233468,Returned from the military.,0.29,5,-3.1185161532344643
US:173583521,Father retired here from us miliatry,0.41,9,-8.235795904214662
US:42702920,to be with my wife,0.42,5,-1.888101917294934
US:2982035,looking for freedom,0.22,3,-4.541139333037537
US:2425662,where i am from,0.4,4,-1.982152923869729
US:157118931,Parents got a divorce,0.23,4,-4.437106346575279
US:25302596,This is where the spouse wanted to be for now,0.26,10,-3.5835935484876
US:4541375,Career,0.26,1,-3.6043177395473984
US:40849686,HATED Oklahoma.,0.29,4,-7.139155109255235
US:680943,I returned home after two years in Portland OR,0.26,9,-3.4486223261943576
US:1070359,home state,0.26,2,-6.728041679671401
US:117816353,Family,0.25,1,-3.7675180728671025
US:141883859,To help aging parents,0.27,4,-3.402122119446795
US:31435093,Job,0.33,1,-2.6298001581011357
US:28406238,Widowed -moved in with son.,0.24,9,-3.8307073911967793
US:150923839,I wanted to move back to where I grew up,0.62,10,-0.6990483384063811
US:170185181,Job in DC,0.22,3,-4.952532685373925
US:150560389,Navy,0.53,2,-1.1949026956941435
US:1348814,My Step father was from Ohio and after he married my mom he needed to move back here for his business,0.24,21,-4.051797710970747
US:25684292,Employment for my father,0.29,5,-3.1235114492520824
US:931128,I was born here,0.62,4,-0.738409544674931
US:192432143,Wanted to!,0.33,4,-2.5613254874074807
US:25649585,"It's where I grew up, I went away to school, I moved to the beautiful Ozarks and have no desire to leave.",0.34,27,-2.485114751469875
US:2209556,I moved back to my home state to be with family.,0.75,12,-0.03763460009048261
US:1760511,to get the hell out of texas and because of the beauty of New Mexico,0.25,15,-3.672103188363255
US:28318649,I was born there,0.4,4,-1.9908437918705264
US:173699469,Got married.,0.22,3,-4.839580670921986
US:847351,Family,0.25,1,-3.7675180728671025
US:1338954,born here!,0.32,3,-7.472768161382205
US:34731340,I was born there.,0.48,5,-1.4681502629535303
US:3511083,Warm,0.25,1,-3.817085795508414
US:31189999,better economy by that time and still not that bad,0.22,10,-4.942112329899899
US:205174751,family relocation,0.53,2,-8.979644266323815
US:2241418,Work,0.44,1,-1.709566926274204
US:134491761,My family moved here when I was still in school.,0.58,11,-0.9017049377014661
US:465040,Housing and taxes more economical,0.22,6,-4.573505184031194
US:196152185,It was too cold in Michigan,0.31,6,-2.8314767665691125
US:26241988,parents moved,0.82,2,-10.584820486213298
US:39487202,Parents work,0.25,2,-6.402192613473688
US:190672873,Family,0.25,1,-3.7675180728671025
US:28343881,The family is here,0.41,4,-1.9305708612833639
US:4524173,Care for aging parents and retirement,0.31,6,-2.874726030105961
US:40810649,Job opportunity,0.26,2,-3.5106980414946056
US:657185,Employment Opportunity,0.46,3,-1.6055501682083546
US:142547449,Moved back,0.22,2,-4.888604432079003
US:40091207,3 years old. Moved with parents.,0.24,8,-4.034551870604614
US:31502808,"I was born here. After a decade during he 1980s when I lived in Queens, I moved back to PA.",0.26,26,-3.427749272341801
US:184235997,parents separated,0.72,2,-9.967040961865035
US:1069632,My parents brought me,0.48,4,-1.5150589414970528
US:29827873,better weather,0.29,2,-7.075792496531646
US:172629231,I was a baby,0.77,4,0.09962084769041572
US:39495529,It's home,0.25,3,-3.779839152476526
US:4554174,To be near close friends,0.25,5,-3.747195844700155
US:150600575,My mother's family was here and she missed them.,0.43,11,-1.8197121255246567
US:181607741,Born,0.23,1,-4.273463638025494
US:2644826,Did not like living in the other place,0.28,8,-3.1610747101112917
US:3803339,financial reasons,0.42,2,-8.283772289728082
US:45516412,Married,0.3,2,-2.962658790543791
US:149215995,not sure,0.24,2,-4.0409995562355
US:2068744,my father was transferred here by his company,0.31,8,-2.842420675375878
US:179601253,Born in Illinois,0.36,3,-2.3384518894462656
US:188202683,Job,0.33,1,-2.6298001581011357
US:25273093,Military Transfer,0.24,2,-6.328510898308929
US:4077784,To get a better job,0.42,5,-1.849127173711934
US:2801895,Move close to our kids & grandkids,0.22,8,-4.645484339495258
US:30051479,Dad lost job,0.28,4,-3.205135783354155
US:114029663,Husband job,0.22,3,-5.273053866755689
US:153787925,family,0.39,1,-8.061827286318932
US:198664945,To be closer to family,0.31,5,-2.7828602354045757
US:39604099,Parents lived in Kansas but born in Missouri,0.22,8,-4.874131217854534
US:202763009,To be closer to boyfriends parents.,0.22,8,-4.772051652949039
US:1882563,Divorce and to be close to family,0.25,8,-3.620850363209106
US:112176573,Military stationing,0.25,3,-3.673637944028625
US:3033056,married my husband employed in Texas,0.48,6,-8.658415951952042
US:878941,School was finished,0.23,3,-4.362020564839568
US:189873961,Job relocation,0.23,2,-6.026546139292969
US:185768509,Dad out of army,0.23,5,-4.144870475383937
US:3585896,"Get away from the school bullies at the front door every morning at age 7, plus the cold weather vs 70 degrees with Palm Trees Ocean Waves of South Florida.",0.26,35,-6.590188217343537
US:952128,It is my hometown,0.34,4,-2.508723375669823
US:147874497,Born here,0.24,2,-6.211084609295849
US:149013529,born in Florida,0.25,3,-3.669113172742338
US:138110067,To keep my wife happy,0.36,5,-2.3672939070613364
US:26210018,depart the east and head west for exploration,0.22,8,-4.501751881414519
US:44263918,"Thought it was a good move. Lower taxes, beautiful, thought people were nice. We were wrong",0.23,20,-4.308560013926809
US:171281271,Because we wanted to raise our child in Minnesota,0.25,9,-3.744207602656739
US:46467894,Moved with my mother,0.26,4,-3.5628111523377703
US:182945995,parents employment,0.97,2,-12.20163394062346
US:184108145,Fresh start with daughter,0.22,4,-5.361543772440031
US:192998525,Spouse,0.29,2,-3.0951017755497796
US:41525136,With parents,0.22,2,-4.520557557952113
US:2688721,Transfer from job,0.22,3,-5.116587491693637
US:124734113,family,0.39,1,-8.061827286318932
US:165545971,born here,0.28,2,-7.017825511327215
US:171211981,Family,0.25,1,-3.7675180728671025
US:171770213,parent's job,0.23,3,-5.83096010611835
US:36033315,"Weather, family",0.22,3,-5.152397319617222
US:102800593,Better paying job and lower cost of living,0.34,8,-2.526085652169789
US:132829943,"career, mountains",0.36,3,-7.856978554474168
US:2276140,parents decided to move,0.23,4,-5.713182333831407
US:4582183,A job opportunity,0.47,3,-1.5657343344826562
US:40738035,To refurbish a rental house,0.22,6,-4.516986324911973
US:169655929,"Coming back home to a state that, while I had more faith in before, still is a great place to live.",0.45,24,-1.6517148286949492
US:123309231,Parents’ work,0.22,3,-4.645858879898154
US:26903576,Got a job in Miami.,0.32,6,-2.7309386904984687
US:46301537,to go to college,0.41,4,-1.966079731328605
US:2337143,I’ve always lived here.,0.54,6,-1.136226378674218
US:178438505,My parents moved here for my father's job,0.5,9,-1.3693765206913155
US:110281569,I was born in NC and my family is here.,0.61,11,-0.7574277779308584
US:24035453,Education,0.26,1,-3.4734527437099536
US:4541371,"Lower taxes, better quality of life",0.41,7,-1.9389857624791864
US:1333030,My parents moved here,0.35,4,-2.3934872312132685
US:3855364,Husband got out of the navy. We came home,0.31,11,-2.8032027228955334
US:4660457,Relocation for employement.,0.22,6,-4.644840238868487
US:183010911,because of Chicago winters,0.25,4,-6.441911530739755
US:167636091,Work,0.44,1,-1.709566926274204
US:810874,work,0.23,1,-5.758092195569234
US:31654048,My kids loved here,0.31,4,-7.35723919933004
US:42325322,Family,0.25,1,-3.7675180728671025
US:3381436,I moved back it's my home state,0.28,8,-3.2162320044513737
US:3344532,To retire,0.22,2,-4.4537840767548875
US:40732459,"To get to a state where they still salute the flag, but to years later it is changing. Becoming too much like California with all the liberals moving here.",0.22,33,-5.240959361799465
US:4622686,My parents were from here and moved back when my dad retired from the army.,0.49,16,-1.4011526263240948
US:29698917,job and education,0.22,3,-4.654894845235967
US:2822153,Robbed at gunpoint,0.45,5,-1.6602296481037324
US:2188985,WAS A better living situation than we had in another state,0.26,12,-3.490284620064618
US:189710221,Couldn't find a job back where I was in Virginia,0.24,11,-3.883406173041524
US:141972,I moved to Texas to attend college on a scholarship.,0.76,11,0.01257564394016057
US:37794622,"Seasons, better schools, more conservative",0.22,8,-5.1364690716037895
US:2328056,Over 55 cheaper,0.24,4,-6.08572060194336
US:40685102,"AME TO ATTEND COLLEGE,",0.22,8,-4.582315013827732
US:35891660,Grown children live here and wanted me to move here.,0.22,12,-4.527335470824266
US:125773167,I like it here,0.63,4,-0.6544364264572059
US:504120,"Better work opportunities, political climate, and there are a lot of lakes.",0.26,15,-3.59861116873358
US:131256153,Followed a woman.,0.32,5,-2.7591155355185366
US:4322937,Life change,0.23,2,-5.826617215499679
US:208093,to be close to family,0.31,5,-2.782607889124321
US:46020779,Beautiful beach,0.24,2,-3.9496312295222005
US:192952743,Dads job,0.23,3,-5.744809126086515
US:143605031,California is too expensive. Plus I like all the greenery of Georgia.,0.26,15,-3.5123802140596503
US:40373823,To get away from heat in florida,0.22,7,-4.922140929120901
US:1216625,Born,0.23,1,-4.273463638025494
US:613051,A change in life for my family.,0.53,8,-1.1820316239124633
US:29687610,Newsom,0.22,2,-4.568120174241914
US:149208181,Employment opportunity,0.33,3,-2.6299134394212427
US:40302394,Calif too crowded and expensive.,0.22,7,-5.434259715860484
US:486980,Born and raised in Missouri. Moved away for 2 years.,0.31,13,-2.815517249393325
US:1223576,Family stationed at Colorado US Military base,0.22,7,-5.292647002854165
US:23666220,I was born here in Missouri.,0.49,7,-1.441017828821404
US:162974847,father transferred for work,0.27,4,-6.785534697022305
US:166634,My family is here.,0.5,5,-1.3542032146088405
US:1938312,wife was from NY and wanted to go home,0.24,9,-4.015440305254823
US:143198901,My mother and it’s cheaper than California,0.22,8,-5.338783795600019
US:115653849,It's my home state.,0.34,6,-2.5281831386849394
US:126731973,"I was born in Louisiana,I was relocated after hurricane Katrina and moved back after rebuild",0.22,16,-4.655392995565146
US:39769403,For a job,0.44,3,-1.7650648211858004
US:133674313,Family,0.25,1,-3.7675180728671025
US:1076474,Father transfered,0.22,3,-5.544843761178096
US:2496605,I was born here. I said that already.,0.5,10,-1.3749880408575763
US:207245457,Job's,0.24,2,-3.998559026418056
US:41275565,I was born here.,0.64,5,-0.6347928988493824
US:2233268,Employment and missed family,0.22,5,-5.332595073728357
US:41069185,to retire,0.23,2,-5.996663983852001
US:142251159,be close to family,0.24,4,-4.073269726921826
US:164237327,Because I was born there,0.32,5,-2.7371910119342964
US:205882997,Job,0.33,1,-2.6298001581011357
US:35161517,Less people and beautiful open areas.,0.23,7,-6.019160944328417
US:171306697,parents moved there,0.48,3,-8.688381838335436
US:3283005,chronic lung issue,0.23,4,-5.845067299344961
US:3931785,Great climate and forward thinking.,0.23,6,-4.297777534028983
US:1051207,My dad got a job,0.58,5,-0.9068183550500245
US:149003461,"Parents moved/transferred duty station to Keesler AFB, Biloxi MS. I was an infant.",0.22,23,-4.681566291397526
US:408879,got married,0.37,2,-7.89079272166478
US:77000,Family,0.25,1,-3.7675180728671025
US:46744593,Spouse is american citizen,0.22,5,-5.187811540353053
US:2407403,Got married to a girl whose family lived in Indiana,0.35,10,-2.4358525293472226
US:39219816,I was stupid,0.36,3,-2.3306280991352475
US:135932533,I was born here,0.62,4,-0.738409544674931
US:109590315,Retired and much cheaper to live,0.25,7,-3.6571361165059035
US:41171744,My family is here.,0.5,5,-1.3542032146088405
US:196247799,better opportunity for work,0.22,4,-4.9845833902861
US:4541450,desire to move to the mountains,0.6,7,-0.8297039566022341
US:2432070,family reasons,0.47,2,-8.631572643249488
US:4172882,To be closer to family. I love Chicago!,0.23,10,-4.121373569599945
US:2729180,Better environment for families,0.22,4,-4.8911946238837105
US:127120835,Born here,0.24,2,-6.211084609295849
US:1476228,"Better economy, no state income tax, best governor ever",0.24,11,-4.028865343815597
US:194450763,To take care of mother who had recently moved to Tennessee.,0.22,12,-4.688176278894708
US:4404382,born here,0.28,2,-7.017825511327215
US:23751840,A job for my husband. He transferred to Florida.,0.26,11,-3.4270803802411045
US:691607,To leave the east Coast,0.22,5,-5.097597319353972
US:24917732,Parents moved to Louisiana,0.22,4,-5.649064231054605
US:28205090,RETURNED HOME,0.22,3,-4.845223938475168
US:184043301,"Baby, came with parents for dads job",0.3,8,-7.208126789199694
US:4422664,Born here. Moved back after retirement,0.27,7,-6.845760422030981
US:100880745,I was born in NY,0.68,5,-0.3931391313585613
US:39920692,sneads,0.22,3,-5.5804508142294456
US:1751898,"Better weather, less crime, lower cost of living and fewer democrats than Ohio",0.29,16,-3.0803246546862266
US:25512329,weather,0.29,1,-7.163085639089649
US:186835863,My Fathers work relocated,0.51,4,-8.822666980488188
US:37587755,Family lived in the state.,0.3,6,-2.883833956439183
US:4007899,Family,0.25,1,-3.7675180728671025
US:202443707,Warmer,0.31,2,-2.8019231905892963
US:1379380,Retirement,0.38,2,-2.21027587774901
US:28482816,Retired moved close to home,0.22,6,-4.563533075142364
US:2313164,California is a pit,0.29,4,-2.99886590473592
US:174822949,Fathers job,0.24,3,-6.190119484589495
US:139527795,It’s beautiful,0.36,3,-2.330116874841495
US:2022856,I was disabled and couldn’t afford to continue living in California while trying new medication for my menial health,0.23,21,-4.385545289416982
US:2580371,it's my home,0.27,4,-3.3887472256523945
US:34831212,it's home,0.22,3,-4.571779660014039
US:2633195,My husband retired and wanted a new home and we had lost our home in NY to Hurricane Sandy and wanted to get away from Staten Island we lived in the beach area lost our home everything in it,0.3,39,-2.9769519823108817
US:38515684,Better job,0.22,2,-5.464849789016072
US:1120802,To return home after 54 yr absence.,0.22,9,-5.027100027739691
US:4275842,I lived temporarily in New Jersey when I first got married and then moved back to New York,0.37,18,-2.247564276129276
US:371245,Rejoin certain family members,0.22,5,-5.614341287430801
US:192371409,Medical reasons,0.22,2,-4.933406123799512
US:2898489,It was an 18 state,0.29,6,-3.076446463930612
US:186211393,That's where my house was,0.31,6,-2.843919822460842
US:32243182,Moved for college and eventually stayed here.,0.22,8,-5.03631411645278
US:128742039,Better life for my family,0.32,5,-2.7578979121170035
US:207604,To be closer to family,0.31,5,-2.7828602354045757
US:131189495,To prepare for retirement outside of California.,0.22,8,-5.0575173031500995
US:134387673,To leave the insanity of California.,0.23,7,-4.3884787033378965
US:1609103,came back home,0.22,3,-5.362530030014087
US:3220182,Healthcare and marriage equality,0.31,5,-2.7790081095108623
US:23451541,Pace of living,0.42,4,-1.894370122564426
US:633394,To pursue a change of career and the beautiful weather. Also my Parents moved here to retire in a warm climate and two other Brothers moved here as well. My oldest Brother had already moved here so had instant job connections.,0.22,44,-4.983030764714351
US:41834188,Was only gone while husband was in the Air Force,0.23,10,-5.712307318953876
US:1975897,"climate, cost of livin",0.22,6,-4.839364652775699
US:672276,Retire in warmth,0.23,4,-4.444861230765838
US:3832827,Fathers work,0.26,3,-3.5697475254999853
US:22505108,to get out oof the florida weather and get closer to family,0.24,13,-3.933564479091387
US:183460565,My truck broke down while visiting.,0.26,7,-3.5872575173582217
US:108650,God led us here to a particular church,0.24,8,-4.014554460465353
US:108070083,weather,0.29,1,-7.163085639089649
US:146186029,Employment,0.39,2,-2.104787896840956
US:2061248,Employment opportunity,0.33,3,-2.6299134394212427
US:151897137,job related,0.37,2,-7.870289295821667
US:30988821,climate helps my arthritis,0.42,4,-8.28430861178341
US:1985140,Father's job transfer,0.24,4,-3.91521913538723
US:290784,Born here...never moved here,0.29,6,-7.141726639287679
US:1846540,job transfer,0.34,2,-7.656637455204673
US:163771991,"I was born here, it's my home",0.61,9,-0.7620799853383877
US:4298513,Grandchildren here,0.24,3,-6.134818540088648
US:1123298,I was a child,0.92,4,1.2661779711027894
US:40795041,I was born in NY in 1956,0.73,9,-0.11104456142333617
US:126130405,I was born and raised in Kansas,0.83,7,0.4848690019755807
US:1663994,"Retired, to be near grand children",0.25,8,-3.734932418615605
US:138532473,Have always lived there,0.22,4,-5.564596956893591
US:167375449,Family,0.25,1,-3.7675180728671025
US:135625361,Military Move,0.22,2,-5.557454626165271
US:143489809,college / permanent job,0.42,4,-8.305860092278543
US:38457862,I was born here you asked if I ever left yes and came back a couple of times,0.29,18,-3.0391501199613535
US:2760874,I hate snow and have always wanted to move to florida,0.33,11,-2.646990777199857
US:160329393,Looking for job,0.29,3,-3.069210399496261
US:23767,"i was widowed, retired and remarried and my husband is a florida resident",0.26,16,-3.5007064349273147
US:1971478,parents,0.69,1,-9.811203922750435
US:1248775,GET OUT OF THE CESSPOOL,0.32,7,-2.7330455374389304
US:3104081,Closer to family,0.28,4,-3.2641701939882948
US:41706935,Retired and came back to my birthplace,0.43,9,-1.8294578989014074
US:1499789,It was alway where I wanted to be,0.36,9,-2.3750305710261097
US:31324814,Warm weather,0.43,2,-1.8119217821133262
US:149590829,I was adopted as a young baby,0.51,7,-1.3060495728457437
US:194162167,Warmth,0.4,2,-1.9938874372833755
US:3815561,Work,0.44,1,-1.709566926274204
US:3085239,Family illness,0.26,2,-6.556720303774078
US:43806103,personal reasons,0.29,2,-7.064975085602709
US:169224063,Military assignment,0.31,2,-7.30709935355629
US:193109287,Family was moving and I was a child,0.34,8,-2.5246114829134414
US:37453797,No choice. My parents moved. I was an infant.,0.38,12,-2.198286582871762
US:4426338,My parents moved here when I was still a child,0.58,10,-0.923223176932019
US:192299109,"Retirement, weather",0.24,4,-3.887262709811021
US:3314126,Wife's work,0.38,4,-2.1413782843975318
US:1582048,Better quality of life.,0.49,5,-1.4327065103730658
US:39171636,Marriage/Job,0.24,4,-3.867031769648031
US:183018597,Job,0.33,1,-2.6298001581011357
US:166194131,I WAS BORN IN NEW JERSEY,0.54,10,-1.1193157090894201
US:1535971,To find a better life than was available in California.,0.31,11,-2.855260954485596
US:143509995,Partner’s work,0.22,3,-5.111489154403938
US:187477341,"Quite frankly, I fell in love.",0.31,8,-2.8050564859837075
US:159221267,Job,0.33,1,-2.6298001581011357
US:200450647,Family,0.25,1,-3.7675180728671025
US:180024447,Parents relocated,0.65,2,-9.620389582296102
US:155104911,housing,0.58,1,-9.212984325400786
US:155093375,Parents job,0.6,2,-9.35787245638357
US:40599012,Lower taxes and warm weather,0.22,5,-4.614581261068219
US:3333856,My mother needed to move,0.35,5,-2.411721526942542
US:2628417,job,0.28,1,-6.973120537884909
US:25773417,Parent's health needs,0.22,4,-4.6583595935798465
US:143285277,Dad's job,0.46,4,-1.5872204117226874
US:1699585,Fathers job,0.24,3,-6.190119484589495
US:142456337,Graduate Assistant at Marshall University,0.25,6,-3.607118648670558
US:158742309,Got divorced and like the climate here,0.26,7,-6.635267630473842
US:33751451,"I was a baby, my mother brought me.",0.64,10,-0.6018584583676103
US:168194249,Family,0.25,1,-3.7675180728671025
US:114276795,"Warmer climate, less bothered by pollen allergies and Seasonal Affective Disorder",0.24,15,-3.8731607782227613
US:128058639,It's were i grew up,0.22,6,-4.4617198115548105
US:121183699,Employment,0.39,2,-2.104787896840956
US:155978515,Take care of my mother after my stepfather died,0.29,10,-3.0407861534829372
US:126854329,To take care of my mother,0.5,6,-1.3609614992092716
US:4385985,My mom met a man,0.41,5,-1.9166052474669952
US:177687425,daughter,0.49,1,-8.704807528501386
US:128079483,Was with parents,0.24,3,-6.230109838304009
US:28390583,better life,0.23,2,-5.755137290880867
US:41089265,To come back home.,0.26,5,-3.5876582732292928
US:40825807,Tired of cold weather,0.74,5,-0.0667221829771192
US:126678241,closer to family,0.23,4,-4.157610257256654
US:175254075,Work,0.44,1,-1.709566926274204
US:144916515,To save money,0.5,3,-1.4001443573623638
US:27535402,For my husband's job,0.24,5,-3.9532780714301765
US:2877845,parents,0.69,1,-9.811203922750435
US:44142267,For schooling and to get a job/continue life.,0.23,11,-4.131778141594394
US:4153462,my mother moved us here due to integration of mobile alabama schools which made it dangerous at school,0.31,19,-7.337553780685099
US:1426621,Dad's job,0.46,4,-1.5872204117226874
US:4646770,My father’s job,0.6,4,-0.8422718953304262
US:42339906,for a job,0.3,3,-2.9181738398694246
US:178481477,To be closer to family and weather,0.29,7,-3.1002255253596447
US:24441746,Economy,0.66,2,-0.502777093759271
US:3960213,Home State,0.23,2,-4.380967805716797
US:2351490,"Retirement. Good Access to the Ocean, as I am Navy Veteran and Always Found Way to Live on a Body of Water. Positive Attitude of It's Residents, Hard Working, Don't Believe in Government Hand Outs, Very Low Welfare Rolls, Sense of Pride of Residents in Their Country (USA) AND Their Community.....As Well as Their State. Government Here in Florida, SOLVES ITS Problems. Doesn't Talk About Them, Ad Infinitum. And the Mass Media Here, Is Not, ""Rabid, Looney"". My Educational Level is Master's Degree Plus....And I Feel Right At Home in Florida..... In Summary, Loving Your Society, Your Country, Your Community, is Inclusive Here in Florida, Not Exclusive.",0.31,150,-7.375691357308644
US:39444385,"It's my home, I was born here and my family lives here",0.65,14,-0.5390744274669366
US:41955514,I didn't want to stay in Florida,0.47,8,-1.54761901245796
US:4601704,parents moved there,0.48,3,-8.688381838335436
US:155169801,For a job.,0.3,4,-2.962135907385235
US:126803469,"Friends, weather",0.22,3,-5.014913700579906
US:1308653,My parents moved here for employment.,0.33,7,-2.631552732151839
US:693524,Taxes were too much in the north,0.29,8,-3.035080681899491
US:180375219,Born here,0.24,2,-6.211084609295849
US:1407512,To attend Law School,0.23,4,-4.304732168349276
US:146427281,I was young & my parents chose to move to Texas.,0.44,12,-1.7637215339899357
US:37135163,I was born in Penna,0.49,6,-1.4395136518773743
US:25724390,Born here,0.24,2,-6.211084609295849
US:2576113,California was turning into Mexico. Too many illegals.,0.23,11,-4.14604312860236
US:25440508,I moved back to NJ.,0.3,6,-2.936562792321061
US:193457591,Work,0.44,1,-1.709566926274204
US:23759088,job relocation,0.39,2,-8.10379849636797
US:1258795,To be with family.,0.31,5,-2.7719174119257604
US:183830357,Retirement,0.38,2,-2.21027587774901
US:139338079,work,0.23,1,-5.758092195569234
US:181430513,i messed up in colorado and im went back home to mom,0.22,13,-4.973060239399771
US:140787159,Marriage.,0.32,3,-2.734181228239712
US:138907275,Job opportunity,0.26,2,-3.5106980414946056
US:2087588,My father’s job,0.6,4,-0.8422718953304262
US:140509663,cheaper cost of living at that time,0.3,8,-2.877636087744602
US:2223213,"Father ended service with the Navy in Portsmouth, VA.",0.25,11,-3.7376899641822736
US:41081604,Born here,0.24,2,-6.211084609295849
US:37840851,I like the weather.,0.76,5,0.033396431042399546
US:1166052,Needed a change. No state Income taxes. Lots of Sunshine and beaches.,0.22,15,-5.152315435345261
US:948545,Born in Ohio,0.39,3,-2.0961245260609007
US:1164292,To be near my son.,0.28,6,-3.1520876523902235
US:42611179,"Job advancement, love the area",0.29,6,-7.125661997434496
US:117878507,Family,0.25,1,-3.7675180728671025
US:1283603,Close to family in California but no state income tax and less government regulation.,0.24,15,-3.9898395431914966
US:25792496,I was a child being molested I told my mom and we moved to ohio.,0.38,17,-2.1651793748013035
US:4510595,Warmer weather and health,0.28,5,-3.1736467229022542
US:2882424,Better opportunities and climate tired of the snow,0.28,8,-6.93218653075972
US:1976345,Moved back to be with family from Florida,0.25,8,-3.6349064796034107
US:41221300,Born & raised in Texas,0.34,5,-2.5442917078278025
US:142873213,I LOVE IT,0.35,3,-2.4209876530015784
US:145699181,For school,0.23,2,-4.1385363067020196
US:80255,for work,0.23,2,-5.750939931528807
US:972380,To be near my children,0.3,5,-2.9041704039244873
US:1962370,to be closer to family,0.29,5,-3.034239140324451
US:33145216,Moved here with my parents,0.31,5,-2.838400242311415
US:32216352,Work,0.44,1,-1.709566926274204
US:137038457,My parents moved us for reasons that they said we’d have better lives..,0.22,15,-4.969557172404553
US:2417808,get better job,0.22,3,-5.451327774039647
US:40794025,Born here,0.24,2,-6.211084609295849
US:27966667,Prefer the people s d politics here - wasn’t happy in Florida,0.48,14,-8.645781902726936
US:202065941,Work related,0.26,2,-3.5033982752058033
US:100312211,Job,0.33,1,-2.6298001581011357
US:106680439,Jobs and the economy,0.56,4,-1.0524222971428832
US:128249631,The warmer weather. Less taxes,0.22,6,-4.742771592358705
US:2476570,Cheaper housing.,0.28,4,-3.2414302283120344
US:173958781,To be near family who had moved here,0.23,8,-4.28851648434225
US:139795563,Work,0.44,1,-1.709566926274204
US:169942149,2000,0.48,2,-1.514072093272649
US:3711871,Dad['s job,0.23,5,-4.102220964431218
US:22479083,I was born here.,0.64,5,-0.6347928988493824
US:3248738,I was born here,0.62,4,-0.738409544674931
US:168169113,My parents emigrated from Europe,0.35,6,-2.44899072945923
US:112500305,Love this state,0.22,3,-4.888896528354854
US:24551849,"To be near family and Lake Superior. Also, Minnesota is too liberal.",0.22,15,-4.795857695195044
US:31203933,Family,0.25,1,-3.7675180728671025
US:131007595,Wanted to move back home after Grad school,0.35,9,-2.42456345472302
US:187857009,Employment,0.39,2,-2.104787896840956
US:26440196,Death in family,0.24,3,-4.005175657293565
US:121158,I was born here,0.62,4,-0.738409544674931
US:1458157,Returned home from military,0.25,4,-6.448141151950309
US:113353081,Husband born in Kentucky,0.27,5,-3.393165871422149
US:104482541,"That was when I was born. I’m joking. I didn’t “move to Texas,” I’m a 6th gen Texan.",0.38,29,-2.1408536909212614
US:161653365,My job moved me from another state,0.29,7,-3.0085645430644794
