person_id,why_think_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:878941,"Wake up ! The Democrats have lost their mind . They lie. They are a Hateful group.They support men in women’s sports, in locker rooms. Harbor illegal immigrants, and above all Do not follow the law and Rules of the Constitution. Haters all of them. They voted against the removal of tax on tips and overtime etc. a sick group.",0.23,72,-5.966512768789712
US:173753001,Their policy choices are more in line with my views than the Republican Party.,0.62,15,-0.7257698420866118
US:202238047,"because Democrats care more about people, instead of corporations & the wealthy.",0.27,14,-3.2982042446907
US:188838039,"Generally, Republicans are more closely aligned with what I consider Christian values.",0.36,14,-2.3241632142319015
US:46467894,They both suck,0.23,3,-4.099639119334284
US:41525136,Not that involved in politics and I vote for who i like better,0.22,13,-4.7970815574533585
US:2688721,"The Democrats are evil and have a dangerous agenda. The Republicans are weak and don't get much done. I left all of the main political parties because none of them were closer to my political opinions. BTW, I live in a state that has been controlled by the Democrats for decades.",0.34,58,-2.4901960215079457
US:165545971,The liberal democrats only think about them self's not about the people they are to represent.,0.5,19,-1.3806486453521944
US:132829943,"The values and positions of the Democratic party align with mine on world, national, local and personal issues. I'm old enough to remember Khrushchev saying, ""We do not have to invade the US. We will destroy you from within."" On a personal level, my eldest grandchild is beautiful transgender woman. Enough said.",0.3,68,-2.9315503068801156
US:4582183,I stand with the fact that Democracy is the number on principal for me as a democrat,0.23,17,-4.15901144198335
US:192631059,"Because as a democrat , I care more about us lower and middle class people and feel that things we rely on in our everyday lives ( Snap , Medicaid , Social Security etc. ) are being taken away by the republicans and that’s not fair to us",0.27,51,-3.4224899343762565
US:169655929,"At this point, it's getting harder to think of myself as one-they are being exceedingly frustrating at the federal level (overall). That said, there is no other major party to push back the continuing fascism of the GOP. I guess I'm a strong progressive Democrat (more Ilhan Omar much less Amy Klobuchar).",0.28,66,-6.913087612043647
US:2337143,Because I believe in a strong social safety net and a government that concerns itself with the least among us first and foremost.,0.36,24,-2.3167854944050394
US:110281569,I am gen x and was raised by conservative parents. I live in rural a county.,0.38,18,-2.1564783189651497
US:24035453,Both are too focused on personal power not aiding the nation,0.22,11,-4.6301414587751015
US:3855364,I agree thatrepublications are the partythatis truly interested in keeping America strong and fateful to our original forefathers. Deocratsv are only interested in making money from their terms in office I have lived thru lots of presidents and it gets worse each time a Democrats wins the office. More money and more power is their goal,0.24,68,-6.122734119528928
US:4660457,I lean more to their principal than I do Democrates,0.23,11,-5.958640197679531
US:4128484,Won't say,0.23,3,-4.156837554607198
US:189710221,They have more empathy for the people of this country,0.55,10,-1.1022252925078344
US:141972,I do not consider myself as close to any political party. None of them serve the will of the people.,0.55,22,-1.1121819268920106
US:37794622,"I agree with more of their policies, especially regarding immigration",0.39,11,-2.1249912242044244
US:2328056,I’ve always been for everything GOP isn’t. Pro choice. Pro LGBTQ+. Pro immigration. Separation of state and church. Help others with less then you.,0.23,33,-4.414475704735637
US:174000833,The Democratic Party is more closely aligned with my values.,0.69,11,-0.36778024978916457
US:208093,democrat candidates are no good,0.25,6,-3.7103490407831448
US:1216625,"The republicans have been taken over by conservative think tanks and fundraisers such as Heritage Founation, that want to lower taxes to wealthy and shrink goverment. See project 2025 , now being enacted",0.22,42,-5.0550389232164825
US:23666220,I just don't like most of the Republicans.,0.57,10,-0.9988940152851928
US:377770,"Neither party is independent of the actual entity in charge, they're just allowed the ""appearances"" of choice/freedom. They are both wings of the same detestable ""creature.""",0.22,39,-5.123196460024872
US:143198901,Honestly I don’t know,0.43,5,-1.7961177664702264
US:39769403,I hate them both. They're both tools used to divide us.,0.54,14,-1.1379627975903768
US:35344139,Because I was bought up a Democrat and Democrats care more about the needs of the American people.,0.26,19,-3.51152756897659
US:43412239,I don't like what the democrats are doing for the country,0.61,13,-0.7439874554857384
US:41069185,Sure not Democrats,0.69,3,-9.83456928272039
US:205882997,Because I believe the current system is broken and corrupt in both parties.,0.34,14,-2.555454216021555
US:408879,right to free speech,0.39,4,-2.0791004565443867
US:39064835,My views are much closer to Republicans,0.28,7,-3.1731859820509287
US:135932533,I believe in the direction the democratic party is moving. The republican party has started to go with a dictatorship and their representatives will do anything to be part of djt's realm.,0.26,36,-3.606574601512765
US:109590315,Try to succeed in the govt,0.31,7,-2.782957453479387
US:2729180,The Democrat Party does not support any of the things I think are important. The republicans are somewhat closer regarding important issues.,0.38,25,-2.1361699338121447
US:691607,I have always been a Democrat and I don't like the Republican party,0.75,14,-0.03467043010957312
US:24917732,"I don't for on moment believe men can become pregnant as democrats today argue. I don't believe men should be allowed to take showers in girl's locker rooms as democrats today argue. I don't think men should compete in women's sports events as democrats today argue. I don't think tax payer funds should be used for abortions as democrats today argue. I don't think taxpayer funds should be use to pay for sex change operations as democrats today argue. I don't think tax payer funds should be used to provide LBGTQ coloring books for Central American countries as democrats today argue. I believe judges engage in criminal acts can be arrested an charged for those criminal acts. I believe foreign nationals in this country illegally should be arrested and charged for that crime without need for a warrant: after all, no warrant is necessary to stop and arrest a bank robber for the crime of bank robbery while in the process of committing that crime. Etc., etc., etc.",0.24,198,-3.909506938502203
US:32073809,I have the same values and beliefs as the Democratic party.,0.79,12,0.20021488845640342
US:42597330,"Party of the people, are always trying to help the working families",0.3,13,-2.8812161102503544
US:184043301,Because the Democratic Party is a bunch of bleeding heart liberals and stand for everything I’m against.,0.46,19,-1.636528183771421
US:4422664,I support social programs and existing entitlement programs,0.24,8,-3.911272993036083
US:25512329,Republicans are easier to live with than being a woke out of touch democrat,0.22,14,-4.81169109673533
US:167050857,Only because I’m concerned about humanity and rights of people but I want to keep my hard earned money,0.28,20,-3.1606875335157767
US:2580371,"We are a democracy, not a dictatorship or monarchy. Democrats (not all) generally adhere to principles of democracy, rule of law, and caring for Mother Earth. Republicans apparently have stopped adhering to these principles and have succumbed to the dark side -- greed, hatred, and ignorance.",0.37,58,-2.2665416625631094
US:4275842,"Because their line with my political views, and they seem the most compassionate",0.22,14,-4.484235459889188
US:1609103,"conservative values, 2nd amendment",0.51,8,-1.3253199489530254
US:183460565,I'm for small government. Republicans are for big government ... but democrats are for HUGE government.,0.3,20,-2.8810360727098128
US:2061248,"Secrets have lost their way and have been taken over by a very, very loud left-wing minority. They have moved away from Democratic values. They have lost their way. Never been a Republican.",0.44,40,-1.7102445408472415
US:151897137,"The Democratic party aligns with many of my ideas about health care, the environment, taxation, etc...",0.34,21,-2.5016411909138885
US:144218195,"My views align best with the Democratic Party with regards to increased social programs, civil rights, and personal freedoms.",0.45,22,-1.70403976205802
US:186567305,I want democracy to be protected.,0.47,7,-1.5483657794194052
US:163771991,The republican party is doing more to address issues that will increase quality of life for citizens and democrats continue to attack values I consider important in order to do whatever the most self absorbed nonsense their is,0.22,39,-5.5435162283523765
US:4298513,"Because it seems that the Democrat party seems to not care about regular Americans. They care more about illegal immigrants, trans male athletes and lied about President Biden. In reality I just think current republicans have more common sense.",0.23,44,-4.3049345600020406
US:134501701,I believe in helping the people who are in the middle class and under. I believe in taxing the billionaires and I believe in abortion and LGBTQ+ rights.,0.61,31,-0.7891930669469734
US:1663994,"I don’t believe in murdering babies, don’t think sexual preference should give anyone special rights, totally against illegal immigrations, and will not go to El Salvador to bring an ElSavadorian citizen, who was in America illegally, back to America, so he can be deported again! One last point, watching the Demoncrats on tv, I am not an idiot and out of touch with reality!",0.24,83,-3.850813060531935
US:160329393,I'm not a fan of democrats.,0.78,9,0.17670999927650793
US:4287703,just don't like the view of the rpb.,0.24,11,-3.9071120223537585
US:1971478,theyre no demonrats,0.26,5,-6.658015455801184
US:3104081,"Because government exist to take care of all people and not big business, the rich and the powerful.",0.34,20,-2.5360358570658375
US:3815561,"Because I want EVERYONE to have the same freedoms in the US, not just a few.",0.27,19,-3.2870248565577733
US:43806103,both are bad i just pick the least bad when i vote,0.23,12,-4.130215003279447
US:193109287,"I’m a leftist, so Democrats align the most with my viewpoints.",0.3,14,-2.9068639855348772
US:4426338,What they stand for aligns with me,0.22,8,-5.259047461091475
US:192299109,At least there more in line with my feelings,0.23,9,-4.098773746892921
US:183018597,Both are terrible,0.24,3,-4.000270582636313
US:1535971,I cannot tolerate the extreme liberalism of the Democratic party.,0.67,11,-0.434606240063814
US:3168602,Because i support their candidates ang policies,0.58,7,-9.242565048784684
US:200450647,"I am standing on the correct side of saving our democracy from an fascist, authoritarian government.",0.27,18,-3.3705317662296426
US:2628417,I used to vote for the person but until the democrats no longer have far left/ woke people running the party I will only vote republican. It’s not something I generally do,0.27,36,-3.330865042336992
US:33751451,Because I believe more in their views,0.24,7,-4.077651738555942
US:168194249,I am not a sheep and will not accept everything because of the party. The Democrats are lost and the Republican's do not seem to be able to think for themselves (hence they follow an Authoritarian who does not seem to be very bright).,0.41,50,-1.938905450505967
US:155978515,"Because my concerns are not the same as the democratic party. I cannot understand why Democrats seem to wanna keep terrorist, illegal, immigrant, murderers, rapists in our country. And why is it that when Democrats don't like something they riot.",0.39,49,-2.0760080288670255
US:177687425,I believe in truth through the Bible. I don't believe in being mean or taking sides each issue should be looked at accordingly in what the real truth,0.24,30,-4.050631722138325
US:41089265,I don't totally agree with either side.,0.43,9,-1.7830711931244572
US:144916515,I’m left-leaning and progressive,0.37,6,-2.228105685141373
US:4646770,They align with my values and views,0.43,7,-1.8318169654896248
US:42339906,conservative principles,0.22,3,-5.211892974623721
US:39444385,"Because the current batch of Republicans is absolutely insane and they don't care about the American people, only money.",0.52,22,-1.266387281720859
US:1407512,"I share many views with the pre-Trump Republican Party with respect to free markets and personal liberty; I find practically nothing in common with the current MAGA populist Republicans and the left-wing Democratic ideologues controlling most of the blue states and blue cities who all want to censor speech they don‘t like, curtail free trade, and generally try to control too much of people’s lives while being totally ineffective at providing basic services.",0.22,86,-5.058986901364203
US:25724390,I enjoy freedoms,0.25,3,-3.799504411715334
US:193457591,"I think the federal government needs to be cut down in size and spending reduced. I also believe in the freedom of speech and in property rights, subjects that the Democrat party has become hostile towards.",0.56,39,-1.0329817768109182
US:23759088,I believe in helping the common person.,0.64,8,-0.5929191726013812
US:41270664,I was raised in a democratic household. And was taught to help neighbors and those less fortunate. Republicans are only out for themselves,0.42,25,-1.8901212040276216
US:2223213,"Democrats tend to be Idiots. Eg., the whole 'MD man' idiocy in the news. The Dems are pushing back in this because it's the only topic/issue they have! Also, the male trans vs women/girls in sports. These are both common sense issues!",0.22,60,-5.441655383716343
US:1164292,"I believe in law and order. I believe immigration is only for those that legal come to the USA. I believe in a strong military and police force to keep the peace. I believe the the perpetrators of crimes should be punished and not the victims. I believe in freedom of religion, speech, etc.",0.74,61,-0.08065930280629731
US:1283603,Share common sense and patriotic values and policies.,0.22,9,-4.870861542689625
US:142873213,Because the Republican party is stricky for the rich people,0.22,11,-4.760784740612405
US:145699181,I have many progressive ideas,0.52,5,-1.246055010975365
US:80255,"The Republican Party, by and large, represents my views in fiscal areas (smaller government, smaller national budget) and moral areas (less abortion, eliminate gender confusion, more personal responsibility).",0.25,38,-3.668778935121887
US:40794025,"Democrats are fighting for our country. We have Some Reasons for Optimism Americans seem to be rediscovering the art, science and potency of noncooperation combined with a robust protest capacity and legal action shows that resistance against Trump’s agenda in America",0.42,48,-8.292489589419478
US:202065941,Republicans decide more for the people and believe n support out armed forces.,0.46,14,-8.569346055851318
US:173958781,I believe in what Democrats believe in. I do not believe that money is everything like Republicans seem to believe. I hardly ever agree with the Republican line about any policy issue.,0.3,35,-2.971514126617835
US:169942149,I feel like the values they profess to believe in more closely in line with my own. I do not trust the conservative Fringe of the Republican party. And that Evangelical conservative right wing rhetoric frankly scares me.,0.23,43,-4.241341605954781
US:3248738,MAGA is the only party that can make any meaningful change in this country.,0.87,17,0.7730901085160286
US:131007595,I believe many government services are important to serve the people.,0.43,12,-1.8228232045231463
US:121158,I think that I am very conservative and believe in the right of the people.,0.79,16,0.2305746684327697
US:1458157,Democrat party has gone too far left on very extreme issues,0.3,12,-2.9528955660793645
US:4367844,Because they align with my values and beliefs.,0.38,9,-2.133977131227567
US:196274361,Because I care about the economy,0.36,6,-2.3089788574043433
US:833791,To me the Democrats are for the working class but also for everyone poor or rich. We care about all people not just the ones who give the most donations.,0.36,32,-2.3201075381180307
US:181973673,I choose to identify with the Republicans,0.35,7,-2.4583676693035845
US:31285486,Do not believe in Maga whatsoever.,0.23,8,-4.286818595917862
US:2128938,I support the issues that Trump is trying to work on.,0.45,12,-1.6540105772846208
US:144724117,I believe the constitution should be enforced and businesses should not be given a vote. Big money should not be allowed to lobby for votes or fund campaigns.,0.39,30,-2.09710943682402
US:118168681,Because I have been for over 40 years. I think democrat do a better job. They listen to the people they represent.,0.31,26,-2.8305068916892053
US:679060,I'm for lower taxes and less spending,0.46,8,-1.5887462212256844
US:29765841,"The Democrat Party has moved sharply left over the years, and are now mostly radical in their social viewpoints and oddly unwilling to work with moderates even in their own party. I believe that many moderate Democrats will leave the party as Independents",0.3,47,-2.9300137228958767
US:39866820,Republican views and policies align mush closer with Biblical teachings.,0.26,11,-6.696821580090946
US:40454774,Listen to both sides of any issue..BE WELL INFORMED.. Pray before you vote.,0.22,20,-4.766577787059096
US:127970477,"I believe in keeping more of what I earn, and that we are subsidizing bad behavior which leads to poverty.",0.32,23,-2.6676146860552783
US:3807435,"I agree with the policies of the Democratic party. While not perfect, the Democrats are so much better in every way than those greedy, disgusting republicans. They are too busy lining up to kiss Trump's ass to get anything done.",0.66,47,-0.4990309655795309
US:1784322,I really don't have any interest in either group they are going to do what they want to do regardless of how I feel or what I say.,0.7,30,-0.3086853926966091
US:697926,im a consevative but not MAGA,0.24,9,-4.039893806194232
US:171195745,I believe in true democracy,0.57,5,-0.9744647965014714
US:46344500,They are currently the party of common sense,0.34,8,-2.532853421200598
US:27654523,Agree with securing the border and crime reduction,0.27,9,-3.305762543393658
US:150199097,Don't agree with republican views,0.24,6,-3.927107224927288
US:133183635,"Although most Republicans are do-nothings, I oppose abortion in all circumstances, I oppose gun control, and I oppose the mutilation of children.",0.3,29,-2.877995686263237
US:1724759,"In New York,Democratic party is way to far left.I am a life long Republican who is not always in agreement with the current party.",0.38,29,-2.186827535031275
US:236035,Because I care about people and feel it should be the responsibility of the government to support and protect people over corporations,0.45,22,-1.6771137488546284
US:100029395,Not democrat,0.27,2,-6.736369525195759
US:187279167,Conservative views,0.38,3,-2.165489623214257
US:159965399,"I'm definitely more conservative. The democrats have turned SO far left, too close to socialisn/communism and I can't abide that. It's never worked for any country and certainly won't work for ours.",0.3,47,-2.906131965111689
US:138884291,"I think their on my side of the game. I think they're fighting an evil that needs to be or must be stopped in their tracks. I think they are the only way forward toward peace and prosperity for all. I think they are the most fair for everybody by far. They seem to believe totally more with the side of real people, not people that already have all the wealth and will do anything to get all the rest of it. There does seem to be some framework of order in this political party and it starts with or is filled with very good value, morals and an understanding of those in the most need. They are smart, they understand all of the problems and which ones should be addressed first, second and so on. I like to be on the side that wants to help everybody and not see anybody suffer for a lifetime, under the rule of others that hide behind steel cells, steel cuffs, a way of doing things that doesn't allow for anybody else to do anything and other things that only let them succeed. I guess what I'm saying is, I like fairness and I see that in great abundance with this particular party.",0.23,230,-5.973285230542796
US:137513145,They make horrible decisions often,0.22,5,-4.871131008370759
US:38479601,I support most of their ideals and would be disgusted to call myself a republican,0.32,15,-2.662878215246391
US:193581445,"I support social healthcare and education. I oppose tax breaks for big businesses and the wealthy. I support a social support system, a strong minimum wage, and unions.",0.6,33,-0.8240500680115448
US:1183535,I think the Republican party is more in touch with the working class.,0.79,14,0.2111723463306437
US:797697,I don't believe in socialism. I believe in small gov. I believe those who sneak over the border are breaking the law.,0.39,26,-2.0634718776657097
US:34468901,Because the Republican party has gone completely off the rails into fascism.,0.33,13,-2.650756615783364
US:193176267,"Government should be of and for the people,and defense of our constitution.Not the protection of a tyrant like we have now",0.22,24,-5.008195392329298
US:2628810,I am extremely happy with President Trump and totally pissed at activists judges democrats and rino's. President Trump will save our nation,0.24,26,-6.324200525641778
US:40514623,republicans are going batshit crazy,0.51,8,-1.3014250155834524
US:688068,I am a strong beliver in Capitolism; Free Speech; More effective and efficient Government; Gun Rights; Religious Freedom and Lower taxes.,0.3,28,-2.8867513176616786
US:192873887,I’m for the poor and not so privileged,0.36,9,-2.329982952648946
US:170919845,Because they have common sense,0.26,5,-3.5539568618749566
US:712408,just am,0.31,2,-7.352740466528474
US:127262499,"I consider myself what they used to call ""Clinton Democrats"" - I'm fiscally conservative and morally liberal. I feel closer to the Democratic Party, because I care more about people and their rights than I care about money.",0.42,46,-1.8799325516599734
US:833211,"Party for the people, and abide by the laws and abide by their oath to defend the Constitution",0.35,19,-2.4651871300231507
US:39682293,I agree with a few of the fiscal policies of the Republican party but I strongly side with the social justice issues of the Democratic party,0.5,26,-1.3582685948063205
US:29342206,"Because I support issues like abortion rights, equal pay, Medicare, Medicaid, indigenous rights, protecting the environment, addressing climate change, etc.",0.25,28,-3.7599661656972008
US:190380543,The republican party not longer exists. They only want power. And the don't care about the rule of law.,0.39,23,-2.0565278679789682
US:133497725,Because I believe in helping ALL people in need I believe in the institutions of our country,0.31,17,-2.8718043771897457
US:2906926,Because the Republicans have moved so far to the right that they are going to fall off the edge of the earth which they think is flat.,0.56,28,-1.046409484978379
US:176974567,Republicans are for regular people like me. They look out for my interests.,0.44,15,-1.7524574133273043
US:1702701,MAGA all the way!!,0.47,7,-1.5508550452861762
US:177515073,HAVE ALWAYS BEEN,0.22,3,-4.987224143188335
US:39386876,I sure don’t think like the comme Democrats,0.47,9,-8.615304495566164
US:131520747,They all suck.,0.32,4,-2.7545960724079075
US:193755917,"On hot button issues I agree with Democrats (abortion) and agree with Republicans ( illegals, spending).",0.24,22,-6.178992166029444
US:29247955,Believe the country is a Republic not a rabble rouser democracy.,0.22,15,-4.719393137285011
US:22851268,This is a bullshit question,0.37,5,-2.2271015133687215
US:193796593,"I want smaller government, strong border protection, reduced taxes, no war unless we are attacked, elimination of using DOJ to prosecute political opponents.",0.22,28,-5.309830028397316
US:41263881,Everyone in my family going back many generations has worked for a living. We were not born with money and no one gave us any. I do not have anything in common with money who are billionaires or millionaires!,0.33,43,-2.608163861886618
US:111285475,Because I think of others first and what they need and that we are all just one bad situation away from….,0.22,22,-4.951843484553129
US:30091878,Because the Republican party is more in line with my Christian beliefs and views on family values.,0.31,18,-2.793911528716735
US:370163,I think of myself as a Republican because I think of Republicans as those who are honest. Also I share the same values as Republicans who want to have order and stability.,0.46,34,-1.584155329095323
US:115531223,I follow the ideals of a Democrat,0.57,7,-0.9801531064602373
US:3273277,Common sense. The extreme left of the Democrat party has taken over the party. They no longer represent the average people of their party. Elizabeth Warren has moved so far to the extreme left that she doesn’t connect with the people. Bernie Sanders has gone completely off and no longer represents the real Democrat party. He is so far left the he is a Socialist who a too close to becoming a Communist. The Democrat party needs to split into two parties. The extreme left needs to leave the Democrat party so the Democrat party can rebuild itself to meet the needs/wishes of the true Democrats.,0.37,117,-2.2342272093896205
US:4570170,"As a rational believer in objective truth, kindness, decency, empathy, the rule of law, problem-solving, reaching consensus and compromise, due process, civil rights, reality and democracy I am a Democrat!",0.22,41,-5.040231948642376
US:183782491,maga,0.22,2,-5.011811655484613
US:40827214,"I believe in democracy and that we, the people should have the ultimate say in what goes on in our country. Democrats are more for working people. Republicans are more for the rich and the elite.",0.82,40,0.3924411503418142
US:22438072,"I prefer to save than spend, want our nation to be lead by political people that do what is best for everyone not just themselves, not be swayed by corrupt groups",0.23,34,-4.254401096953822
US:170594,"I don't completely agree with either party, but the Republicans are the most conservative on social issues which are the most important to me. They are also the most fiscally conservative.",0.85,37,0.636963241672681
US:163168713,"There are pieces of both I like, and there are pieces I don't like. I wish I could pick a la carte style to get my opinions",0.26,30,-3.431764538544698
US:969263,The Republican Party no longer exists. It's now the Trump Party. Having a political party dominated exclusively by one person is dangerous. President Trump exhibits all the signs of megalomania and narcissism.,0.62,41,-0.6983056683836237
US:2839803,Really tired of the Dems lies and the fake news covering for them.,0.44,14,-1.755126894887387
US:192934753,"I’m liberal, so it’s the party closest to my views",0.34,13,-2.4864926385720003
US:2497157,they represent my views,0.23,4,-4.336695859192155
US:144034,I abhor the policies presented by the Republican party. They are pure greed and self-interest.,0.72,19,-0.16191072028774536
US:3126949,"Will never trust the Republican Party again after its politicians have embraced fascism, ignore the rule of law, break their oath to uphold the constitution, violate international law, endanger our national security, act with cruelty and lies. What else would any American choose but to be a democrat if they have any care for our country?",0.28,63,-3.2230274874532516
US:31628241,"Through most of my life, the Democrats more closely advocate for the policies and practices that I most closely believe in. But there are some things that Republicans support, that could be incorporated into the platform as well. That is why I call myself a moderate. I am not at either extreme, or decisively one or the other.",0.26,66,-3.591301974824474
US:142914069,I believe more in the republicans views,0.31,8,-2.868600501516258
US:184796029,Republicans are out of touch with the general public.,0.74,10,-0.05627911018973322
US:1248308,BECAUSE I FEEL STRONGLY ABOUT LIVING IN A DEMOCRACY,0.55,17,-1.0788127071526623
US:196918595,I'm not a party guy,0.63,6,-0.6462987083432706
US:24846897,because what they say and do make sense to me. i don't understand anyone who would go along with the other side,0.45,24,-1.7054937739508895
US:28322396,"Because both sides are full of BS, but the left is far worse than the right.",0.48,18,-1.508596566348609
US:159901939,the question is messed up,0.22,5,-4.504574732327486
US:35610867,I feel I agree with most of the issues the Republucan Party takes.,0.34,18,-2.5571848847315564
US:116802541,They seem to make more sense right now,0.4,8,-2.0080318874806617
US:167908681,I grew up in Massachusetts as a strong Democrat but even if I did not identify as a Democrat the ideology of the current Republican party is twisted and lost. I believe in principals before party,0.28,37,-3.256183844439597
US:2280771,Because there is nothing that the democrats support that is remotely close to libertarian.,0.31,16,-2.786816794202214
US:195481089,I'm a conservative person who believes in freedom.,0.72,10,-0.18733970769489833
US:130701331,Democrats are too liberal and only seem to concentrate on illegals getting into our country and helping minorities,0.23,19,-4.169009187063296
US:4275346,My vote for President was a protest vote. I neither wanted to make an affirmative action vote nor did I want a madman. I don’t want the choice between 2 evils,0.32,36,-2.70090541119604
US:26505123,I agree mostly with their policies,0.22,6,-4.969883159606921
US:140138441,"The American first-past-the-post system will only ever settle into a 2-party system. I completely oppose the current Republican party and everything they stand for therefore even if my politics don't perfectly align with the opposition, I will support them.",0.26,49,-3.4548712452298833
US:2883973,"Republican Party stand for what I believe in sanctify in life, the county needs a party that will work for them",0.23,23,-4.327099053592201
US:198585381,I am a liberal person but really more liberal than the democrats,0.33,13,-2.5927652503013707
US:1999550,They are the only real alternative to the fascist GOP party,0.58,11,-0.923459440609308
US:151964741,The values of most republicans align with my view points. The Democratic Party does not align in anyway with my values.,0.34,24,-2.4685050297822366
US:1003076,Because I care about other people.,0.33,7,-2.6544327658316598
US:22638563,"Because the Republicans currently have extremist views incompatible with life, liberty, and the ability to thrive.",0.28,19,-7.011294217668572
US:26383036,It needs to be more about the will of the people & for the good of the people.,0.45,19,-1.6605151775123208
US:42734146,I believe the people make this country great not the government,0.55,11,-1.1059338243083077
US:22176025,"I am a MAGA Republican. I trust Trump will improve the US. He is a businessman, and he knows what it takes to run a business. All in all, the US is a company or business or whatever else you want to call the US, and Trump is the way to straighten this mess out.",0.35,64,-2.385677542571589
US:1924816,I believe in the rule of law and Republican threw that out when they elected a felon.,0.27,18,-3.2949816495343223
US:206398053,Because I wasn't born Rich. I am a working class person in America that is just trying to survive and make it in this world with Family and Friends.,0.48,32,-1.51406517840216
US:119636643,Because I believe in democratic principles and the will of the American people.,0.37,14,-2.2317735705182247
US:171454341,"Because the Democratic party is more accepting of LGBTQ, of which I am a member.",0.38,17,-2.185610131336972
US:40915882,"I believe in smaller government, free speech, freedom of religion and the sanctity of life.",0.68,19,-0.4033695296103461
US:191587055,"The democrat party seems more likely to champion minority rights,including women,which is important to me",0.23,19,-4.108186989502055
US:125423673,Because I'm definitely not in line with today's Republicans,0.23,11,-4.344065382422106
