person_id,why_are_pid
US:1120802,"Because entrenched politicians in D.C. have profited from their tenures to the point whereupon entering Congress, getting reelected to multiple terms and maintaining two residences, all on the salary of a Senator or Representative, the magically become multi-millionaires. They become the Uniparty, Swamp if you will and are then loathe to make any changes to the system that interrupts their grifting. Additionally, I feel that once entrenched in office, politicians are more concerned with their own party's political power as well as gaming the system to enhance their own political power within Congress. At that point, they are no longer about me/us, but about acquiring and maintaining power."
US:171503791,Democrats are more sesible people that dont go along with everything the president wants
US:183032805,"Neither party offers anything for single people,."
US:1975897,"I support democracy, I will not support any form of autocracy!"
US:672276,Protect abortion
US:182678165,don't know.
US:146186029,"The general platform of the property best represents my views and values: freedom of choice, when in doubt err on the side of individual liberty, low taxes and regulation, less government, strong national security/defense. The Democratic Party does not stand for this."
US:30988821,Republicans are politicians who DON'T do what their people want or need
US:1985140,"The Democrat party have adopted Hitler's policies widely across the board. They are anti free speech, anti 2A and are pathological liars. They point the finger at everyone else for their own shortcomings."
US:23767,They are the only sensible ones right now. The Republicans are turning us into a fascist state if you care to read any history books.
US:1248775,common sense
US:1499789,I vote my conscience not the party
US:31324814,I've been a long time Democrat because they are for the folks like me
US:169224063,I don’t identify with either party
US:39469525,This is the party of the people. Our strongest and best presidents in my lifetime have all been Democrats.
US:187477341,"I believe this way, due to feeling like the Democrats are more liberal than I’m comfortable with."
US:177516757,I like the decisions that the republicans make to better our country and its peopke
US:4717153,"freedom, rights, and Republican beliefs"
US:180024447,Democrats are more for the people than Republicans.
US:155093375,I used to be a registered Republican. The current version of the Republican party no longer represents Republican ideals. The current republican party is an embarrassment. President Trump is an embarrassment. His cabinet is an embarrassment. They are taking the country in the wrong direction.
US:40599012,"I am against people pouring into our country illegally. I am pro life. I am not for DEI. I believe there are only two genders. I am anti crime. I believe we are one nation under God. I believe there is to much welfare and not enough work. I don't think we should provide security for other countries for free. I think if I want an electric car, it should be my choice. I think our country should be oil independent. I don't believe trans people should be in our military."
US:1454614,"No particular reason, Democrats just seem to be more sensible and can get things done"
US:143285277,Common sense
US:1699585,We believe in the constitution.
US:158742309,Because Democrats have become retarded communists that hate America.
US:114276795,Much more focus on human rights and the needs of the working class.
US:4385985,I don't know
US:1720119,"Democrats have been the closest to my priorities since I started voting. I voted Republican a few times, but once I learned more about things, I saw how wrong I was. Democrats legislate more for interests of Americans like me. Before my disability, I worked as a Pipefitter, even though a few on the local and state level here are allies, they won't be satisfied until unions are a thing of the past. I believe socially as Democrats, not far left progressives. I believe in a hand up to those in need followed by a path forward, job training, counseling, etc. I'm big on climate change. I'm all for equal rights for all, regardless of religion, creed, sexual orientation, etc. I stand firm on separation of Church and State. As a practicing Catholic, I have no right setting an agenda we run the country. I believe in strong public schools and public universities with fully funded budgets. I don't want to hear there's never a reason to terminate a pregnancy because a politician identifies as pro life to win elections. I want sex education at an appropriate age with enough information to cut down on STI's and unwanted pregnancies. As a survivor, I wish mine in freshman year was more than a couple semesters in place of gym class. Maybe I would have spoken up for help sooner. I want to see abortion only in cases of rape, incest, and health of the mother. I want no more free passes for any religious congregation talking politics while making endorsements from the pulpit. I don't want immunity for anyone, including cops. Lastly, after 2015, I believe the biggest threat to America is our bought and paid for judiciary. The obstruction McConnell used blocking that many nominees across all levels to satisfy Leonard Leo and the dark money folks has set us back. We now have hand picked allies in districts where the cases shouldn't be heard setting the stage for everything to go to SCOTUS. There they're set to get rid of experts, agencies, and rights thar will harm America for generations."
US:39712389,I want the people to have more say in politics and in their life
US:181606299,because republicans represent the working class!!
US:126678241,"Republicans care about the people, want what is best for our country."
US:2877845,right ideas
US:4153462,i believe in the same things as the democrats
US:3960213,Common sense policies
US:155169801,Because neither major party seems capable of producing a decent candidate for any office at any level.
US:37135163,Because it is my choice
US:2576113,"Against many liberal policies. I.e. open borders, Trans in womens sports, weak on crime, DEI, ETC"
US:1258795,I am closer to the Democratis Party because they are for the rule of law and checks and balances in government unlike the Republicans headed by a would be dictator who thinks he is above the law and loves fascism.
US:181430513,i am closer to the republican party because they are less hypocritical in my estimation of hypocricy
US:138907275,for the people by the people is the way we SHOULD be operating.
US:182481331,"Honestly, because we have a very polarizing 2 party system in this country, and i sure as hell am NOT a republican. Therefore i am a democrat."
US:29998036,I agree with the polici
US:140509663,Their beliefs are more like mine
US:41081604,Freedom
US:948545,Because Demonrats suck
US:161380007,Because I believe we all deserve equality
US:1976345,"Because I believe in their philosophy, the rule of law and to help the middle class also I don't make enough money to be a republican"
US:1962370,I am a Republican mainly for moral values. I believe Republicans hold closer to the moral and values that I hold to so I will always choose to be a Republican
US:32216352,We care about making this country fair and just for all people not like Republican whose only goals are the destruction of our liberal democracy and feathering their own and their wealthy backers nests.
US:100312211,"Logic, reason, facts, historical perspective"
US:106680439,"I really don’t know anymore,’ I need to switch parties"
US:112500305,I believe in what our forefathers wrote in constitution. I also believe in helping those who need it.
US:2725036,"Freedom, I am pro life, pro family, pro faith"
US:3854673,Because they agree and are aligned to my political beliefs and how I think the government should be run more then the republicans who are opposite of me
US:145372567,"Because both parties support gifting and selling weapons to Israeli tyrants. Neither cares about Palestinians being slaughtered en masse, or the Houthis who have been fighting for them."
US:25258738,Because I am not a liberal left wing democrat. I care about the quality of life in the USA. I do not care about illegal aliens. Deport all of them. Lock up criminals. Too many issues to list here.
US:169952803,Republicans suck these days
US:200053699,cuz the republicans are crazy
US:1894629,"I don't like woke socialists, less government is better. Take care of America not Steal and give away our money like Democrats were and are doing."
US:40444921,"Democrats has a more secure approach for social programs, minorities, education for all, better health care. With protect the borders they had issues, but for all are more concern about all people."
US:4572435,I am a Republican because the republican values align with mine.
US:39250563,Common sense policies
US:26304917,"I am a republican because I agree with their major policies, pro-life, deporting illegal immigrants, only two sexes, male and female, pro Israel, etc."
US:102175907,Don't give away as much as democrats
US:148397215,have been four yrs. not gonnachange.
US:182596145,Both parties are pretty inefficient !!!
US:505728,Because they are more for the poorer people
US:110126849,The Republican Party has chosen to become a cult for one unfit for the office he unfortunately holds. That means only the Democratic Party has a fighting chance of limiting the damage the present occupant of the Oval Office is causing.
US:174130867,I am conservative in my thoughts
US:1892485,law and order whivh they no longer represent
US:171969377,Republicans better align with traditional Christian beliefs and values.
US:203807193,Neither
US:188490537,I believe in freedom of speech and liberty
US:164429759,It is most influential to power in New Mexico.
US:33794250,I am a Democrat because I believe in democracy and giving the people a voice and a choice.
US:180575093,Sure how to answer that
US:156039089,None
US:34772605,I cannot morally ethically vote for any democrat!! Most are socialist.
US:185369013,Republican Party has become too extreme with MAGA and Donald Trump (wannabe dictator)
US:32003793,I have been a life long republican but I cannot support the things today's republican party are doing.
US:736541,"The Democrats are concerned about everyday people , helping to build they economy and keeping tax lowered for the poor or working person."
US:30178637,Because I lean conservative and agree with most of their platform
US:144386033,I don't do poltics
US:163108491,Democrats do make an effort to help the average person.
US:184306119,I’m tired of immigrants illegally coming into the country and benefiting from taxpayer paid services. I think there are only two sexes and all the other is just crap. I believe in tariffs. I believe that the Democratic Party is full of thieves and liars.
US:177205711,"I agree more with them and the things they say, do, and support. They are more for middle class people like myself."
US:138913953,I don't pay attention to politics
US:22054392,"They run on issues, not identity politics as the dems do."
US:649911,The stance of most issues in the Democrat party align with my belief system.
US:829638,believe in most of what they stand for
US:3282836,I think republicans save’s economy this country
US:3644474,I want freedom
US:30490332,I feel republicans are for the people and democrats are for the illegal immigrants. I have a hard time understanding why we have to take care of illegals and give them benefits when we have homeless Americans
US:192133211,politics and stuff
US:3055095,This is the only party that’s looking out for average Americans. They don’t always get it right but they do the best they can to equal the playing field against the ultra rich.
US:107067195,Because democrats are demonic
US:189113771,Not sure
US:24455663,I believe in social & economic left-wing views. The Democratic Party is seen as the USA's left-wing.
US:27362353,They are more closer to what I view is the correct choices for America.
US:2567395,"The Democratic platform aligns more closely with my personal values and beliefs about the role of government and who ""We, the People"" are."
US:27014929,Na
US:197590917,Right now they share some of the same values as I do and the way I want to see this country go. The Democrat party and I share none of the same values or vision for this country
US:4281202,because I believe in a democracy and that all people should have a chance of living the dream
US:197806785,Because of my complete loss of faith in the Democratic party. Even though i disagree with aspects of how Republicans do some things they at least male things happen.
US:39885739,"The power of ordinary and all people reside in the government officials they vote for, our representatives; according to our Constitution. I love my country and think a Republican is the best form of government we have and ever have. I will always vote."
US:40815774,I believe the government exists to improve life for its citizens. Currently the government seems set on improving the lives of billionaires and politicians.
US:4013639,I vote for the person I think will do the best job
US:257196,I am a conservative who believes in the goodness of the USA. I support the armed forces and the police. I want strong closed borders and illegals deported. I want fair trade a balanced budget. I want strong families and school choice. I don’t want money going to leftist or liberal schools or causes. I support Israel. I believe Donald Trump is the right leader for the current times.
US:193207065,I like them.
US:126208417,Because the party aligns with my moral compass of helping those who are unable to help themselves.
US:4510818,"The democrats have no concern for the safety of the country, the citizens or our rights as americans."
US:111864859,"They represent my values on free speech, the rule of law and common sense. Meritocracy is values over equality of outcome."
US:169892699,"I prefer to be a liberal, a democrat and a republic has so many bad things, I would like to choose another candidate, a new face, someone who does not think just because the president of the United States believes himself to be the King of the world."
US:38836752,"Because republicans only think of two things. Themselves, and money. Democrats care about people, they help people. Republicans can only think of, what will this situation will do to make me wealthier. Democrats think how can I help others with this situation. The republican party has sold out America. They think that they are the only ones that matter."
US:137953211,I don't like to be told by anyone how I should think or behave
US:114891825,I want the USA to be a great place again MAGA!
US:169143651,Republicans are for American people and do what is right.
US:128217457,I believe in democracy and freedom and want them to continue in my country.
US:194053277,Republicans are crooks in a very dangerous maga cult
US:4476379,They are similar
US:629443,I value virtue
US:4541408,Conservative in most of my political leanings.
US:32711723,Because republicans wants laws that set us back 30 years and the e democrates try move us forward but they do it all ass backward. So nothing gets done 5he right way.
US:197540039,Trump divided the nation
US:37981556,"The Republicans have gone off the rails, and are bat shit crazy or only followers. Using fear and we will stop the other side at all cost not work with them. Even if we liked the idea yesterday, but they proposed it first it must be bad and killed. Don't have space to go into their cut rich taxes and not the average citizen. The democrats give it all away, everyone gets a trophy. These people aren't doing well lets through buckets of money at it. That didn't work lets start another program and dump more money, never getting rid of the first or having any plan to hand up always hand out. Also no spine when it comes to outrageous lies from the other side."
US:133972483,"I lost all faith in the Republican party who no longer even follows their own general policies; the Democrats tend to be more inclusive, more concerned with the ""average"" American person, they see more then the needs of the billionaires."
US:129019595,I grew up in a Democrat family and was a Democrat for decades. But the Democratic Party has become a freakish embarrassment. It lied to keep a senile corrupt career politician in office & then repolaced him with a laughingstock as his replacement. I don't care for most Republocans but at least most have common sense.
US:30616064,they are for helping ALL people NOT just the very rich people
US:920847,Right to life
US:186108123,Because they are more for the people
US:1097277,When I was 18 my uncle was running for commissioner. He was very surprised to find out that a lot of the cousins weren't registered so he got us all signed up. Since he was a democrat he signed us all up as democrats. I never even knew the difference
US:26620059,When i was 18 i had to sign up for the draft and i sign up to vote and my family at the time was but i don't alwys vote a straight ticket.
US:46334666,They respect and protect the Constitution.
US:194603601,"I think there is a lot more of the government can do to provide services to its people, and it should. I also think that we are away too much in all of billionaires, and that they should be taxed more."
US:126798203,I believe in the republic
US:120564025,"I am a working class, union member who loves his country. Although I don't agree with everything they stand for, they do stand for the working class."
US:34068622,I am very conservative and the republican party is more aligned with my views
US:30518058,"We'd really like to know how you think about your key political choices. In your own words, why are you closer to neither the $wording_democratic_nor_republican Party? The politicians of both parties often seem aloof, self-serving, and actually not very widely informed; they seem to be aware of very little actual history, both national and world, most lack logic, most are biased to the point that new evidence contrary to their beliefs has little effect on their opinions. Exceptions are few and appreciated."
US:183638017,My values most align with the Democratic Party.
US:155681713,I am for Smaller government. And following the constitution
US:41116534,I agree with both on certain topics.
US:28165083,More conservative principles
US:119640917,They are slightly left of republicans
US:46980040,"Because Democrats support ordinary people, unions, the environment while Republicans support the rich and giant corporations"
US:166432403,Because I am not a republican
US:22861945,My leanings are towards being conservative
US:4588496,"Democrats care sbout the people, not just the wealthy"
US:941486,The democrats lie & tried to hide the fact that Biden was senile. They push disgusting agenda. You are either in their side or you are wrong. No compromise. They push hatred of anyone not agreeing with them. Obama built the holding area for illegals but you heard nothing . Trump used the same holding cells & democrats called him Hitler . Pelosi is to blame for not sending in reserves on Jan. 6th but that’s hidden news. Democrats are to blame for all the illegals in the USA. Democrats are anti biblical values.
US:184245211,I believe in limited government. Eliminate wasteful spending. Eliminate dei so the best qualified individual is hired or promoted. Curtail immigration and stop illegals from crossing the boarder. Stop rioters from looting and destroying property.
US:30497318,The alternative these days is fascism
US:2407967,republicans are even more extreme
US:35989721,"Support the MAGA movement, Make America Great Again"
US:1281234,"They are two heads of the same venomous snake. What we are presented is just a grand stage play, not unlike the WWF/wrestling theater, meant to manipulate and keep people scared, distrustful, and hating each other. However, the cycle always comes back around.....for a while, at least."
US:40650859,Democrats turned total dictator communist authoritarians!
US:149283887,It aligns more with my values.
US:1096150,I'm a Maga Republican.
US:25065723,"I am because I believe in the right for the people to choose how they live their life. (abortion, gay marriage, etc)"
US:183208553,It's the only choice I have. I'm not a big fan but it's the closest to what I believe.
US:3012668,more liberal and do not approve republicans conservative choices
US:193164715,I believe in the power of government to make a difference and to look out for the most vulnerable.
US:174023377,Different opinions for both parties
US:162089701,Not sure
US:156674223,Because I don't believe in the cruelty of the Republicans. I believe the science and don't believe wealthy need more tax breaks.
US:170972947,"I believe that everyone has a right to live free, nobody is above the law, and and nobody has the right to determine you don't belong on this land because of the color of your skin! Every person is human and equal!"
US:195013463,Just felt like it
US:1325933,"Because government has certain roles to play but those should be limited. The people should most of their decisions by where they put their money, not by the government taking people's money and wasting it."
US:201793023,My family and give what we're are going through now
US:135972431,I strongly support all of Donald Trump's decisions because he loves this country and will do anything to save it from being the wreck that Obama and Biden have made
US:200266563,THe Republicans are too nuts.
US:198736091,I stand for rule of law
US:142543661,"I voted for Ronald Reagan 80 & 84, bush in 88, Perot in 92, then in 1996, I voted for bill clinton bc of healthcare …. Then they impeached him ….thats when I became an antiCONservative….in 2000 the Supreme Court intervened and stopped the vote count in Florida… ignoring the will of the people and depriving the popular vote winner Al gore his presidency giving it to. bush /cheney. Who gave us the Great Recession and Iraq war …,then Obama won in 2008 & 2012 ….giving me the healthcare Clinton tried to implement…CONservatives have caused so much damage to our great nation … we may never recover from it. And that’s even before Trump n maga stepped I. To supercharge the destruction of the USA."
US:31895358,I agree with their policies and views
US:151078541,I believe Democrats are for social and demacratic programs and values. The Demcrats are for middle and lower class
US:4134139,I feel that they are listening to the people and doing more for the people
US:28156510,Because i believe in the party. They get things done
US:178570843,"It is the party of FDR, HST and JFK. It can stand and oppose the current regime and fight for the genuine every day people."
US:34695224,"I'm very conservative, almost libertarian. Republican party comes closest to my views."
US:28734223,I don't care of either one of them.
US:1949924,Because I believe that Democrats are for helping people to be Self sufficient in area can provide positive productive policies
US:25580322,because polotics is nothing but a money maker for the rich
US:124472141,Thr democratic party has made a hugè mess in our state. They're TOO liberal We need new people!
US:41198284,Because they align with my beliefs and values
US:32348799,becaause i am black
US:40926800,Like the policy’s
US:188332027,Democrats apparently have no idea how reality works. The costs and consequences of their delusional feelings on things.
US:189969363,"I value Social Progress over Social Conservation. I value free speech, and the Rule of Law, as defined and limited by the Constitution, as Amended by a society that rejected the Founding Father's belief that ""We The People"" only applied to White, Male, Landowners; and not those landowner's property."
US:154728427,"Well, demoncrat party is a part of death and cults, republicans has some rhinos to get rid of."
US:187253879,I support trump
US:3188194,They aline with most of my beliefs
US:198783471,"Because I love freedom, this country, and the former international order."
US:4037061,"I want small, limited government, low taxes, law and order, and traditional values"
US:404350,"I'm sane and rational unlike mentally ill, angry democrats"
US:197248363,Too much going on in the world.
US:186918827,I believe the Democratic Party is the party of the working class in America.
US:203805443,None
US:182665931,Republicans have turned away from democratic values and towards not questioning the authoritarian views of trump.
US:245376,because i liked what they use to stand for now i am not like what they stand for at all
US:24933131,Conservative values are more aligned with the Republican Party.
US:137083711,The Democrats are ridiculous in their beliefs now
US:182326937,"My views such as less government spending, gun rights and public safety funding are geared more towards Republicans."
US:707706,"Republicans are not batshit crazy like democrats. Republicans believe in lower taxes, smaller government, conservative values."
US:40949722,"I am a Dem because I believe in personal freedom, the ability to live life as you wish as long as you do not harm others. I believe in helping other countries when they are struggling by supporting their cause for freedom (e.g., Ukraine), providing food or other forms of aid, or helping during a crisis. I believe in immigration because this is a country founded by immigrants. I believe in the rule of law and following the Constitution."
US:170062489,I vote for Democrats and Republicans depending on their vision.
US:4349947,now days the Republican party is the party of the people and they are doing things for the people
US:111739597,I think we believe in what we are fighting for. Democrats are working to better our futures.
US:886594,Because they cannot solve the problem and they don’t think of the people
US:134825095,I think the current GOP is not focused on what is best for most Americas but what the president wants. There seems to be a fear of going against him or even disagreeing with his policies.
US:168171309,"party of compassion, rule of law and moral government"
US:2740379,Republican party has devolved into a criminal organization.
US:3368655,We are a people from all nations and we should be able to voice our opinion when we don't like something. we SHOULD ALL take care of each other. Rich people should NEVER have the right to tell others how to live. WE are NO longer into the slave trade for anyone. EVERYONE is created equal.
US:187792641,I believe in smaller government. I think the democrats lean to far to the left
US:189664613,"Because he is the oldest and most distinguished, and his ideas and aspirations suit me."
US:37605754,Because I am not rich
US:1624910,"I was a republican for a long time. It was the 2016 election of Donald Trump which changed me. I see myself as a moderate - I believe in equality, I believe in freedom, I believe in the US as the main power in the world. All of that has gone away from the GOP. The GOP is now a strange religious death cult. I became a D, and now a strong D because in the end, while I don't agree with everything on that side, I agree with the general intellectual approach and that the Ds believe in things like the rule of law, equality, and global standing. Also, after seeing the GOP tank the economy over and over, my analytical brain said ""stop voting red if you don't want to go broke."" So, here I am, an accidental democrat."
US:180608803,"1. I’m based in reality and science. 2. Law and order 3. Fiscally responsible to our own citizens 4. Morally good 5. We don’t label and/or compartmentalize people 6. We don’t change accents, yell or deceive in communication."
US:1934985,Democrats want to stay in power anyway they can. Legally or illegally. They hate America. They are only interested in their own wealth and lifestyle. Their foul language in public is disgraceful. Hate rules the Democratic Party.
US:205581651,I think Donald Trump is doing a fantastic job as president of the United States. He's fixing numerous issues we face.
US:198191597,"I prefer to let my own thoughts and opinions dictate my actions. I see no reason to lean towards either party, both parties are equally corrupt and I personally don’t want to be associated with either side. I’m on my own side , basically."
US:187891651,"The Democrats are the party of the people, they promote programs that helps all people not just the rich."
US:4482183,I prefer to stay neutral
US:196592207,Because they work for USA
US:204326,They are better for the world
US:25285394,I grew up as a republican
US:199136757,The Republican party has gone off the rails and is destroyed. It’s not a party of conservative values are conservative politics are fiscal responsibility. It is the party of Donald Trump
US:167464473,they support my views
US:4297591,I support a smaller government that supports capitalism and does not select certain groups for special benefits.
US:157880829,Closer to my values
US:196893321,Every day people
US:1758325,like what they say
US:1485481,"I am really a libertarian, the Republican party is closer to my views than the Democrat party."
US:171875041,Because it fits me to a tee honestly
US:945248,Both are far more interested in their own power than in the Constitution of the nation.
US:167130077,I love the democratic party
US:144102289,Forward thinking. Republicans pull us backwards
US:173847589,Democrats are more concerned with social issues. These affect only minority populations
US:2602711,"They are ALL a bunch of liars and thieves. They got elected to fatten their own pockets and don't care at all about the ""little"" people also known as the backbone of the USA."
US:137094779,I have nothing to say
US:104701775,More conservative and responsible
US:2031786,I'm a conservative who values the rule of law. Democrats are completely open to interpreting laws to meet their own ends - which does NOT usually align with the law as intended.
US:1005909,Because Democrats are worthless.
US:4557356,They both suck!
US:4031742,I was a Democrat until they went Socialist. I believe in freedom and government NOT in my personal business!
US:46510028,"Both parties are corrupt and serve the purposes of a ruling class that is robbing the people blind. Both parties support the genocide in Gaza and want to keep sending money and arms to Israel (though I don't believe the American people want that). Both parties try to be hawkish on immigration, where they need to be MUCH MORE POSITIVE. Both parties are horrible. We need an actual left-wing party. The Dems campaigned with LIZ CHENEY that detestable warmonger. I hate both parties."
US:24924331,Democrats are radical leftists who care more about power than anything else. The also seem to care more for Illegals than they do for American citizens!
US:2532513,"Because on most issues, the Democratic party is more attuned to the low and middle class. The Republicans are more inclined to favor the billionaire class."
US:27223772,"The Republican party has become fouled by phony religious claims, and has totally rejected the rule of law in America. I've been a Democrat since John F. Kennedy was president."
US:4370942,I believe that the Democrats are more for the people.
US:22703481,The other options were too liberal and did not consider the longterm effects of their policies.
