person_id,question,text,prob_machine_generated,n_tokens,glimpse_criterion,full_text
US:100880745,why_moved_to_current_state,I was born in NY,0.68,5,-0.3931391313585613,When I voted in the 2016 election.   I was born in NY   I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.
US:100880745,why_think_pid_with_when,I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.,0.56,57,-1.0141404057114132,When I voted in the 2016 election.   I was born in NY   I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.
US:100936619,when_decided_pid,"Democrats lie and do not listen to their constituents! And, they stay if Congress way too long. They lie all the time and they have no respect to WE THE PEOPLE!!",0.22,35,-4.559098310648022,"Democrats lie and do not listen to their constituents! And, they stay if Congress way too long. They lie all the time and they have no respect to WE THE PEOPLE!!   They keep their promises!!   I was born in Florida"
US:100936619,why_are_pid_with_when,They keep their promises!!,0.22,5,-4.758909546279895,"Democrats lie and do not listen to their constituents! And, they stay if Congress way too long. They lie all the time and they have no respect to WE THE PEOPLE!!   They keep their promises!!   I was born in Florida"
US:100936619,why_moved_to_current_state,I was born in Florida,0.83,5,0.5095177750174399,"Democrats lie and do not listen to their constituents! And, they stay if Congress way too long. They lie all the time and they have no respect to WE THE PEOPLE!!   They keep their promises!!   I was born in Florida"
US:101022261,when_think_pid,Not sure,0.38,2,-2.1874984942408053,Not sure   Born here   Freedom of speech and fiscal responsibility
US:101022261,why_moved_to_current_state,Born here,0.24,2,-6.211084609295849,Not sure   Born here   Freedom of speech and fiscal responsibility
US:101022261,why_think_pid_with_when,Freedom of speech and fiscal responsibility,0.31,6,-2.8049386874467372,Not sure   Born here   Freedom of speech and fiscal responsibility
US:101110507,why_are_pid,More to my. way of thinking,0.26,7,-3.4369363108751383,More to my. way of thinking   For love of a man
US:101110507,why_moved_to_current_state,For love of a man,0.4,5,-1.9989735889463145,More to my. way of thinking   For love of a man
US:101112849,when_think_pid,When tRump was elect,0.31,6,-2.8356292851930056,"When tRump was elect   Military   MAGA has ruined everything, and the democrats are too nice. We need a third party."
US:101112849,why_moved_to_current_state,Military,0.23,1,-4.3068628575084205,"When tRump was elect   Military   MAGA has ruined everything, and the democrats are too nice. We need a third party."
US:101112849,why_think_pid_with_when,"MAGA has ruined everything, and the democrats are too nice. We need a third party.",0.68,21,-0.414877898361291,"When tRump was elect   Military   MAGA has ruined everything, and the democrats are too nice. We need a third party."
US:101148325,why_are_pid,"We care about the real American dream where anyone can get ahead, not just the rich. We cherish diversity, inclusion, love",0.4,25,-2.037280479709157,"We care about the real American dream where anyone can get ahead, not just the rich. We cherish diversity, inclusion, love   Born"
US:101148325,why_moved_to_current_state,Born,0.23,1,-4.273463638025494,"We care about the real American dream where anyone can get ahead, not just the rich. We cherish diversity, inclusion, love   Born"
US:101231599,when_decided_pid,Forever,0.22,1,-5.416363283947655,Forever   They are saner than the dumbass democrats
US:101231599,why_are_pid_with_when,They are saner than the dumbass democrats,0.36,10,-2.36026587406817,Forever   They are saner than the dumbass democrats
US:101287711,why_moved_to_current_state,BETTER EDUCATION FOR MY KIDS,0.52,9,-1.2522950463371072,"BETTER EDUCATION FOR MY KIDS   BECAUSE REPUBLICANS THINK LIKE THE PEOPLE, THE RATS THINK ONLY FOR THEMSELVES!!"
US:101287711,why_think_pid,"BECAUSE REPUBLICANS THINK LIKE THE PEOPLE, THE RATS THINK ONLY FOR THEMSELVES!!",0.23,21,-4.173044897326226,"BETTER EDUCATION FOR MY KIDS   BECAUSE REPUBLICANS THINK LIKE THE PEOPLE, THE RATS THINK ONLY FOR THEMSELVES!!"
US:101292575,why_moved_to_current_state,I grew up there,0.31,4,-2.8252355323566127,I grew up there   They are both controlled opposition run by AIPAC.
US:101292575,why_think_pid,They are both controlled opposition run by AIPAC.,0.26,11,-3.461024036148607,I grew up there   They are both controlled opposition run by AIPAC.
US:101363517,when_think_pid,"In my 20s, I thought of myself as a republican because I lied with the same beliefs. I took courses in college on government. I knew what I wanted.",0.48,35,-1.4617449146253656,"In my 20s, I thought of myself as a republican because I lied with the same beliefs. I took courses in college on government. I knew what I wanted.   My parents list job in IL   I wanna do something that will protect my children and my grandchildren and our beliefs lineup together to ensure they have a good life a safe life and be able to make decisions and have their voices heard"
US:101363517,why_moved_to_current_state,My parents list job in IL,0.37,6,-7.914263719911882,"In my 20s, I thought of myself as a republican because I lied with the same beliefs. I took courses in college on government. I knew what I wanted.   My parents list job in IL   I wanna do something that will protect my children and my grandchildren and our beliefs lineup together to ensure they have a good life a safe life and be able to make decisions and have their voices heard"
US:101363517,why_think_pid_with_when,I wanna do something that will protect my children and my grandchildren and our beliefs lineup together to ensure they have a good life a safe life and be able to make decisions and have their voices heard,0.25,38,-3.815224089288629,"In my 20s, I thought of myself as a republican because I lied with the same beliefs. I took courses in college on government. I knew what I wanted.   My parents list job in IL   I wanna do something that will protect my children and my grandchildren and our beliefs lineup together to ensure they have a good life a safe life and be able to make decisions and have their voices heard"
US:101381879,why_moved_to_current_state,I like it here,0.63,4,-0.6544364264572059,I like it here
US:101433183,when_think_pid,Because I never liked any of the Democrats,0.27,8,-3.316717972194744,Because I never liked any of the Democrats   Hometown
US:101433183,why_moved_to_current_state,Hometown,0.5,2,-1.3794802201821947,Because I never liked any of the Democrats   Hometown
US:101445311,why_moved_to_current_state,Because it's beautiful,0.25,4,-3.652905632186203,Because it's beautiful   They align with my view.
US:101445311,why_think_pid,They align with my view.,0.31,6,-2.843736145230614,Because it's beautiful   They align with my view.
US:101523499,when_think_pid,I have always been a democrat,0.68,6,-0.41778258504454446,I have always been a democrat   College   They are for the good of all people not just the rich
US:101523499,why_moved_to_current_state,College,0.25,1,-3.653671016954066,I have always been a democrat   College   They are for the good of all people not just the rich
US:101523499,why_think_pid_with_when,They are for the good of all people not just the rich,0.72,12,-0.20402952365939273,I have always been a democrat   College   They are for the good of all people not just the rich
US:101551735,when_think_pid,From birth I've been close to the Republican Party.,0.31,11,-2.776201412132471,From birth I've been close to the Republican Party.   I agree with most of the stance of the Republican party except with respect to LGBT people.
US:101551735,why_think_pid_with_when,I agree with most of the stance of the Republican party except with respect to LGBT people.,0.37,18,-2.2372224406089782,From birth I've been close to the Republican Party.   I agree with most of the stance of the Republican party except with respect to LGBT people.
US:1015933,when_think_pid,I just stay away from politics,0.35,6,-2.4153582955221853,I just stay away from politics   came with my husband   I dont care about politics
US:1015933,why_moved_to_current_state,came with my husband,0.22,4,-5.29042786858999,I just stay away from politics   came with my husband   I dont care about politics
US:1015933,why_think_pid_with_when,I dont care about politics,0.43,5,-1.8315283034380152,I just stay away from politics   came with my husband   I dont care about politics
US:101669325,when_think_pid,when I was 18,0.54,5,-1.1701756435091648,when I was 18   I feel like I agree with what they stand for
US:101669325,why_think_pid_with_when,I feel like I agree with what they stand for,0.3,10,-2.922089370201078,when I was 18   I feel like I agree with what they stand for
US:101683337,why_are_pid,Because Democrats are for people.,0.22,6,-4.649070341919063,Because Democrats are for people.   Born and raised here
US:101683337,why_moved_to_current_state,Born and raised here,0.25,4,-3.7521625540037906,Because Democrats are for people.   Born and raised here
US:101755597,why_moved_to_current_state,Wanted a change,0.47,4,-1.5245432455966603,Wanted a change   I'm for following the Constitution. I'm for DEI. I'm for protecting LGBTQ rights. I'm for due process for every person.
US:101755597,why_think_pid,I'm for following the Constitution. I'm for DEI. I'm for protecting LGBTQ rights. I'm for due process for every person.,0.43,29,-1.7797043565171673,Wanted a change   I'm for following the Constitution. I'm for DEI. I'm for protecting LGBTQ rights. I'm for due process for every person.
US:1017722,why_are_pid,"It’s the only option that represents science, kindness, understanding and rational thought.",0.26,16,-3.4507113392352,"It’s the only option that represents science, kindness, understanding and rational thought.   Affordable housing"
US:1017722,why_moved_to_current_state,Affordable housing,0.52,3,-1.2582527275253987,"It’s the only option that represents science, kindness, understanding and rational thought.   Affordable housing"
US:101792775,why_are_pid,I believe in a women's right to chose and I believe in democracy,0.53,14,-1.1739710693004242,I believe in a women's right to chose and I believe in democracy
US:1019166,why_are_pid,.what?,0.31,2,-7.298858360608659,.what?   Job
US:1019166,why_moved_to_current_state,Job,0.33,1,-2.6298001581011357,.what?   Job
US:101985793,when_think_pid,Since birth - ha ha,0.33,5,-7.570618323863594,"Since birth - ha ha   Continue college   I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc"
US:101985793,why_moved_to_current_state,Continue college,0.35,2,-7.745347852492193,"Since birth - ha ha   Continue college   I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc"
US:101985793,why_think_pid_with_when,"I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc",0.28,43,-3.1649847212193607,"Since birth - ha ha   Continue college   I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc"
US:102011707,when_decided_pid,1998,0.26,2,-3.5757084589010577,1998   Republicans would rather play games than do what they promised when i joined. Democrats do not keep their promises.   military
US:102011707,why_are_pid_with_when,Republicans would rather play games than do what they promised when i joined. Democrats do not keep their promises.,0.23,21,-4.431913468428871,1998   Republicans would rather play games than do what they promised when i joined. Democrats do not keep their promises.   military
US:102011707,why_moved_to_current_state,military,0.36,2,-2.3319677294128507,1998   Republicans would rather play games than do what they promised when i joined. Democrats do not keep their promises.   military
US:102088179,why_are_pid,I feel they have similar thoughts and value as I do.,0.43,12,-1.8117180817707224,I feel they have similar thoughts and value as I do.   Be closer to family
US:102088179,why_moved_to_current_state,Be closer to family,0.23,4,-4.333882260050166,I feel they have similar thoughts and value as I do.   Be closer to family
US:1021053,when_think_pid,All my life JFK,0.22,4,-5.568960934048515,All my life JFK   Fun   Fairness and caring
US:1021053,why_moved_to_current_state,Fun,0.24,1,-3.8218236166847217,All my life JFK   Fun   Fairness and caring
US:1021053,why_think_pid_with_when,Fairness and caring,0.24,4,-4.0058062958336595,All my life JFK   Fun   Fairness and caring
US:102152019,why_are_pid,Because of the people where we live are,0.3,8,-2.9588209322980092,Because of the people where we live are   Where we lived in Phila was getting terrible.
US:102152019,why_moved_to_current_state,Where we lived in Phila was getting terrible.,0.22,10,-4.661908483607892,Because of the people where we live are   Where we lived in Phila was getting terrible.
US:102156373,why_are_pid_with_when,i9,0.27,2,-3.4075647982555832,i9   Pops bought a fam
US:102156373,why_moved_to_current_state,Pops bought a fam,0.22,5,-4.988628184252138,i9   Pops bought a fam
US:102175907,why_are_pid,Don't give away as much as democrats,0.23,9,-4.196679549962802,Don't give away as much as democrats   Higher paying job
US:102175907,why_moved_to_current_state,Higher paying job,0.26,3,-3.4813719267926713,Don't give away as much as democrats   Higher paying job
US:1022013,when_think_pid,The first time I voted when I was 18.,0.54,11,-1.125183013675161,The first time I voted when I was 18.   Family   Republicans are more in line politically with my views.
US:1022013,why_moved_to_current_state,Family,0.25,1,-3.7675180728671025,The first time I voted when I was 18.   Family   Republicans are more in line politically with my views.
US:1022013,why_think_pid_with_when,Republicans are more in line politically with my views.,0.29,10,-3.0768571588497684,The first time I voted when I was 18.   Family   Republicans are more in line politically with my views.
US:102291189,when_decided_pid,"many years ago, as i believe in freedom of speech and protecting programs that help people",0.26,17,-3.5540085494886458,"many years ago, as i believe in freedom of speech and protecting programs that help people   To protect freedom of speech and our rights as a democracy"
US:102291189,why_are_pid_with_when,To protect freedom of speech and our rights as a democracy,0.45,11,-1.6456839413521689,"many years ago, as i believe in freedom of speech and protecting programs that help people   To protect freedom of speech and our rights as a democracy"
US:102359727,when_think_pid,Elementary school- 1970 or so.,0.29,10,-3.0975838629064176,"Elementary school- 1970 or so.   Weather   I believe that the government can be a force for good and that we should build a caring, inclusive society."
US:102359727,why_moved_to_current_state,Weather,0.28,1,-3.250849411559235,"Elementary school- 1970 or so.   Weather   I believe that the government can be a force for good and that we should build a caring, inclusive society."
US:102359727,why_think_pid_with_when,"I believe that the government can be a force for good and that we should build a caring, inclusive society.",0.91,22,1.1417371995720842,"Elementary school- 1970 or so.   Weather   I believe that the government can be a force for good and that we should build a caring, inclusive society."
US:102378245,when_decided_pid,"I voted for President Obama both times, but it wasn’t until Republicans ran Trump for POTUS in 2016 that I realized I was no longer a Republican. Trump was such a poor choice - a man with low values and meals, unintelligent and uninterested in politics. The entire Republican Party let me down with the appalling choices they have made this entire century, and even before, maybe back to Nixon and Reagan.",0.23,85,-4.159115204342385,"I voted for President Obama both times, but it wasn’t until Republicans ran Trump for POTUS in 2016 that I realized I was no longer a Republican. Trump was such a poor choice - a man with low values and meals, unintelligent and uninterested in politics. The entire Republican Party let me down with the appalling choices they have made this entire century, and even before, maybe back to Nixon and Reagan.   My daughter moved here for a better job opportunity."
US:102378245,why_moved_to_current_state,My daughter moved here for a better job opportunity.,0.39,10,-2.1051310542910038,"I voted for President Obama both times, but it wasn’t until Republicans ran Trump for POTUS in 2016 that I realized I was no longer a Republican. Trump was such a poor choice - a man with low values and meals, unintelligent and uninterested in politics. The entire Republican Party let me down with the appalling choices they have made this entire century, and even before, maybe back to Nixon and Reagan.   My daughter moved here for a better job opportunity."
US:1024328,why_are_pid,Because I can see both sides have a mission,0.22,9,-4.977680785156066,Because I can see both sides have a mission   Military
US:1024328,why_moved_to_current_state,Military,0.23,1,-4.3068628575084205,Because I can see both sides have a mission   Military
US:1024893,why_are_pid,The Republican have a ton of more common sense than the Democrats who have turned into a joke.,0.46,19,-1.5884665347906068,"The Republican have a ton of more common sense than the Democrats who have turned into a joke.   No State Income Tax, the Weather and the ocean."
US:1024893,why_moved_to_current_state,"No State Income Tax, the Weather and the ocean.",0.28,11,-3.1590116924273075,"The Republican have a ton of more common sense than the Democrats who have turned into a joke.   No State Income Tax, the Weather and the ocean."
US:102522905,when_decided_pid,I have always voted my conscience regardless of political affiliation,0.43,10,-1.794210609803296,I have always voted my conscience regardless of political affiliation   Conscience over affiliation
US:102522905,why_are_pid_with_when,Conscience over affiliation,0.25,4,-6.368799163419148,I have always voted my conscience regardless of political affiliation   Conscience over affiliation
US:102526651,when_decided_pid,I can't share this because it very confidential. I apologize.,0.32,13,-2.670345626657915,I can't share this because it very confidential. I apologize.   I can't share this because it very confidential. I apologize
US:102526651,why_are_pid_with_when,I can't share this because it very confidential. I apologize,0.31,12,-2.818968984127433,I can't share this because it very confidential. I apologize.   I can't share this because it very confidential. I apologize
US:102539451,why_are_pid,I really dont side with either party. I think we say some nice things about what our goals are or what's really happening but they aren't necessarily true,0.23,31,-4.107775179011457,I really dont side with either party. I think we say some nice things about what our goals are or what's really happening but they aren't necessarily true   My dads work
US:102539451,why_moved_to_current_state,My dads work,0.22,3,-5.292413256929515,I really dont side with either party. I think we say some nice things about what our goals are or what's really happening but they aren't necessarily true   My dads work
US:102736315,why_moved_to_current_state,It is my home,0.45,4,-1.651324314040295,It is my home   The old Republican Party of rinos is basically democrat light.
US:102736315,why_think_pid,The old Republican Party of rinos is basically democrat light.,0.22,12,-4.566544992117336,It is my home   The old Republican Party of rinos is basically democrat light.
US:1027450,when_think_pid,Jam 6 2020,0.34,6,-2.557328767483922,Jam 6 2020   Retired   Democrats are too progressive and not fiscally responsible republicans are too socially conservative
US:1027450,why_moved_to_current_state,Retired,0.36,2,-2.3629177271358044,Jam 6 2020   Retired   Democrats are too progressive and not fiscally responsible republicans are too socially conservative
US:1027450,why_think_pid_with_when,Democrats are too progressive and not fiscally responsible republicans are too socially conservative,0.26,16,-3.4466445911962653,Jam 6 2020   Retired   Democrats are too progressive and not fiscally responsible republicans are too socially conservative
US:102775893,why_think_pid,Respect for all no matter race. Sex gender,0.25,10,-3.607833288138061,Respect for all no matter race. Sex gender
US:102800593,why_are_pid,Because they believe in treating everyone with respect and dignity,0.38,10,-2.1863705641963733,Because they believe in treating everyone with respect and dignity   Better paying job and lower cost of living
US:102800593,why_moved_to_current_state,Better paying job and lower cost of living,0.34,8,-2.526085652169789,Because they believe in treating everyone with respect and dignity   Better paying job and lower cost of living
US:102837679,why_are_pid,Neither party is getting things done for regular working class people.,0.28,12,-3.199163191427505,Neither party is getting things done for regular working class people.
US:102839849,why_are_pid,We share the same views of what the people want and need for this country,0.57,15,-0.9927818951185284,We share the same views of what the people want and need for this country   New change
US:102839849,why_moved_to_current_state,New change,0.24,2,-3.856581008962406,We share the same views of what the people want and need for this country   New change
US:1028674,why_are_pid,"I'm a democrat because I believe in equality, freedom and justice. This country was founded by the people and for the people. Democrats represent the ideals of democracy best.",0.66,34,-0.4860256759878701,"I'm a democrat because I believe in equality, freedom and justice. This country was founded by the people and for the people. Democrats represent the ideals of democracy best."
US:1029294,when_decided_pid,2016 when I voted for Trump,0.29,7,-3.0387386451486527,2016 when I voted for Trump   Because the democrats became socialist.
US:1029294,why_are_pid_with_when,Because the democrats became socialist.,0.22,7,-5.461876747249539,2016 when I voted for Trump   Because the democrats became socialist.
US:102935851,when_decided_pid,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone,0.22,26,-5.131651169939911,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone   If I add my kid hood activity together with my understanding what is right and wrong learning in school and private life it's so clear to me but no political party is perfect   My mother move me to Arkansas to grandparents to help her out
US:102935851,why_are_pid_with_when,If I add my kid hood activity together with my understanding what is right and wrong learning in school and private life it's so clear to me but no political party is perfect,0.27,34,-6.851424592132247,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone   If I add my kid hood activity together with my understanding what is right and wrong learning in school and private life it's so clear to me but no political party is perfect   My mother move me to Arkansas to grandparents to help her out
US:102935851,why_moved_to_current_state,My mother move me to Arkansas to grandparents to help her out,0.22,12,-5.264557763932618,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone   If I add my kid hood activity together with my understanding what is right and wrong learning in school and private life it's so clear to me but no political party is perfect   My mother move me to Arkansas to grandparents to help her out
US:102964735,why_are_pid,The Democrat candidates are for the poor or working class.,0.4,11,-2.028355899341393,The Democrat candidates are for the poor or working class.   My dad wanted to pursue higher education.
US:102964735,why_moved_to_current_state,My dad wanted to pursue higher education.,0.34,8,-2.4894164212616436,The Democrat candidates are for the poor or working class.   My dad wanted to pursue higher education.
US:103016201,when_decided_pid,Around high school,0.24,3,-3.885871349152609,Around high school   Because I think Democrats are more about people like me. Republicans are for money and big businesses   My father retired and we moved back to his family home & where his family lived
US:103016201,why_are_pid_with_when,Because I think Democrats are more about people like me. Republicans are for money and big businesses,0.26,18,-3.53869421902501,Around high school   Because I think Democrats are more about people like me. Republicans are for money and big businesses   My father retired and we moved back to his family home & where his family lived
US:103016201,why_moved_to_current_state,My father retired and we moved back to his family home & where his family lived,0.24,16,-3.999315166530779,Around high school   Because I think Democrats are more about people like me. Republicans are for money and big businesses   My father retired and we moved back to his family home & where his family lived
US:103059339,why_moved_to_current_state,Raised rent couldn't afford it,0.38,6,-7.963981659757289,Raised rent couldn't afford it
US:103238395,when_decided_pid,Carter presidency,0.23,3,-5.824406614966284,Carter presidency   Progressive   Retired
US:103238395,why_are_pid_with_when,Progressive,0.42,2,-1.861806116085549,Carter presidency   Progressive   Retired
US:103238395,why_moved_to_current_state,Retired,0.36,2,-2.3629177271358044,Carter presidency   Progressive   Retired
US:1033570,why_moved_to_current_state,Accepted a job,0.26,3,-3.4462271686668315,Accepted a job
US:1034363,when_think_pid,"1963. I have voted for republicans in the past, but that has become less and less frequent over the years, especially in this last decade.",0.46,31,-1.6114390869739272,"1963. I have voted for republicans in the past, but that has become less and less frequent over the years, especially in this last decade.   my publisher was here   Many more Democrats have led the way to legislating a more inclusive and fair country, and also have been much better at handling the economy. Republicans now run on more emotional appeals that tend to separate the electorate into single issue voters. Republicans are better at labeling issues to appeal to the less politically involved."
US:1034363,why_moved_to_current_state,my publisher was here,0.23,4,-5.785307272065607,"1963. I have voted for republicans in the past, but that has become less and less frequent over the years, especially in this last decade.   my publisher was here   Many more Democrats have led the way to legislating a more inclusive and fair country, and also have been much better at handling the economy. Republicans now run on more emotional appeals that tend to separate the electorate into single issue voters. Republicans are better at labeling issues to appeal to the less politically involved."
US:1034363,why_think_pid_with_when,"Many more Democrats have led the way to legislating a more inclusive and fair country, and also have been much better at handling the economy. Republicans now run on more emotional appeals that tend to separate the electorate into single issue voters. Republicans are better at labeling issues to appeal to the less politically involved.",0.32,60,-2.722199203939235,"1963. I have voted for republicans in the past, but that has become less and less frequent over the years, especially in this last decade.   my publisher was here   Many more Democrats have led the way to legislating a more inclusive and fair country, and also have been much better at handling the economy. Republicans now run on more emotional appeals that tend to separate the electorate into single issue voters. Republicans are better at labeling issues to appeal to the less politically involved."
US:103485521,when_think_pid,Last year,0.57,2,-0.95902314249058,Last year   My Father got a job transfer to another small airport.   I did not like what the Democratic party was wanting where illegals were concerned.
US:103485521,why_moved_to_current_state,My Father got a job transfer to another small airport.,0.23,11,-4.114592970213792,Last year   My Father got a job transfer to another small airport.   I did not like what the Democratic party was wanting where illegals were concerned.
US:103485521,why_think_pid_with_when,I did not like what the Democratic party was wanting where illegals were concerned.,0.23,16,-4.330031842066336,Last year   My Father got a job transfer to another small airport.   I did not like what the Democratic party was wanting where illegals were concerned.
US:103583133,when_decided_pid,1972,0.24,2,-3.9290269118074503,1972   Nixon   Mother got married
US:103583133,why_are_pid_with_when,Nixon,0.44,2,-1.711962017327353,1972   Nixon   Mother got married
US:103583133,why_moved_to_current_state,Mother got married,0.23,3,-4.146859477787486,1972   Nixon   Mother got married
US:103617509,when_decided_pid,"I was Democrat and supported Jimmy Carter. After that term, I changed to Republican",0.29,16,-3.1056641947890484,"I was Democrat and supported Jimmy Carter. After that term, I changed to Republican   Republicans support my causes. I am a conservative Christian woman and Pastor. I am pro life"
US:103617509,why_are_pid_with_when,Republicans support my causes. I am a conservative Christian woman and Pastor. I am pro life,0.3,18,-2.919559543575657,"I was Democrat and supported Jimmy Carter. After that term, I changed to Republican   Republicans support my causes. I am a conservative Christian woman and Pastor. I am pro life"
US:103713921,when_think_pid,When Trump f***** up the first time,0.37,8,-2.2736214170999554,When Trump f***** up the first time   Cause I hate Trump and his girlfriend Musk
US:103713921,why_think_pid_with_when,Cause I hate Trump and his girlfriend Musk,0.38,8,-7.95484518040759,When Trump f***** up the first time   Cause I hate Trump and his girlfriend Musk
US:103717435,when_think_pid,I don't remember,0.58,4,-0.9289461698827102,I don't remember   I always been open minded. I listen to both sides
US:103717435,why_think_pid_with_when,I always been open minded. I listen to both sides,0.38,11,-2.1325055545797023,I don't remember   I always been open minded. I listen to both sides
US:103721945,when_think_pid,By the time I had reached my mid-20s and had graduated college and was living on my own.,0.71,22,-0.24948928928441913,"By the time I had reached my mid-20s and had graduated college and was living on my own.   We owned a vacation property there, and got tired of Delaware (it has changed a lot in the past 35 years, and I no longer recognize it.) I was able to find a job very similar to what I had been doing in Delaware, and it made sense to move to WV and sell the Delaware house so that we didn't have to maintain and pay for two properties. (BTW, we moved THIS year, 2025, not 2024.)   The Democrats believe too many decisions should be arbitrated by government and spend too much on government programs. The Republicans interfere too much with bodily autonomy and personal choices. As a Libertarian, I believe the legitimate role of government is to protect its citizens' individual rights; not to expand government programs that interfere with the free market, mandate what products we can or cannot buy, or impose morality upon us. Neither the Democratic Party nor the Republican Party seems to understand this view."
