person_id,why_think_pid
US:165545971,The liberal democrats only think about them self's not about the people they are to represent.
US:132829943,"The values and positions of the Democratic party align with mine on world, national, local and personal issues. I'm old enough to remember Khrushchev saying, ""We do not have to invade the US. We will destroy you from within."" On a personal level, my eldest grandchild is beautiful transgender woman. Enough said."
US:4582183,I stand with the fact that Democracy is the number on principal for me as a democrat
US:192631059,"Because as a democrat , I care more about us lower and middle class people and feel that things we rely on in our everyday lives ( Snap , Medicaid , Social Security etc. ) are being taken away by the republicans and that’s not fair to us"
US:169655929,"At this point, it's getting harder to think of myself as one-they are being exceedingly frustrating at the federal level (overall). That said, there is no other major party to push back the continuing fascism of the GOP. I guess I'm a strong progressive Democrat (more Ilhan Omar much less Amy Klobuchar)."
US:2337143,Because I believe in a strong social safety net and a government that concerns itself with the least among us first and foremost.
US:110281569,I am gen x and was raised by conservative parents. I live in rural a county.
US:24035453,Both are too focused on personal power not aiding the nation
US:3855364,I agree thatrepublications are the partythatis truly interested in keeping America strong and fateful to our original forefathers. Deocratsv are only interested in making money from their terms in office I have lived thru lots of presidents and it gets worse each time a Democrats wins the office. More money and more power is their goal
US:4660457,I lean more to their principal than I do Democrates
US:4128484,Won't say
US:189710221,They have more empathy for the people of this country
US:141972,I do not consider myself as close to any political party. None of them serve the will of the people.
US:37794622,"I agree with more of their policies, especially regarding immigration"
US:2328056,I’ve always been for everything GOP isn’t. Pro choice. Pro LGBTQ+. Pro immigration. Separation of state and church. Help others with less then you.
US:174000833,The Democratic Party is more closely aligned with my values.
US:208093,democrat candidates are no good
US:1216625,"The republicans have been taken over by conservative think tanks and fundraisers such as Heritage Founation, that want to lower taxes to wealthy and shrink goverment. See project 2025 , now being enacted"
US:23666220,I just don't like most of the Republicans.
US:377770,"Neither party is independent of the actual entity in charge, they're just allowed the ""appearances"" of choice/freedom. They are both wings of the same detestable ""creature."""
US:143198901,Honestly I don’t know
US:39769403,I hate them both. They're both tools used to divide us.
US:35344139,Because I was bought up a Democrat and Democrats care more about the needs of the American people.
US:43412239,I don't like what the democrats are doing for the country
US:41069185,Sure not Democrats
US:205882997,Because I believe the current system is broken and corrupt in both parties.
US:408879,right to free speech
US:39064835,My views are much closer to Republicans
US:135932533,I believe in the direction the democratic party is moving. The republican party has started to go with a dictatorship and their representatives will do anything to be part of djt's realm.
US:109590315,Try to succeed in the govt
US:2729180,The Democrat Party does not support any of the things I think are important. The republicans are somewhat closer regarding important issues.
US:691607,I have always been a Democrat and I don't like the Republican party
US:24917732,"I don't for on moment believe men can become pregnant as democrats today argue. I don't believe men should be allowed to take showers in girl's locker rooms as democrats today argue. I don't think men should compete in women's sports events as democrats today argue. I don't think tax payer funds should be used for abortions as democrats today argue. I don't think taxpayer funds should be use to pay for sex change operations as democrats today argue. I don't think tax payer funds should be used to provide LBGTQ coloring books for Central American countries as democrats today argue. I believe judges engage in criminal acts can be arrested an charged for those criminal acts. I believe foreign nationals in this country illegally should be arrested and charged for that crime without need for a warrant: after all, no warrant is necessary to stop and arrest a bank robber for the crime of bank robbery while in the process of committing that crime. Etc., etc., etc."
US:32073809,I have the same values and beliefs as the Democratic party.
US:42597330,"Party of the people, are always trying to help the working families"
US:184043301,Because the Democratic Party is a bunch of bleeding heart liberals and stand for everything I’m against.
US:4422664,I support social programs and existing entitlement programs
US:25512329,Republicans are easier to live with than being a woke out of touch democrat
US:167050857,Only because I’m concerned about humanity and rights of people but I want to keep my hard earned money
US:2580371,"We are a democracy, not a dictatorship or monarchy. Democrats (not all) generally adhere to principles of democracy, rule of law, and caring for Mother Earth. Republicans apparently have stopped adhering to these principles and have succumbed to the dark side -- greed, hatred, and ignorance."
US:4275842,"Because their line with my political views, and they seem the most compassionate"
US:1609103,"conservative values, 2nd amendment"
US:183460565,I'm for small government. Republicans are for big government ... but democrats are for HUGE government.
US:2061248,"Secrets have lost their way and have been taken over by a very, very loud left-wing minority. They have moved away from Democratic values. They have lost their way. Never been a Republican."
US:151897137,"The Democratic party aligns with many of my ideas about health care, the environment, taxation, etc..."
US:144218195,"My views align best with the Democratic Party with regards to increased social programs, civil rights, and personal freedoms."
US:186567305,I want democracy to be protected.
US:163771991,The republican party is doing more to address issues that will increase quality of life for citizens and democrats continue to attack values I consider important in order to do whatever the most self absorbed nonsense their is
US:4298513,"Because it seems that the Democrat party seems to not care about regular Americans. They care more about illegal immigrants, trans male athletes and lied about President Biden. In reality I just think current republicans have more common sense."
US:134501701,I believe in helping the people who are in the middle class and under. I believe in taxing the billionaires and I believe in abortion and LGBTQ+ rights.
US:1663994,"I don’t believe in murdering babies, don’t think sexual preference should give anyone special rights, totally against illegal immigrations, and will not go to El Salvador to bring an ElSavadorian citizen, who was in America illegally, back to America, so he can be deported again! One last point, watching the Demoncrats on tv, I am not an idiot and out of touch with reality!"
US:160329393,I'm not a fan of democrats.
US:4287703,just don't like the view of the rpb.
US:1971478,theyre no demonrats
US:3104081,"Because government exist to take care of all people and not big business, the rich and the powerful."
US:3815561,"Because I want EVERYONE to have the same freedoms in the US, not just a few."
US:43806103,both are bad i just pick the least bad when i vote
US:193109287,"I’m a leftist, so Democrats align the most with my viewpoints."
US:4426338,What they stand for aligns with me
US:192299109,At least there more in line with my feelings
US:183018597,Both are terrible
US:1535971,I cannot tolerate the extreme liberalism of the Democratic party.
US:3168602,Because i support their candidates ang policies
US:200450647,"I am standing on the correct side of saving our democracy from an fascist, authoritarian government."
US:2628417,I used to vote for the person but until the democrats no longer have far left/ woke people running the party I will only vote republican. It’s not something I generally do
US:33751451,Because I believe more in their views
US:168194249,I am not a sheep and will not accept everything because of the party. The Democrats are lost and the Republican's do not seem to be able to think for themselves (hence they follow an Authoritarian who does not seem to be very bright).
US:155978515,"Because my concerns are not the same as the democratic party. I cannot understand why Democrats seem to wanna keep terrorist, illegal, immigrant, murderers, rapists in our country. And why is it that when Democrats don't like something they riot."
US:177687425,I believe in truth through the Bible. I don't believe in being mean or taking sides each issue should be looked at accordingly in what the real truth
US:41089265,I don't totally agree with either side.
US:144916515,I’m left-leaning and progressive
US:4646770,They align with my values and views
US:42339906,conservative principles
US:39444385,"Because the current batch of Republicans is absolutely insane and they don't care about the American people, only money."
US:1407512,"I share many views with the pre-Trump Republican Party with respect to free markets and personal liberty; I find practically nothing in common with the current MAGA populist Republicans and the left-wing Democratic ideologues controlling most of the blue states and blue cities who all want to censor speech they don‘t like, curtail free trade, and generally try to control too much of people’s lives while being totally ineffective at providing basic services."
US:25724390,I enjoy freedoms
US:193457591,"I think the federal government needs to be cut down in size and spending reduced. I also believe in the freedom of speech and in property rights, subjects that the Democrat party has become hostile towards."
US:23759088,I believe in helping the common person.
US:41270664,I was raised in a democratic household. And was taught to help neighbors and those less fortunate. Republicans are only out for themselves
US:2223213,"Democrats tend to be Idiots. Eg., the whole 'MD man' idiocy in the news. The Dems are pushing back in this because it's the only topic/issue they have! Also, the male trans vs women/girls in sports. These are both common sense issues!"
US:1164292,"I believe in law and order. I believe immigration is only for those that legal come to the USA. I believe in a strong military and police force to keep the peace. I believe the the perpetrators of crimes should be punished and not the victims. I believe in freedom of religion, speech, etc."
US:1283603,Share common sense and patriotic values and policies.
US:142873213,Because the Republican party is stricky for the rich people
US:145699181,I have many progressive ideas
US:80255,"The Republican Party, by and large, represents my views in fiscal areas (smaller government, smaller national budget) and moral areas (less abortion, eliminate gender confusion, more personal responsibility)."
US:40794025,"Democrats are fighting for our country. We have Some Reasons for Optimism Americans seem to be rediscovering the art, science and potency of noncooperation combined with a robust protest capacity and legal action shows that resistance against Trump’s agenda in America"
US:202065941,Republicans decide more for the people and believe n support out armed forces.
US:173958781,I believe in what Democrats believe in. I do not believe that money is everything like Republicans seem to believe. I hardly ever agree with the Republican line about any policy issue.
US:169942149,I feel like the values they profess to believe in more closely in line with my own. I do not trust the conservative Fringe of the Republican party. And that Evangelical conservative right wing rhetoric frankly scares me.
US:3248738,MAGA is the only party that can make any meaningful change in this country.
US:131007595,I believe many government services are important to serve the people.
US:121158,I think that I am very conservative and believe in the right of the people.
US:1458157,Democrat party has gone too far left on very extreme issues
US:4367844,Because they align with my values and beliefs.
US:196274361,Because I care about the economy
US:833791,To me the Democrats are for the working class but also for everyone poor or rich. We care about all people not just the ones who give the most donations.
US:181973673,I choose to identify with the Republicans
US:31285486,Do not believe in Maga whatsoever.
US:2128938,I support the issues that Trump is trying to work on.
US:144724117,I believe the constitution should be enforced and businesses should not be given a vote. Big money should not be allowed to lobby for votes or fund campaigns.
US:118168681,Because I have been for over 40 years. I think democrat do a better job. They listen to the people they represent.
US:679060,I'm for lower taxes and less spending
US:29765841,"The Democrat Party has moved sharply left over the years, and are now mostly radical in their social viewpoints and oddly unwilling to work with moderates even in their own party. I believe that many moderate Democrats will leave the party as Independents"
US:39866820,Republican views and policies align mush closer with Biblical teachings.
US:40454774,Listen to both sides of any issue..BE WELL INFORMED.. Pray before you vote.
US:127970477,"I believe in keeping more of what I earn, and that we are subsidizing bad behavior which leads to poverty."
US:3807435,"I agree with the policies of the Democratic party. While not perfect, the Democrats are so much better in every way than those greedy, disgusting republicans. They are too busy lining up to kiss Trump's ass to get anything done."
US:1784322,I really don't have any interest in either group they are going to do what they want to do regardless of how I feel or what I say.
US:697926,im a consevative but not MAGA
US:171195745,I believe in true democracy
US:46344500,They are currently the party of common sense
US:27654523,Agree with securing the border and crime reduction
US:150199097,Don't agree with republican views
US:133183635,"Although most Republicans are do-nothings, I oppose abortion in all circumstances, I oppose gun control, and I oppose the mutilation of children."
US:1724759,"In New York,Democratic party is way to far left.I am a life long Republican who is not always in agreement with the current party."
US:236035,Because I care about people and feel it should be the responsibility of the government to support and protect people over corporations
US:100029395,Not democrat
US:187279167,Conservative views
US:159965399,"I'm definitely more conservative. The democrats have turned SO far left, too close to socialisn/communism and I can't abide that. It's never worked for any country and certainly won't work for ours."
US:138884291,"I think their on my side of the game. I think they're fighting an evil that needs to be or must be stopped in their tracks. I think they are the only way forward toward peace and prosperity for all. I think they are the most fair for everybody by far. They seem to believe totally more with the side of real people, not people that already have all the wealth and will do anything to get all the rest of it. There does seem to be some framework of order in this political party and it starts with or is filled with very good value, morals and an understanding of those in the most need. They are smart, they understand all of the problems and which ones should be addressed first, second and so on. I like to be on the side that wants to help everybody and not see anybody suffer for a lifetime, under the rule of others that hide behind steel cells, steel cuffs, a way of doing things that doesn't allow for anybody else to do anything and other things that only let them succeed. I guess what I'm saying is, I like fairness and I see that in great abundance with this particular party."
US:137513145,They make horrible decisions often
US:38479601,I support most of their ideals and would be disgusted to call myself a republican
US:193581445,"I support social healthcare and education. I oppose tax breaks for big businesses and the wealthy. I support a social support system, a strong minimum wage, and unions."
US:1183535,I think the Republican party is more in touch with the working class.
US:797697,I don't believe in socialism. I believe in small gov. I believe those who sneak over the border are breaking the law.
US:34468901,Because the Republican party has gone completely off the rails into fascism.
US:193176267,"Government should be of and for the people,and defense of our constitution.Not the protection of a tyrant like we have now"
US:2628810,I am extremely happy with President Trump and totally pissed at activists judges democrats and rino's. President Trump will save our nation
US:40514623,republicans are going batshit crazy
US:688068,I am a strong beliver in Capitolism; Free Speech; More effective and efficient Government; Gun Rights; Religious Freedom and Lower taxes.
US:192873887,I’m for the poor and not so privileged
US:170919845,Because they have common sense
US:712408,just am
US:127262499,"I consider myself what they used to call ""Clinton Democrats"" - I'm fiscally conservative and morally liberal. I feel closer to the Democratic Party, because I care more about people and their rights than I care about money."
US:833211,"Party for the people, and abide by the laws and abide by their oath to defend the Constitution"
US:39682293,I agree with a few of the fiscal policies of the Republican party but I strongly side with the social justice issues of the Democratic party
US:29342206,"Because I support issues like abortion rights, equal pay, Medicare, Medicaid, indigenous rights, protecting the environment, addressing climate change, etc."
US:190380543,The republican party not longer exists. They only want power. And the don't care about the rule of law.
US:133497725,Because I believe in helping ALL people in need I believe in the institutions of our country
US:2906926,Because the Republicans have moved so far to the right that they are going to fall off the edge of the earth which they think is flat.
US:176974567,Republicans are for regular people like me. They look out for my interests.
US:1702701,MAGA all the way!!
US:177515073,HAVE ALWAYS BEEN
US:39386876,I sure don’t think like the comme Democrats
US:131520747,They all suck.
US:193755917,"On hot button issues I agree with Democrats (abortion) and agree with Republicans ( illegals, spending)."
US:29247955,Believe the country is a Republic not a rabble rouser democracy.
US:22851268,This is a bullshit question
US:193796593,"I want smaller government, strong border protection, reduced taxes, no war unless we are attacked, elimination of using DOJ to prosecute political opponents."
US:41263881,Everyone in my family going back many generations has worked for a living. We were not born with money and no one gave us any. I do not have anything in common with money who are billionaires or millionaires!
US:111285475,Because I think of others first and what they need and that we are all just one bad situation away from….
US:30091878,Because the Republican party is more in line with my Christian beliefs and views on family values.
US:370163,I think of myself as a Republican because I think of Republicans as those who are honest. Also I share the same values as Republicans who want to have order and stability.
US:115531223,I follow the ideals of a Democrat
US:3273277,Common sense. The extreme left of the Democrat party has taken over the party. They no longer represent the average people of their party. Elizabeth Warren has moved so far to the extreme left that she doesn’t connect with the people. Bernie Sanders has gone completely off and no longer represents the real Democrat party. He is so far left the he is a Socialist who a too close to becoming a Communist. The Democrat party needs to split into two parties. The extreme left needs to leave the Democrat party so the Democrat party can rebuild itself to meet the needs/wishes of the true Democrats.
US:4570170,"As a rational believer in objective truth, kindness, decency, empathy, the rule of law, problem-solving, reaching consensus and compromise, due process, civil rights, reality and democracy I am a Democrat!"
US:183782491,maga
US:40827214,"I believe in democracy and that we, the people should have the ultimate say in what goes on in our country. Democrats are more for working people. Republicans are more for the rich and the elite."
US:22438072,"I prefer to save than spend, want our nation to be lead by political people that do what is best for everyone not just themselves, not be swayed by corrupt groups"
US:170594,"I don't completely agree with either party, but the Republicans are the most conservative on social issues which are the most important to me. They are also the most fiscally conservative."
US:163168713,"There are pieces of both I like, and there are pieces I don't like. I wish I could pick a la carte style to get my opinions"
US:969263,The Republican Party no longer exists. It's now the Trump Party. Having a political party dominated exclusively by one person is dangerous. President Trump exhibits all the signs of megalomania and narcissism.
US:2839803,Really tired of the Dems lies and the fake news covering for them.
US:192934753,"I’m liberal, so it’s the party closest to my views"
US:2497157,they represent my views
US:144034,I abhor the policies presented by the Republican party. They are pure greed and self-interest.
US:3126949,"Will never trust the Republican Party again after its politicians have embraced fascism, ignore the rule of law, break their oath to uphold the constitution, violate international law, endanger our national security, act with cruelty and lies. What else would any American choose but to be a democrat if they have any care for our country?"
US:31628241,"Through most of my life, the Democrats more closely advocate for the policies and practices that I most closely believe in. But there are some things that Republicans support, that could be incorporated into the platform as well. That is why I call myself a moderate. I am not at either extreme, or decisively one or the other."
US:142914069,I believe more in the republicans views
US:184796029,Republicans are out of touch with the general public.
US:1248308,BECAUSE I FEEL STRONGLY ABOUT LIVING IN A DEMOCRACY
US:196918595,I'm not a party guy
US:24846897,because what they say and do make sense to me. i don't understand anyone who would go along with the other side
US:28322396,"Because both sides are full of BS, but the left is far worse than the right."
US:159901939,the question is messed up
US:35610867,I feel I agree with most of the issues the Republucan Party takes.
US:116802541,They seem to make more sense right now
US:167908681,I grew up in Massachusetts as a strong Democrat but even if I did not identify as a Democrat the ideology of the current Republican party is twisted and lost. I believe in principals before party
US:2280771,Because there is nothing that the democrats support that is remotely close to libertarian.
US:195481089,I'm a conservative person who believes in freedom.
US:130701331,Democrats are too liberal and only seem to concentrate on illegals getting into our country and helping minorities
US:4275346,My vote for President was a protest vote. I neither wanted to make an affirmative action vote nor did I want a madman. I don’t want the choice between 2 evils
US:26505123,I agree mostly with their policies
US:140138441,"The American first-past-the-post system will only ever settle into a 2-party system. I completely oppose the current Republican party and everything they stand for therefore even if my politics don't perfectly align with the opposition, I will support them."
US:2883973,"Republican Party stand for what I believe in sanctify in life, the county needs a party that will work for them"
US:198585381,I am a liberal person but really more liberal than the democrats
US:1999550,They are the only real alternative to the fascist GOP party
US:151964741,The values of most republicans align with my view points. The Democratic Party does not align in anyway with my values.
US:1003076,Because I care about other people.
US:22638563,"Because the Republicans currently have extremist views incompatible with life, liberty, and the ability to thrive."
US:26383036,It needs to be more about the will of the people & for the good of the people.
US:42734146,I believe the people make this country great not the government
US:22176025,"I am a MAGA Republican. I trust Trump will improve the US. He is a businessman, and he knows what it takes to run a business. All in all, the US is a company or business or whatever else you want to call the US, and Trump is the way to straighten this mess out."
US:1924816,I believe in the rule of law and Republican threw that out when they elected a felon.
US:206398053,Because I wasn't born Rich. I am a working class person in America that is just trying to survive and make it in this world with Family and Friends.
US:119636643,Because I believe in democratic principles and the will of the American people.
US:171454341,"Because the Democratic party is more accepting of LGBTQ, of which I am a member."
US:40915882,"I believe in smaller government, free speech, freedom of religion and the sanctity of life."
US:191587055,"The democrat party seems more likely to champion minority rights,including women,which is important to me"
US:125423673,Because I'm definitely not in line with today's Republicans
US:799985,"I believe all people were created equal, not just white protestants"
US:183971137,"I follow what the founding fathers established. Freedom, liberty, and justice for all!! One nation under God! I believe in Jesus Christ my lord and savior. And live closely to what is biblical. The written word is the most important in my life. And based on my values and beliefs, the policies that are yhe closest to what I believe are those of the Republican Party. As a Christian, I will never be able to vote Democrat. It goes against my faith. Unless something would drastically change."
US:156890959,The Republican Party is the organization that mostly reflects my political views. I strongly support the work of DOGE.
US:186797443,I have progressive values.
US:114543151,I think I’m a republican because I believe in free speech and working for a living
US:46857908,Because of the belief that democrats have always been for the people and not for the rich
US:2955142,Closer to my views on the economy
US:174514921,Simply put. Less government and less spending
US:172469171,Because they aren't AS open about wanting to shove everyone I care about in death camps because it's the only way their geriatric dicks can get up anymore.
US:41571570,I believe in democracy. I care about others and have empathy. I believe in people rights
US:201757891,Republican talking points make me proud to be a democrat.
US:1305863,Because I care about people who are less fortunate getting help and being treated fairly
US:27121401,My parents were Republicans so I'm following in their footsteps and I'm a republican too
US:125648529,I’m conservative with a few liberal ideas such as legal abortion to 15 weeks
US:203075149,Because i believe in equal rights
US:3667180,The Democratic Party isn't as openly racist as the Republicans.
US:2597338,"Because I believe that the government is put in place to protect citizens, to provide a social safety net, because rising tides lift all boats."
US:181447493,I agree with their ideas and agendas
US:849670,"Because conservatives have common sense and good morals, while liberals have literally lost their minds."
US:152169027,"I'm not racist and I have a backbone, so that pretty much leaves me out of both parties."
US:34612129,I have always voted republican.
US:190606355,It my favorite party
US:115395569,The two party system is totally corrupt
US:150549625,"Because I believe everyone deserves a fair shot at having a life that is dignified, safe and free from persecution."
US:217575,There is no other choice.
US:1425975,"Because I believe Democrats are Communists & want to destroy our country. They are in line with the global elites, not American values."
US:32490416,I'll pass
US:194310127,as of now i do not agree the the rebublicans blatan disregard of the rule of law or most of the american people
US:196055895,i like them
US:3167392,"Since Civil Rights became law with President Johnson, the Democratic Party has continued to work for all people with decreasing effort since money became speech and PACs became a way of politics rather than policy."
US:197340627,Because my visions align with them
US:167353981,views and values align more with the elephants than the jackasses.
US:41733614,Most Democrats understand that woke is not a dirty word! We welcome everyone to the table.
US:2357501,Neither party cares about the people of the US or anywhere else. They only care about lining their own pockets. The USA is turning into an oligarchy.
US:171031917,I call myself a realistic libertarian and agree with Democrats 40 percent of the time and Republicans 40 percent of the time and neither party about 20 percent of the time. I also see both parties as caring more about their own power than with the needs of the people they serve.
US:43035327,The political parties and politicians are parasites and are only methods to steal from us
US:23969584,Yes liberal progressive
US:41155020,They have more traditional values at this point. Democrats turned towards socialism
US:1233693,Because Democrats share my view on things and Republicans don't.
US:1599,Because I am more closely aligned with the polices of the republicans. Right now the democrat's have no policy except division and hate.
US:4471330,I’m in favor of democracy not whatever the current moronic administration is promoting
US:1513086,Believe in personal responsibility and minimal government
US:132837849,I believe in helping out the less fortunate
US:39982701,Secure border less crime less war
US:192920469,"I recently changed my political party from republican to democrat. I am a democrat because i believe the GOP (with few exceptions) cares only about making their donors, their lobbyists and the 1% richer. I believe women should have the right to make decisions about their own bodies. I believe in climate change and that more needs to be done to combat its effects. I believe all people regardless of sexual affiliation, are entitled to marry. And the fact that the GOP rallied around the racist, sexist, xenophobic, convicted felon moron Trump again (esp after his disastrous first term) is disgraceful. Makes me ashamed to be living in a country that allowed him to be president again."
US:190113387,Always worked hard for what I have
US:4364909,"Usually I dont like what they both say or stand for so stay independent then decide who gets my vote,"
US:183780973,Politicians seem to become corrupt when exposed to the Washington sewer.
US:35809539,because they care about the people
US:39551490,"I do not like either party. They are all self centered groups. Republican Party is much more self centered and uninformed. They are so afraid of their shadows, they make decisions based on fears and not data."
US:192363905,I believe in more things that a Democrat believes than a Republican.
US:747960,"Because they are more Conservative, more for Freedom and more for the economy."
US:163108753,Because I care about all people.
US:2428814,follow the ideals of FDR
US:193946419,I'm against liberal ideology. We need to conserve what little common sense and proper values we have left. And bring back those we lost to left wing treachery.
US:159931283,"liberal viewpoint,"
US:39524103,"I think of myself as a Democrat because I support the principles of the Democratic Party and take the Constitution seriously and support freedom of speech, freedom of religion, civil rights for all, the rule of law, gun reform, quality public school education for all, etc."
US:35950452,I agree more with their policies and now they are the ones using more common sense.
US:166330549,I am a fiscal conservative. Believes we shouldn’t spend more then we take in
US:188591241,Because Republicans don't stand for anything but hatred and bigotry
US:519026,Democrats are Socialist Marxists and half of the Republicans are RINOs.
US:171753517,1. Economy 2. Law and Order 3 Immigration 4. Tax cuts for the middle class and no tax on SS
US:120511145,Republicans align with what I believe in. Fairness and equal opportunities for all legal citizens. Not select groups. Democrats have lost their grip on reality and common sense.
US:202900273,I believe in equality
US:122180983,they dont lie as much
US:104092449,Because I hope for a better future for my country. A country where all are given equal opportunity and standing in society. The Republicans will only deliver a hellskape like Russia or N Korea.
US:189920859,"because i don't subscribe to the two party system. I think views and opinions are nuanced and can't be housed in just two camps - Red and Blue. I have views/opinions that span both, that disagree with both and some that are disagreed on by both parties as well. I just think we need to do away with blind party allegiance and vote for politicians for their character, stance on policy, and their ability to listen and be an advocate for their constituency and not the lobbyists and corporations or the 1%."
US:26589211,"Being fiscally conservative, which means balancing the budget (an historic impossiblity for poorly motivated congressman and women-as time has proven), I support the idea of less government. Does this make me a conservative with a large or small 'c'? To do otherwise is to flirt with all the typical high budget-high inflation problems of Third World countries such as Milei's problems in Argentina. Growing Local, County, State, and Federal bureaucracies are exactly where many people hope to be employed. Is this real productivity or just sand in the gears?"
US:196798879,I lean more towards the conservative ideals of the Republican Party.
US:199228833,Because Donald Trump sucks
US:188279507,"As a democrat the most important decision is putting citizens first, then protecting the country boarder"
US:191845717,"I can see the pros and cons of each party's platforms. I take the time to research and form my opinions. Both parties talk too much and act too little. I have conservative views but still believe that the government should provide a social safety net; also, the current GOP is filled with performance artists, not civil servants."
US:142487859,.
US:30021244,I agree with their policies
US:27690778,They are with working people.
US:132783155,"Things change, but at this time the democrats are for the people more than the republicans. There was a time when the Republicans were the Democrats and the Democrats were the Republicans. Personally, I agree with President Washington in that there should be no Political Parties."
US:186578159,Free speech freedom of religion violence is not protest let the president be the president not unelected judges. Illegals cannot vote deport the invasion of Illegals biden let in leave the Jewish people alone!!!! Stop DEI stop teaching children sex change ideas. Teach reading writing math and so much more
US:3297219,"Because I want secure borders, law and order, lower taxes, and I want all of the fraud and waste in government to be eliminated"
US:131590195,"Democrats are for the people. Democrats advance social issues, protect unions and our democracy."
US:152984413,I was don't like what the democrats represents
US:22379511,I think they are more emphatic towards people facing challenges in life while republicans favor the wealthy
US:192062951,Libertad de expresión
US:189923343,"I am closer to the Dems by default, Republicans are terrorists, and don't offer any policy that benefits me or anyone like me."
US:200787237,"I don't agree with ""we the people""' Christ yes is king."
US:40640371,I LIKE TO STAY INDEPENDANT
US:110098525,"I like to be conservative in our government affairs, I think we need less laws and less waste of our hard earned money."
US:1637086,They aren't as power hungry as the democrats
US:42494119,I am a Christian with conservative values. I believe in the Constitution and truly believe the Democrats do not have the best interest in our country. They have gone way too far left
US:39612778,I believe in the values of the President and the GOP
US:27087513,We the People do not even have a duopoly.
US:41478604,I do not approve of either party and their beliefs/actions
US:167130783,Democratic party doesn't represent anything about me. Literally nothing.
US:2817038,They are marginally the least disgusting of the two disgusting options.
US:138927083,This is how I voted. I align more with democratic values
US:356874,Because the ideology of the liberal Democrats is too far out of touch with reality
US:29962104,Politicians in general lie cheat and look out for themselves. ON BOTH SIDES.
US:39178274,Moral issues
